@ 3600 IN SOA amiks administrator 2010070316 1900 600 8640 3600
@ 3600 IN TXT "v=spf1 include:spf.protection.outlook.com -all"
@ 3600 IN MX 0 am-katowice-pl.mail.protection.outlook.com.
@ 3600 IN NS ns1.silweb.pl.
3600 IN NS amiks
3600 IN NS ultra.iqnet.pl.
@ 3600 IN A 212.106.177.32
www.sprawozdania 3600 IN A 212.106.177.32
old 3600 IN A 212.106.177.32
www.ipm2014 3600 IN A 212.106.177.32
sip 3600 IN CNAME sipdir.online.lync.com.
www.gm2012 3600 IN A 212.106.177.32
gm2012 3600 IN A 212.106.177.32
fajfyzjazzem 3600 IN CNAME kamilbaranski.com.
www.biurokarier 3600 IN A 212.106.177.32
saam 3600 IN A 212.106.177.32
www.iwa 3600 IN A 46.29.18.78
poczta 3600 IN A 212.106.177.2
rewitalizacja 3600 IN A 89.161.178.195
sprawozdania 3600 IN A 212.106.177.32
www.old 3600 IN A 212.106.177.32
konferencja 3600 IN A 212.106.177.33
www.waltornia 3600 IN A 212.106.177.32
schoolofmusic 3600 IN A 212.106.177.32
www.chor 3600 IN A 212.106.177.32
www.kurs 3600 IN A 212.106.177.32
akordeon 3600 IN A 212.106.177.32
perkusja 3600 IN A 212.106.177.32
waltornia 3600 IN A 212.106.177.32
bip 3600 IN A 212.106.177.32
www.samorzad 3600 IN A 212.106.177.33
kodaly 3600 IN A 212.106.177.32
www.rewitalizacja 3600 IN A 89.161.178.195
www.akordeon 3600 IN A 212.106.177.32
www.kodaly 3600 IN A 212.106.177.32
rezerwacje 3600 IN A 212.106.177.32
konkurs-spisak 3600 IN A 212.106.177.32
chor 3600 IN A 212.106.177.32
kurs 3600 IN A 212.106.177.32
www.oboj 3600 IN A 212.106.177.32
sale 3600 IN A 212.106.177.153
www.kameralny 3600 IN A 212.106.177.32
autodiscover 3600 IN CNAME autodiscover.outlook.com.
www.askm 3600 IN A 212.106.177.32
interdyscyplina 3600 IN A 212.106.177.32
www.ipm2015 3600 IN A 212.106.177.32
kameralny 3600 IN A 212.106.177.32
elearning 3600 IN A 212.106.177.35
konkursblacha 3600 IN A 212.106.177.32
muzycznaakademiaseniora 3600 IN A 212.106.177.32
www.rezerwacje 3600 IN A 212.106.177.32
www.koha 3600 IN A 212.106.177.52
iwa 3600 IN A 46.29.18.78
www.perkusja 3600 IN A 212.106.177.32
askm 3600 IN A 212.106.177.32
lyncdiscover 3600 IN CNAME webdir.online.lync.com.
klawesyn 3600 IN A 212.106.177.33
msoid 3600 IN CNAME clientconfig.microsoftonline-p.net.
www.ipm2012 3600 IN A 212.106.177.32
ipm2012 3600 IN A 212.106.177.32
ipm2013 3600 IN A 212.106.177.32
amiks 3600 IN A 212.106.177.2
ipm2015 3600 IN A 212.106.177.32
www.ipm2013 3600 IN A 212.106.177.32
www.konkursblacha 3600 IN A 212.106.177.32
www.klawesyn 3600 IN A 212.106.177.33
slaskijazz 3600 IN A 212.106.177.32
_sipfederationtls._tcp 3600 IN SRV 100 1 5061 sipfed.online.lync.com.
www.schoolofmusic 3600 IN A 212.106.177.32
www.interdyscyplina 3600 IN A 212.106.177.32
www 3600 IN A 212.106.177.32
www.saam 3600 IN A 212.106.177.32
www.sale 3600 IN A 212.106.177.153
www.mlodamuzycznaakademia 3600 IN A 212.106.177.32
_sip._tls 3600 IN SRV 100 1 443 sipdir.online.lync.com.
www.muzycznaakademiaseniora 3600 IN A 212.106.177.32
www.bip 3600 IN A 212.106.177.32
mlodamuzycznaakademia 3600 IN A 212.106.177.32
oboj 3600 IN A 212.106.177.32
www.slaskijazz 3600 IN A 212.106.177.32
wo15 3600 IN A 212.106.177.32
koha 3600 IN A 212.106.177.52
estrada 3600 IN CNAME kamilbaranski.com.
www.sfj 3600 IN A 212.106.177.32
www.konferencja 3600 IN A 212.106.177.33
fajfy 3600 IN CNAME kamilbaranski.com.
samorzad 3600 IN A 212.106.177.33
sfj 3600 IN A 212.106.177.32
ipm2014 3600 IN A 212.106.177.32
