@ 3600 IN SOA ns0 dns-admins 2015042700 900 600 604800 3600
@ 3600 IN NS ns0
3600 IN NS ns1
@ 3600 IN MX 10 ASPMX.L.GOOGLE.COM.
3600 IN MX 20 ALT1.ASPMX.L.GOOGLE.COM.
3600 IN MX 20 ALT2.ASPMX.L.GOOGLE.COM.
3600 IN MX 30 ASPMX2.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX3.GOOGLEMAIL.COM.
@ 3600 IN TXT "google-site-verification=b9aUeZm2RKZ94fb6Fk0hDkrN8vUsDftOPHCQeQvcxlM"
@ 3600 IN A 193.226.34.67
www.bizstart 3600 IN A 193.226.34.69
www.limbi-germanice 3600 IN CNAME s-lnx-web-1
www.amara.idd 3600 IN CNAME s-win-web-1
www.gbobeica 3600 IN CNAME s-lnx-web-7
masterofscienceie 3600 IN CNAME s-lnx-web-7
www.bursa 3600 IN A 37.120.249.14
www.igwt2010 3600 IN CNAME s-lnx-web-7
www.colegiul-buzau 3600 IN CNAME s-win-web-1
galeriadearta 3600 IN CNAME s-lnx-web-7
www.documente.excelis 3600 IN CNAME s-win-spp
www.defs 3600 IN A 193.226.34.89
sites.doc-cdi2008 3600 IN CNAME ghs.GOOGLE.COM.
costea 3600 IN CNAME s-lnx-web-7
alegeri-ase 3600 IN CNAME s-lnx-web-7
k-wks 3600 IN CNAME k
www.ecotin 3600 IN CNAME s-lnx-web-7
ddec 3600 IN A 193.226.34.89
test-net 3600 IN CNAME s-win-web-1
k 3600 IN A 86.55.178.126
m 3600 IN CNAME s-lnx-web-2
trasabilitate 3600 IN CNAME s-win-web-1
tutor.aac 3600 IN A 86.55.177.163
www.eres 3600 IN CNAME s-lnx-web-7
sibi-moose 3600 IN CNAME s-lnx-web-7
www.finantesioptiunipublice 3600 IN CNAME s-lnx-web-7
deam 3600 IN A 193.226.34.89
www.erpuniversitar 3600 IN CNAME s-lnx-web-7
www.alumnicom 3600 IN CNAME s-lnx-web-1
www.profesor 3600 IN A 193.226.34.56
ion.gh.rosca 3600 IN CNAME s-win-web-1
www.mba-energie 3600 IN CNAME s-lnx-web-7
info1 3600 IN A 192.168.4.58
docs.aac 3600 IN CNAME ghs.GOOGLE.COM.
www.newbiz 3600 IN A 193.226.34.69
conferenceie 3600 IN A 37.120.249.23
www.alexandria.idd 3600 IN CNAME s-win-web-1
defs 3600 IN A 193.226.34.89
defs 3600 IN MX 20 s-mail-1
