@ 172800 IN SOA sonett gorling.sonett 2015041801 10800 7200 604800 172800
@ 172800 IN NS deneb.dfn.de.
172800 IN NS sonett
@ 172800 IN MX 10 xylon
172800 IN MX 20 mailin2
nu175 172800 IN A 192.124.246.175
nu177 172800 IN A 192.124.246.177
nu178 172800 IN A 192.124.246.178
spieler 172800 IN A 192.124.246.176
nu181 172800 IN A 192.124.246.181
nu182 172800 IN A 192.124.246.182
nu183 172800 IN A 192.124.246.183
nu184 172800 IN A 192.124.246.184
nu185 172800 IN A 192.124.246.185
nu186 172800 IN A 192.124.246.186
nu187 172800 IN A 192.124.246.187
nu188 172800 IN A 192.124.246.188
nu200 172800 IN A 192.124.246.200
nu201 172800 IN A 192.124.246.201
nu202 172800 IN A 192.124.246.202
nu203 172800 IN A 192.124.246.203
nu204 172800 IN A 192.124.246.204
nu205 172800 IN A 192.124.246.205
nu196 172800 IN A 192.124.246.196
nu91 172800 IN A 192.124.246.91
nu208 172800 IN A 192.124.246.208
nu210 172800 IN A 192.124.246.210
nu60 172800 IN A 192.124.246.60
nu212 172800 IN A 192.124.246.212
nu180 172800 IN A 192.124.246.180
nu214 172800 IN A 192.124.246.214
nu215 172800 IN A 192.124.246.215
nu216 172800 IN A 192.124.246.216
nu217 172800 IN A 192.124.246.217
nu218 172800 IN A 192.124.246.218
nu220 172800 IN A 192.124.246.220
nu221 172800 IN A 192.124.246.221
nu222 172800 IN A 192.124.246.222
nu223 172800 IN A 192.124.246.223
nu224 172800 IN A 192.124.246.224
nu225 172800 IN A 192.124.246.225
uhura 172800 IN A 192.124.246.27
uhura 172800 IN MX 10 xylon
nu227 172800 IN A 192.124.246.227
fax 172800 IN A 192.124.246.233
nu230 172800 IN A 192.124.246.230
nu231 172800 IN A 192.124.246.231
kg 172800 IN A 192.124.246.206
nu234 172800 IN A 192.124.246.234
nu235 172800 IN A 192.124.246.235
nu236 172800 IN A 192.124.246.236
nu237 172800 IN A 192.124.246.237
nu238 172800 IN A 192.124.246.238
nu240 172800 IN A 192.124.246.240
pop3 172800 IN CNAME sonett
nu242 172800 IN A 192.124.246.242
nu18 172800 IN A 192.124.246.18
nu19 172800 IN A 192.124.246.19
nu245 172800 IN A 192.124.246.245
nu246 172800 IN A 192.124.246.246
nu23 172800 IN A 192.124.246.23
nu248 172800 IN A 192.124.246.248
nu250 172800 IN A 192.124.246.250
nu26 172800 IN A 192.124.246.26
nu252 172800 IN A 192.124.246.252
nu28 172800 IN A 192.124.246.28
nu254 172800 IN A 192.124.246.254
nu197 172800 IN A 192.124.246.197
nu40 172800 IN A 192.124.246.40
nu41 172800 IN A 192.124.246.41
nu42 172800 IN A 192.124.246.42
nu43 172800 IN A 192.124.246.43
nu44 172800 IN A 192.124.246.44
nu45 172800 IN A 192.124.246.45
nu46 172800 IN A 192.124.246.46
nu47 172800 IN A 192.124.246.47
nu48 172800 IN A 192.124.246.48
nu52 172800 IN A 192.124.246.52
nu53 172800 IN A 192.124.246.53
nu191 172800 IN A 192.124.246.191
nu56 172800 IN A 192.124.246.56
nu57 172800 IN A 192.124.246.57
nu58 172800 IN A 192.124.246.58
help 172800 IN A 192.124.246.13
nu61 172800 IN A 192.124.246.61
nu62 172800 IN A 192.124.246.62
nu63 172800 IN A 192.124.246.63
nu64 172800 IN A 192.124.246.64
nu65 172800 IN A 192.124.246.65
nu66 172800 IN A 192.124.246.66
nu67 172800 IN A 192.124.246.67
nu68 172800 IN A 192.124.246.68
nu70 172800 IN A 192.124.246.70
nu71 172800 IN A 192.124.246.71
nu72 172800 IN A 192.124.246.72
nu73 172800 IN A 192.124.246.73
nu74 172800 IN A 192.124.246.74
nu75 172800 IN A 192.124.246.75
nu76 172800 IN A 192.124.246.76
nu77 172800 IN A 192.124.246.77
nu78 172800 IN A 192.124.246.78
nu80 172800 IN A 192.124.246.80
nu81 172800 IN A 192.124.246.81
nu82 172800 IN A 192.124.246.82
nu83 172800 IN A 192.124.246.83
nu84 172800 IN A 192.124.246.84
nu85 172800 IN A 192.124.246.85
nu86 172800 IN A 192.124.246.86
nu87 172800 IN A 192.124.246.87
nu88 172800 IN A 192.124.246.88
nu90 172800 IN A 192.124.246.90
sonett 172800 IN MX 10 xylon
sonett 172800 IN A 192.124.246.34
nu92 172800 IN A 192.124.246.92
nu93 172800 IN A 192.124.246.93
x 172800 IN A 195.37.11.195
nu95 172800 IN A 192.124.246.95
users 172800 IN CNAME uhura3
nu97 172800 IN A 192.124.246.97
nu98 172800 IN A 192.124.246.98
nu99 172800 IN A 192.124.246.99
www.asta 172800 IN A 213.203.238.28
nu169 172800 IN A 192.124.246.169
ppp1 172800 IN A 192.124.246.1
ppp2 172800 IN A 192.124.246.2
ppp3 172800 IN A 192.124.246.3
ppp4 172800 IN A 192.124.246.4
ppp5 172800 IN A 192.124.246.5
ppp7 172800 IN A 192.124.246.7
ppp8 172800 IN A 192.124.246.8
ppp9 172800 IN A 192.124.246.9
xylon 172800 IN A 192.124.246.29
nu211 172800 IN A 192.124.246.211
nu213 172800 IN A 192.124.246.213
nu190 172800 IN A 192.124.246.190
nu109 172800 IN A 192.124.246.109
nu89 172800 IN A 192.124.246.89
nu112 172800 IN A 192.124.246.112
uhuraold 172800 IN A 192.124.246.54
moodle 172800 IN A 192.124.246.38
nu219 172800 IN A 192.124.246.219
astaold 172800 IN A 192.124.246.20
ppp10 172800 IN A 192.124.246.10
ppp11 172800 IN A 192.124.246.11
ppp12 172800 IN A 192.124.246.12
ppp14 172800 IN A 192.124.246.14
ppp15 172800 IN A 192.124.246.15
ppp16 172800 IN A 192.124.246.16
verwaltung 172800 IN MX 10 xylon
localhost 172800 IN A 127.0.0.1
nu189 172800 IN A 192.124.246.189
nu119 172800 IN A 192.124.246.119
nu192 172800 IN A 192.124.246.192
nu96 172800 IN A 192.124.246.96
nu226 172800 IN A 192.124.246.226
nu228 172800 IN A 192.124.246.228
elearning 172800 IN A 192.124.246.36
nu229 172800 IN A 192.124.246.229
nu69 172800 IN A 192.124.246.69
nu193 172800 IN A 192.124.246.193
mail1 172800 IN A 192.124.246.33
stupa 172800 IN A 192.124.246.21
nu17 172800 IN A 192.124.246.17
nu129 172800 IN A 192.124.246.129
asta 172800 IN A 213.203.238.28
nu194 172800 IN A 192.124.246.194
nu94 172800 IN A 192.124.246.94
nu152 172800 IN A 192.124.246.152
nu239 172800 IN A 192.124.246.239
nu232 172800 IN A 192.124.246.232
nu241 172800 IN A 192.124.246.241
nu195 172800 IN A 192.124.246.195
mail 172800 IN CNAME xylon
webmail 172800 IN CNAME mailin4
nu243 172800 IN A 192.124.246.243
nu244 172800 IN A 192.124.246.244
nu139 172800 IN A 192.124.246.139
mailin 172800 IN CNAME sonett
vdi 172800 IN A 192.124.246.51
spock 172800 IN A 192.124.246.55
nu22 172800 IN A 192.124.246.22
nu247 172800 IN A 192.124.246.247
nu143 172800 IN A 192.124.246.143
imap 172800 IN CNAME mailin4
nu25 172800 IN A 192.124.246.25
nu251 172800 IN A 192.124.246.251
www 172800 IN CNAME uhura4
nu199 172800 IN A 192.124.246.199
nu207 172800 IN A 192.124.246.207
nu253 172800 IN A 192.124.246.253
nu30 172800 IN A 192.124.246.30
nu59 172800 IN A 192.124.246.59
nu149 172800 IN A 192.124.246.149
uhura3 172800 IN A 192.124.246.37
uhura4 172800 IN A 192.124.246.39
mailin1 172800 IN MX 10 xylon
mailin1 172800 IN A 192.124.246.35
mailin2 172800 IN A 192.124.246.32
mailin3 172800 IN A 192.124.246.6
mailin4 172800 IN A 192.124.246.31
nu198 172800 IN A 192.124.246.198
nu179 172800 IN A 192.124.246.179
nu79 172800 IN A 192.124.246.79
manager 172800 IN A 192.124.246.49
nu209 172800 IN A 192.124.246.209
nu159 172800 IN A 192.124.246.159
nu24 172800 IN A 192.124.246.24
bachelor-ptet 172800 IN MX 10 xylon
nu100 172800 IN A 192.124.246.100
nu101 172800 IN A 192.124.246.101
nu102 172800 IN A 192.124.246.102
nu103 172800 IN A 192.124.246.103
nu104 172800 IN A 192.124.246.104
nu105 172800 IN A 192.124.246.105
nu106 172800 IN A 192.124.246.106
nu107 172800 IN A 192.124.246.107
nu108 172800 IN A 192.124.246.108
nu110 172800 IN A 192.124.246.110
nu111 172800 IN A 192.124.246.111
secure 172800 IN CNAME uhura4
nu113 172800 IN A 192.124.246.113
nu114 172800 IN A 192.124.246.114
nu115 172800 IN A 192.124.246.115
nu116 172800 IN A 192.124.246.116
nu117 172800 IN A 192.124.246.117
nu118 172800 IN A 192.124.246.118
nu120 172800 IN A 192.124.246.120
nu121 172800 IN A 192.124.246.121
nu122 172800 IN A 192.124.246.122
nu123 172800 IN A 192.124.246.123
nu124 172800 IN A 192.124.246.124
nu125 172800 IN A 192.124.246.125
nu126 172800 IN A 192.124.246.126
nu127 172800 IN A 192.124.246.127
nu128 172800 IN A 192.124.246.128
nu130 172800 IN A 192.124.246.130
nu131 172800 IN A 192.124.246.131
nu132 172800 IN A 192.124.246.132
nu133 172800 IN A 192.124.246.133
nu134 172800 IN A 192.124.246.134
nu135 172800 IN A 192.124.246.135
nu136 172800 IN A 192.124.246.136
nu137 172800 IN A 192.124.246.137
nu138 172800 IN A 192.124.246.138
nu140 172800 IN A 192.124.246.140
nu141 172800 IN A 192.124.246.141
nu142 172800 IN A 192.124.246.142
nu249 172800 IN A 192.124.246.249
nu144 172800 IN A 192.124.246.144
nu145 172800 IN A 192.124.246.145
nu146 172800 IN A 192.124.246.146
nu147 172800 IN A 192.124.246.147
nu148 172800 IN A 192.124.246.148
nu150 172800 IN A 192.124.246.150
nu151 172800 IN A 192.124.246.151
mailout 172800 IN CNAME mailin3
nu153 172800 IN A 192.124.246.153
nu154 172800 IN A 192.124.246.154
nu155 172800 IN A 192.124.246.155
nu156 172800 IN A 192.124.246.156
nu157 172800 IN A 192.124.246.157
nu158 172800 IN A 192.124.246.158
nu160 172800 IN A 192.124.246.160
nu161 172800 IN A 192.124.246.161
nu162 172800 IN A 192.124.246.162
nu163 172800 IN A 192.124.246.163
nu164 172800 IN A 192.124.246.164
nu165 172800 IN A 192.124.246.165
nu166 172800 IN A 192.124.246.166
nu167 172800 IN A 192.124.246.167
nu168 172800 IN A 192.124.246.168
nu170 172800 IN A 192.124.246.170
nu171 172800 IN A 192.124.246.171
nu172 172800 IN A 192.124.246.172
nu173 172800 IN A 192.124.246.173
nu174 172800 IN A 192.124.246.174
