@ 86400 IN SOA ns1 admin 2015050101 1200 900 1209600 86400
@ 86400 IN TXT "Zoo4=picasso"
86400 IN TXT "v=spf1 mx a ip4:212.191.34.2 -all"
@ 86400 IN MX 10 mail
@ 86400 IN A 212.191.34.2
@ 86400 IN NS ns1
86400 IN NS ns2
86400 IN NS ns3
g7792 86400 IN CNAME dali
g7804 86400 IN CNAME dali
g7805 86400 IN CNAME dali
g7806 86400 IN CNAME dali
g7807 86400 IN CNAME dali
g7808 86400 IN CNAME dali
g7803 86400 IN CNAME dali
g7811 86400 IN CNAME dali
g7812 86400 IN CNAME dali
g7813 86400 IN CNAME dali
g7814 86400 IN CNAME dali
g7815 86400 IN CNAME dali
g7816 86400 IN CNAME dali
g7817 86400 IN CNAME dali
g7818 86400 IN CNAME dali
g7819 86400 IN CNAME dali
g7821 86400 IN CNAME dali
g7822 86400 IN CNAME dali
g7823 86400 IN CNAME dali
g7824 86400 IN CNAME dali
g7825 86400 IN CNAME dali
g7826 86400 IN CNAME dali
g7827 86400 IN CNAME dali
g7828 86400 IN CNAME dali
g7829 86400 IN CNAME dali
g7831 86400 IN CNAME dali
g7832 86400 IN CNAME dali
g7833 86400 IN CNAME dali
g7834 86400 IN CNAME dali
g7835 86400 IN CNAME dali
g7836 86400 IN CNAME dali
g7837 86400 IN CNAME dali
g7838 86400 IN CNAME dali
g7839 86400 IN CNAME dali
g7841 86400 IN CNAME dali
g7842 86400 IN CNAME dali
g7843 86400 IN CNAME dali
g7844 86400 IN CNAME dali
g7845 86400 IN CNAME dali
g7846 86400 IN CNAME dali
g7809 86400 IN CNAME dali
w8805 86400 IN CNAME dali
w9071 86400 IN CNAME dali
w4268 86400 IN CNAME dali
www.t8747 86400 IN CNAME dali
zdudek 86400 IN CNAME dali
mczudak 86400 IN CNAME dali
www.t8749 86400 IN CNAME dali
w8840 86400 IN CNAME dali
s1094 86400 IN CNAME dali
g7877 86400 IN CNAME dali
g7878 86400 IN CNAME dali
g7879 86400 IN CNAME dali
g7881 86400 IN CNAME dali
g7882 86400 IN CNAME dali
g7883 86400 IN CNAME dali
www.cnis 86400 IN CNAME tycjan
g7885 86400 IN CNAME dali
g7886 86400 IN CNAME dali
g7887 86400 IN CNAME dali
g7888 86400 IN CNAME dali
g7889 86400 IN CNAME dali
g7901 86400 IN CNAME dali
g7892 86400 IN CNAME dali
g7893 86400 IN CNAME dali
g7894 86400 IN CNAME dali
g7895 86400 IN CNAME dali
g7896 86400 IN CNAME dali
g7897 86400 IN CNAME dali
g7898 86400 IN CNAME dali
g7899 86400 IN CNAME dali
bczarnas 86400 IN CNAME dali
w8200 86400 IN CNAME dali
g7820 86400 IN CNAME dali
mdziomdziora 86400 IN CNAME dali
www.kgrabowski 86400 IN CNAME dali
www.jmlodkowski 86400 IN CNAME dali
w9100 86400 IN CNAME dali
kmiller 86400 IN CNAME dali
g7940 86400 IN CNAME dali
g7941 86400 IN CNAME dali
g7942 86400 IN CNAME dali
g7943 86400 IN CNAME dali
g7944 86400 IN CNAME dali
g7945 86400 IN CNAME dali
g7946 86400 IN CNAME dali
g7947 86400 IN CNAME dali
g7948 86400 IN CNAME dali
g7949 86400 IN CNAME dali
g7951 86400 IN CNAME dali
g7952 86400 IN CNAME dali
g7953 86400 IN CNAME dali
g7954 86400 IN CNAME dali
g7955 86400 IN CNAME dali
g7956 86400 IN CNAME dali
g7957 86400 IN CNAME dali
g7958 86400 IN CNAME dali
g7960 86400 IN CNAME dali
g7961 86400 IN CNAME dali
g8064 86400 IN CNAME dali
g8065 86400 IN CNAME dali
www.wmatachowski 86400 IN CNAME dali
www.ytat 86400 IN CNAME dali
w8803 86400 IN CNAME dali
w8164 86400 IN CNAME dali
g7830 86400 IN CNAME dali
www.t8930 86400 IN CNAME dali
g8101 86400 IN CNAME dali
g8102 86400 IN CNAME dali
g8103 86400 IN CNAME dali
g8104 86400 IN CNAME dali
g8105 86400 IN CNAME dali
g8106 86400 IN CNAME dali
g8107 86400 IN CNAME dali
g8108 86400 IN CNAME dali
g8110 86400 IN CNAME dali
g8111 86400 IN CNAME dali
g8112 86400 IN CNAME dali
g8113 86400 IN CNAME dali
g8114 86400 IN CNAME dali
g8115 86400 IN CNAME dali
g8116 86400 IN CNAME dali
g8117 86400 IN CNAME dali
g8118 86400 IN CNAME dali
g8119 86400 IN CNAME dali
g8121 86400 IN CNAME dali
g8122 86400 IN CNAME dali
g8123 86400 IN CNAME dali
g8124 86400 IN CNAME dali
g8125 86400 IN CNAME dali
g8126 86400 IN CNAME dali
g8127 86400 IN CNAME dali
g8128 86400 IN CNAME dali
g8129 86400 IN CNAME dali
g8131 86400 IN CNAME dali
g8132 86400 IN CNAME dali
g8133 86400 IN CNAME dali
g8134 86400 IN CNAME dali
g8135 86400 IN CNAME dali
g8136 86400 IN CNAME dali
g8137 86400 IN CNAME dali
g8138 86400 IN CNAME dali
g8139 86400 IN CNAME dali
