@ 7200 IN SOA ns1 sysadmin 2015042900 3600 1800 604800 7200
@ 7200 IN NS ns1
7200 IN NS ns2
7200 IN NS ns3
7200 IN NS dns-ext1.dartmouth.edu.
@ 7200 IN TXT "MS=5E354484999182623AA1D571BBB9AA1365849A89"
@ 7200 IN MX 1 ASPMX.L.GOOGLE.COM.
7200 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
7200 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
7200 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
7200 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
@ 7200 IN A 141.224.64.97
tomte 7200 IN A 141.224.67.56
urness-141-224-232-14 7200 IN A 141.224.232.14
urness-141-224-232-15 7200 IN A 141.224.232.15
urness-141-224-232-16 7200 IN A 141.224.232.16
aug-student-141-224-207-208 7200 IN A 141.224.207.208
urness-141-224-232-18 7200 IN A 141.224.232.18
urness-141-224-232-13 7200 IN A 141.224.232.13
urness-141-224-232-21 7200 IN A 141.224.232.21
urness-141-224-232-22 7200 IN A 141.224.232.22
urness-141-224-232-23 7200 IN A 141.224.232.23
luther-141-224-229-213 7200 IN A 141.224.229.213
urness-141-224-232-25 7200 IN A 141.224.232.25
urness-141-224-232-26 7200 IN A 141.224.232.26
urness-141-224-232-27 7200 IN A 141.224.232.27
mongoose 7200 IN A 141.224.68.184
urness-141-224-232-29 7200 IN A 141.224.232.29
luther-141-224-229-214 7200 IN A 141.224.229.214
urness-141-224-232-32 7200 IN A 141.224.232.32
urness-141-224-232-33 7200 IN A 141.224.232.33
urness-141-224-232-34 7200 IN A 141.224.232.34
urness-141-224-232-35 7200 IN A 141.224.232.35
urness-141-224-232-36 7200 IN A 141.224.232.36
luther-141-224-229-215 7200 IN A 141.224.229.215
urness-141-224-232-38 7200 IN A 141.224.232.38
urness-141-224-232-39 7200 IN A 141.224.232.39
anderson-141-224-226-208 7200 IN A 141.224.226.208
urness-141-224-232-42 7200 IN A 141.224.232.42
urness-141-224-232-43 7200 IN A 141.224.232.43
aug-guest-141-224-219-130 7200 IN A 141.224.219.130
urness-141-224-232-45 7200 IN A 141.224.232.45
urness-141-224-232-17 7200 IN A 141.224.232.17
urness-141-224-232-47 7200 IN A 141.224.232.47
urness-141-224-232-48 7200 IN A 141.224.232.48
urness-141-224-232-49 7200 IN A 141.224.232.49
luther-141-224-229-217 7200 IN A 141.224.229.217
urness-141-224-232-52 7200 IN A 141.224.232.52
urness-141-224-232-53 7200 IN A 141.224.232.53
urness-141-224-232-100 7200 IN A 141.224.232.100
urness-141-224-232-101 7200 IN A 141.224.232.101
urness-141-224-232-102 7200 IN A 141.224.232.102
luther-141-224-229-218 7200 IN A 141.224.229.218
urness-141-224-232-104 7200 IN A 141.224.232.104
urness-141-224-232-105 7200 IN A 141.224.232.105
urness-141-224-232-106 7200 IN A 141.224.232.106
urness-141-224-232-107 7200 IN A 141.224.232.107
urness-141-224-232-108 7200 IN A 141.224.232.108
luther-141-224-229-219 7200 IN A 141.224.229.219
urness-141-224-232-111 7200 IN A 141.224.232.111
urness-141-224-232-112 7200 IN A 141.224.232.112
urness-141-224-232-113 7200 IN A 141.224.232.113
urness-141-224-232-114 7200 IN A 141.224.232.114
urness-141-224-232-115 7200 IN A 141.224.232.115
luther-141-224-229-221 7200 IN A 141.224.229.221
urness-141-224-232-117 7200 IN A 141.224.232.117
urness-141-224-232-118 7200 IN A 141.224.232.118
urness-141-224-232-119 7200 IN A 141.224.232.119
urness-141-224-232-121 7200 IN A 141.224.232.121
urness-141-224-232-122 7200 IN A 141.224.232.122
luther-141-224-229-222 7200 IN A 141.224.229.222
urness-141-224-232-124 7200 IN A 141.224.232.124
urness-141-224-232-125 7200 IN A 141.224.232.125
urness-141-224-232-126 7200 IN A 141.224.232.126
theldurin 7200 IN A 141.224.64.42
urness-141-224-232-128 7200 IN A 141.224.232.128
luther-141-224-229-223 7200 IN A 141.224.229.223
urness-141-224-232-131 7200 IN A 141.224.232.131
urness-141-224-232-132 7200 IN A 141.224.232.132
urness-141-224-232-133 7200 IN A 141.224.232.133
urness-141-224-232-134 7200 IN A 141.224.232.134
urness-141-224-232-135 7200 IN A 141.224.232.135
luther-141-224-229-224 7200 IN A 141.224.229.224
urness-141-224-232-137 7200 IN A 141.224.232.137
urness-141-224-232-138 7200 IN A 141.224.232.138
urness-141-224-232-139 7200 IN A 141.224.232.139
urness-141-224-232-141 7200 IN A 141.224.232.141
urness-141-224-232-142 7200 IN A 141.224.232.142
luther-141-224-229-225 7200 IN A 141.224.229.225
urness-141-224-232-144 7200 IN A 141.224.232.144
urness-141-224-232-145 7200 IN A 141.224.232.145
urness-141-224-232-146 7200 IN A 141.224.232.146
urness-141-224-232-147 7200 IN A 141.224.232.147
urness-141-224-232-148 7200 IN A 141.224.232.148
aug-guest-141-224-219-139 7200 IN A 141.224.219.139
urness-141-224-232-151 7200 IN A 141.224.232.151
urness-141-224-232-152 7200 IN A 141.224.232.152
urness-141-224-232-153 7200 IN A 141.224.232.153
urness-141-224-232-154 7200 IN A 141.224.232.154
urness-141-224-232-155 7200 IN A 141.224.232.155
luther-141-224-229-227 7200 IN A 141.224.229.227
urness-141-224-232-157 7200 IN A 141.224.232.157
urness-141-224-232-158 7200 IN A 141.224.232.158
urness-141-224-232-159 7200 IN A 141.224.232.159
urness-141-224-232-161 7200 IN A 141.224.232.161
urness-141-224-232-162 7200 IN A 141.224.232.162
luther-141-224-229-228 7200 IN A 141.224.229.228
urness-141-224-232-164 7200 IN A 141.224.232.164
urness-141-224-232-165 7200 IN A 141.224.232.165
urness-141-224-232-166 7200 IN A 141.224.232.166
urness-141-224-232-167 7200 IN A 141.224.232.167
oren-141-224-240-30 7200 IN A 141.224.240.30
luther-141-224-229-229 7200 IN A 141.224.229.229
urness-141-224-232-171 7200 IN A 141.224.232.171
urness-141-224-232-172 7200 IN A 141.224.232.172
urness-141-224-232-173 7200 IN A 141.224.232.173
urness-141-224-232-174 7200 IN A 141.224.232.174
urness-141-224-232-175 7200 IN A 141.224.232.175
luther-141-224-229-231 7200 IN A 141.224.229.231
urness-141-224-232-177 7200 IN A 141.224.232.177
urness-141-224-232-178 7200 IN A 141.224.232.178
urness-141-224-232-179 7200 IN A 141.224.232.179
urness-141-224-232-181 7200 IN A 141.224.232.181
urness-141-224-232-182 7200 IN A 141.224.232.182
luther-141-224-229-232 7200 IN A 141.224.229.232
urness-141-224-232-184 7200 IN A 141.224.232.184
urness-141-224-232-185 7200 IN A 141.224.232.185
urness-141-224-232-186 7200 IN A 141.224.232.186
urness-141-224-232-187 7200 IN A 141.224.232.187
urness-141-224-232-188 7200 IN A 141.224.232.188
luther-141-224-229-233 7200 IN A 141.224.229.233
urness-141-224-232-191 7200 IN A 141.224.232.191
urness-141-224-232-192 7200 IN A 141.224.232.192
urness-141-224-232-193 7200 IN A 141.224.232.193
urness-141-224-232-194 7200 IN A 141.224.232.194
urness-141-224-232-195 7200 IN A 141.224.232.195
luther-141-224-229-234 7200 IN A 141.224.229.234
urness-141-224-232-197 7200 IN A 141.224.232.197
urness-141-224-232-198 7200 IN A 141.224.232.198
urness-141-224-232-199 7200 IN A 141.224.232.199
urness-141-224-232-211 7200 IN A 141.224.232.211
urness-141-224-232-212 7200 IN A 141.224.232.212
luther-141-224-229-235 7200 IN A 141.224.229.235
urness-141-224-232-214 7200 IN A 141.224.232.214
urness-141-224-232-215 7200 IN A 141.224.232.215
urness-141-224-232-216 7200 IN A 141.224.232.216
urness-141-224-232-217 7200 IN A 141.224.232.217
urness-141-224-232-218 7200 IN A 141.224.232.218
aug-guest-141-224-219-149 7200 IN A 141.224.219.149
urness-141-224-232-221 7200 IN A 141.224.232.221
urness-141-224-232-222 7200 IN A 141.224.232.222
urness-141-224-232-223 7200 IN A 141.224.232.223
urness-141-224-232-224 7200 IN A 141.224.232.224
urness-141-224-232-225 7200 IN A 141.224.232.225
luther-141-224-229-237 7200 IN A 141.224.229.237
urness-141-224-232-227 7200 IN A 141.224.232.227
urness-141-224-232-228 7200 IN A 141.224.232.228
urness-141-224-232-229 7200 IN A 141.224.232.229
urness-141-224-232-231 7200 IN A 141.224.232.231
urness-141-224-232-232 7200 IN A 141.224.232.232
luther-141-224-229-238 7200 IN A 141.224.229.238
urness-141-224-232-234 7200 IN A 141.224.232.234
urness-141-224-232-235 7200 IN A 141.224.232.235
urness-141-224-232-236 7200 IN A 141.224.232.236
urness-141-224-232-237 7200 IN A 141.224.232.237
urness-141-224-232-238 7200 IN A 141.224.232.238
luther-141-224-229-239 7200 IN A 141.224.229.239
urness-141-224-232-241 7200 IN A 141.224.232.241
urness-141-224-232-242 7200 IN A 141.224.232.242
urness-141-224-232-243 7200 IN A 141.224.232.243
urness-141-224-232-244 7200 IN A 141.224.232.244
urness-141-224-232-245 7200 IN A 141.224.232.245
luther-141-224-229-241 7200 IN A 141.224.229.241
urness-141-224-232-247 7200 IN A 141.224.232.247
urness-141-224-232-248 7200 IN A 141.224.232.248
urness-141-224-232-249 7200 IN A 141.224.232.249
urness-141-224-232-251 7200 IN A 141.224.232.251
urness-141-224-232-252 7200 IN A 141.224.232.252
luther-141-224-229-242 7200 IN A 141.224.229.242
urness-141-224-232-254 7200 IN A 141.224.232.254
urness-141-224-232-255 7200 IN A 141.224.232.255
luther-141-224-229-243 7200 IN A 141.224.229.243
urness-141-224-232-44 7200 IN A 141.224.232.44
luther-141-224-229-244 7200 IN A 141.224.229.244
luther-141-224-229-245 7200 IN A 141.224.229.245
urness-141-224-232-46 7200 IN A 141.224.232.46
aug-guest-141-224-219-159 7200 IN A 141.224.219.159
luther-141-224-229-247 7200 IN A 141.224.229.247
luther-141-224-229-248 7200 IN A 141.224.229.248
urness-141-224-232-50 7200 IN A 141.224.232.50
aug-student-141-224-202-170 7200 IN A 141.224.202.170
luther-141-224-229-249 7200 IN A 141.224.229.249
urness-141-224-232-51 7200 IN A 141.224.232.51
luther-141-224-229-251 7200 IN A 141.224.229.251
luther-141-224-229-252 7200 IN A 141.224.229.252
aug-student-141-224-207-200 7200 IN A 141.224.207.200
luther-141-224-229-253 7200 IN A 141.224.229.253
aug-facstaff-141-224-223-50 7200 IN A 141.224.223.50
luther-141-224-229-254 7200 IN A 141.224.229.254
urness-141-224-232-55 7200 IN A 141.224.232.55
luther-141-224-229-255 7200 IN A 141.224.229.255
urness-141-224-232-56 7200 IN A 141.224.232.56
aug-guest-141-224-219-169 7200 IN A 141.224.219.169
urness-141-224-232-103 7200 IN A 141.224.232.103
oren-141-224-240-31 7200 IN A 141.224.240.31
urness-141-224-232-58 7200 IN A 141.224.232.58
aug-student-141-224-202-79 7200 IN A 141.224.202.79
urness-141-224-232-59 7200 IN A 141.224.232.59
urness-141-224-232-61 7200 IN A 141.224.232.61
luther-141-224-230-183 7200 IN A 141.224.230.183
urness-141-224-232-62 7200 IN A 141.224.232.62
urness-141-224-232-63 7200 IN A 141.224.232.63
urness-141-224-232-109 7200 IN A 141.224.232.109
urness-141-224-232-65 7200 IN A 141.224.232.65
urness-141-224-232-66 7200 IN A 141.224.232.66
aug-guest-141-224-219-179 7200 IN A 141.224.219.179
urness-141-224-232-67 7200 IN A 141.224.232.67
urness-141-224-232-68 7200 IN A 141.224.232.68
aug-student-141-224-202-100 7200 IN A 141.224.202.100
urness-141-224-232-69 7200 IN A 141.224.232.69
aug-student-141-224-202-101 7200 IN A 141.224.202.101
aug-facstaff-141-224-223-53 7200 IN A 141.224.223.53
aug-student-141-224-202-102 7200 IN A 141.224.202.102
urness-141-224-232-72 7200 IN A 141.224.232.72
aug-student-141-224-202-103 7200 IN A 141.224.202.103
urness-141-224-232-150 7200 IN A 141.224.232.150
urness-141-224-232-73 7200 IN A 141.224.232.73
aug-student-141-224-202-104 7200 IN A 141.224.202.104
urness-141-224-232-120 7200 IN A 141.224.232.120
aug-student-141-224-202-105 7200 IN A 141.224.202.105
urness-141-224-232-75 7200 IN A 141.224.232.75
aug-student-141-224-202-106 7200 IN A 141.224.202.106
