@ 3600 IN SOA ns1.universitetibeder.com. root 2014040825 3600 7200 604800 86400
@ 3600 IN TXT "MS=ms88602213"
@ 3600 IN NS ns1.universitetibeder.com.
3600 IN NS ns2.universitetibeder.com.
@ 3600 IN MX 1 ASPMX.L.GOOGLE.COM.
3600 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
3600 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
3600 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
3600 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
3600 IN MX 10 ASPMX4.GOOGLEMAIL.COM.
3600 IN MX 10 ASPMX5.GOOGLEMAIL.COM.
@ 3600 IN A 176.58.115.225
ajls 3600 IN A 79.106.102.27
report.survey 3600 IN A 176.58.115.225
library.dev 3600 IN A 217.24.250.14
pgsql.dev 3600 IN A 217.24.250.14
hr 3600 IN A 79.106.102.27
sajmir.dev 3600 IN A 217.24.250.14
departments 3600 IN A 176.58.115.225
ferrari 3600 IN A 217.24.250.14
it 3600 IN A 217.24.250.14
summer2014.dev 3600 IN A 217.24.250.14
ell 3600 IN A 176.58.115.225
cepd 3600 IN A 79.106.102.27
admin.library 3600 IN A 217.24.250.14
law 3600 IN A 176.58.115.225
spring2015.dev 3600 IN A 217.24.250.14
www 3600 IN A 176.58.115.225
philology 3600 IN A 176.58.115.225
ices 3600 IN A 176.58.115.225
mcc 3600 IN A 79.106.102.27
fall2013.dev 3600 IN A 217.24.250.14
pr 3600 IN A 79.106.102.27
mco 3600 IN A 79.106.102.27
advisors.dev 3600 IN A 217.24.250.14
humanities 3600 IN A 176.58.115.225
library 3600 IN A 217.24.250.14
cloud 3600 IN A 192.168.0.50
allgrades.dev 3600 IN A 217.24.250.14
survey 3600 IN A 176.58.115.225
bis1 3600 IN A 176.58.115.225
bis2 3600 IN A 176.58.115.225
webmail 3600 IN CNAME ghs.google.com.
uaslan.spring2014.dev 3600 IN A 217.24.250.14
research 3600 IN A 79.106.102.27
bjes 3600 IN A 79.106.102.27
tde 3600 IN A 176.58.115.225
uaslan.grades.dev 3600 IN A 217.24.250.14
academy 3600 IN A 79.106.102.27
dev 3600 IN A 217.24.250.14
becis 3600 IN A 79.106.102.27
udek 3600 IN A 176.58.115.225
documents.dev 3600 IN A 217.24.250.14
yceec 3600 IN A 79.106.102.27
grades.dev 3600 IN A 217.24.250.14
backup 3600 IN A 217.24.250.14
ich 3600 IN A 176.58.115.225
icell 3600 IN A 176.58.115.225
bjh 3600 IN A 79.106.102.27
bis 3600 IN A 176.58.115.225
messageoflife 3600 IN CNAME ghs.google.com.
additionalexams.dev 3600 IN A 217.24.250.14
bjt 3600 IN A 79.106.102.27
tt 3600 IN A 79.106.102.27
fall2014.dev 3600 IN A 217.24.250.14
ns1.universitetibeder.com 3600 IN A 79.106.102.27
ttm 3600 IN A 79.106.102.27
opac 3600 IN A 79.106.102.27
ns2.universitetibeder.com 3600 IN A 79.106.102.27
iccms 3600 IN A 176.58.115.225
admin 3600 IN A 176.58.115.225
lib-admin 3600 IN A 79.106.102.27
exam 3600 IN A 79.106.102.27
spring2014.dev 3600 IN A 217.24.250.14
ksmp 3600 IN A 79.106.102.27
cll 3600 IN A 79.106.102.27
qac 3600 IN A 79.106.102.27
gradesreport.dev 3600 IN A 217.24.250.14
iyrcl 3600 IN A 176.58.115.225
courses.dev 3600 IN A 217.24.250.14
katre 3600 IN A 79.106.102.27
com 3600 IN A 176.58.115.225
faculties 3600 IN A 176.58.115.225
iro 3600 IN A 79.106.102.27
libstats.dev 3600 IN A 217.24.250.14
konkursi 3600 IN A 79.106.102.27
clubs 3600 IN A 79.106.102.27
cloud.dev 3600 IN A 192.168.0.50
www.ices 3600 IN A 176.58.115.225
libdata.dev 3600 IN A 217.24.250.14
phed 3600 IN A 176.58.115.225
tasks.it 3600 IN A 79.106.102.27
events 3600 IN A 79.106.102.27
bookclub 3600 IN A 79.106.102.27
libadmin.dev 3600 IN A 217.24.250.14
isc 3600 IN A 176.58.115.225
phpdev 3600 IN A 192.168.0.50
career 3600 IN A 79.106.102.27
deneme 3600 IN A 79.106.102.27
staff 3600 IN A 79.106.102.27
