@ 43200 IN SOA ns1.rivalogic.com. admin.rivalogic.com. 271 900 600 21600 3600
@ 3600 IN TXT "v=spf1 include:spf.protection.outlook.com -all"
@ 3600 IN MX 0 bharatividyapeeth-edu.mail.eo.outlook.com.
@ 3600 IN NS ns1.rivalogic.com.
3600 IN NS ns2.rivalogic.com.
@ 3600 IN A 173.192.47.4
alumni-imsrmumbai 3600 IN A 180.179.50.139
alumni-conmumbai 3600 IN A 180.179.50.139
alumni-dpkmsangli 3600 IN A 180.179.50.139
alumni-optometry 3600 IN A 180.179.50.139
dpkmsangli 3600 IN A 173.192.47.4
yclc 3600 IN A 173.192.47.4
photography 3600 IN A 173.192.47.4
iotmumbai 3600 IN A 173.192.47.4
iotpalus 3600 IN A 173.192.47.4
bvgoilcoe 3600 IN A 173.192.47.4
alumni-akfdc 3600 IN A 180.179.50.139
coewpune 3600 IN A 173.192.47.4
alumni-mswsolapur 3600 IN A 180.179.50.139
coekolhapur 3600 IN A 173.192.47.4
alumni-mbskkm 3600 IN A 180.179.50.139
akim 3600 IN A 173.192.47.4
mswsolapur 3600 IN A 173.192.47.4
alumni-yclc 3600 IN A 180.179.50.139
irsha 3600 IN A 173.192.47.4
alumni-consangli 3600 IN A 180.179.50.139
alumni-nlcsangli 3600 IN A 180.179.50.139
mail 3600 IN A 173.192.47.4
coayurved 3600 IN A 173.192.47.4
alumni-ymc 3600 IN A 180.179.50.139
alumni-icam 3600 IN A 180.179.50.139
iopmumbai 3600 IN A 173.192.47.4
alumni-akim 3600 IN A 180.179.50.139
mchsangli 3600 IN A 173.192.47.4
_sipfederationtls._tcp 3600 IN SRV 100 1 5061 sipfed.online.lync.com.
imrda 3600 IN A 173.192.47.4
_sip._tls 3600 IN SRV 100 1 443 sipdir.online.lync.com.
chtms 3600 IN A 173.192.47.4
bvucoepune 3600 IN A 173.192.47.4
celebrating50 3600 IN A 173.192.47.4
ymimkarad 3600 IN A 173.192.47.4
communication 3600 IN A 216.205.99.39
icamdelhi 3600 IN A 173.192.47.4
ymc 3600 IN A 173.192.47.4
alumni-mcpune 3600 IN A 180.179.50.139
sip 3600 IN CNAME sipdir.online.lync.com.
alumni-conpune 3600 IN A 180.179.50.139
alumni-coemumbai 3600 IN A 180.179.50.139
alumni-dcpune 3600 IN A 180.179.50.139
coahingangaon 3600 IN A 173.192.47.4
alumni-imrda 3600 IN A 180.179.50.139
rgitbt 3600 IN A 173.192.47.4
shivajiraokadam 3600 IN A 173.193.14.218
bvls 3600 IN A 173.192.47.4
coarcpune 3600 IN A 173.192.47.4
alumni-bhvp 3600 IN A 180.179.50.139
spa 3600 IN A 173.192.47.4
coedelhi 3600 IN A 173.192.47.4
