@ 3600 IN SOA dns root 2015042106 30 30 360 3600
@ 3600 IN TXT "v=spf1 a mx mx:mail.bisu.edu.cn ip4:211.71.192.72 ip4:123.127.226.209 ~all"
@ 3600 IN MX 10 mail
@ 3600 IN NS dns
3600 IN NS dns2
zsjy 3600 IN A 202.106.114.11
tour 3600 IN A 218.249.164.253
EW-PR 3600 IN A 211.71.192.34
cxy 3600 IN A 123.127.226.252
bisuaa 3600 IN A 218.249.164.244
ic 3600 IN A 211.71.192.101
hr 3600 IN A 123.127.226.248
jwc 3600 IN A 211.71.192.6
jxjy 3600 IN A 123.127.226.252
tch09 3600 IN A 211.71.192.77
guoshang.bisu.edu.cn 3600 IN A 123.127.226.252
yingying.bisu.edu.cn 3600 IN A 123.127.226.252
3comwx 3600 IN A 192.168.1.238
guochuan.bisu.edu.cn 3600 IN A 123.127.226.252
mh 3600 IN A 123.127.226.252
EW-WEB 3600 IN A 211.71.192.65
tiyu 3600 IN A 123.127.226.252
oa 3600 IN A 10.10.15.16
ksg 3600 IN A 211.71.192.80
paxy 3600 IN A 123.127.226.252
tiyu.bisu.edu.cn 3600 IN A 123.127.226.252
map 3600 IN A 124.207.233.182
www 3600 IN A 123.127.226.252
dyz 3600 IN A 123.127.226.252
guochuan 3600 IN A 123.127.226.252
c 3600 IN A 123.127.226.206
ictd.bisu.edu.cn 3600 IN A 123.127.226.252
i 3600 IN A 123.127.226.246
etc 3600 IN A 211.71.192.78
kwh 3600 IN A 123.127.226.252
v 3600 IN A 211.71.192.76
jmhz 3600 IN A 123.127.226.252
fazheng.bisu.edu.cn 3600 IN A 123.127.226.252
yingying 3600 IN A 123.127.226.252
kyc 3600 IN A 211.71.202.70
su 3600 IN A 211.71.192.77
jyzx.bisu.edu.cn 3600 IN A 123.127.226.252
guoshang 3600 IN A 123.127.226.252
riyu 3600 IN A 123.127.226.252
riyu.bisu.edu.cn 3600 IN A 123.127.226.252
50th 3600 IN A 218.249.164.243
zhaosheng 3600 IN A 123.127.226.252
3600 IN A 211.71.192.77
mend 3600 IN A 218.249.164.249
filter 3600 IN A 211.71.192.72
jxjy.bisu.edu.cn 3600 IN A 123.127.226.252
eyu 3600 IN A 123.127.226.252
jiuguan.bisu.edu.cn 3600 IN A 123.127.226.252
youth 3600 IN A 123.127.226.252
kwh.bisu.edu.cn 3600 IN A 123.127.226.252
zs 3600 IN A 123.127.226.252
whcy 3600 IN A 123.127.226.252
nicd.bisu.edu.cn 3600 IN A 123.127.226.252
sign 3600 IN A 211.71.192.26
szyp 3600 IN A 211.71.192.4
hanyu.bisu.edu.cn 3600 IN A 123.127.226.252
test 3600 IN A 211.71.192.77
ftp 3600 IN A 211.71.192.10
ictd 3600 IN A 123.127.226.252
chaoyu 3600 IN A 123.127.226.252
chaoyu.bisu.edu.cn 3600 IN A 123.127.226.252
sie 3600 IN A 123.100.12.39
nic 3600 IN A 211.71.192.9
jyzx 3600 IN A 123.127.226.252
server2 3600 IN A 211.71.197.133
journal 3600 IN A 124.207.233.178
examination 3600 IN A 211.71.192.26
mta 3600 IN A 211.71.202.14
news.bisu.edu.cn 3600 IN A 123.127.226.252
iptv 3600 IN A 211.71.201.59
fazheng 3600 IN A 123.127.226.252
etc.bisu.edu.cn 3600 IN A 123.127.226.252
tech 3600 IN A 10.10.15.38
nicd 3600 IN A 123.127.226.199
examine 3600 IN A 211.71.192.26
hanyu 3600 IN A 123.127.226.252
3600 IN A 211.71.202.132
jingpin 3600 IN A 123.127.227.125
zhaopin 3600 IN A 123.127.226.248
hnd 3600 IN A 123.127.226.233
EW-DB 3600 IN A 211.71.192.1
cas 3600 IN A 123.127.226.245
lib.bisu.edu.cn 3600 IN A 123.127.226.252
mail 3600 IN A 123.127.226.209
deyu.bisu.edu.cn 3600 IN A 123.127.226.252
yahb 3600 IN A 125.40.73.52
jiuye 3600 IN A 123.127.226.211
computer 3600 IN A 211.71.192.79
cont 3600 IN A 10.10.15.60
www.tepcb.com 3600 IN A 123.127.226.252
ayu 3600 IN A 123.127.226.252
sizheng.bisu.edu.cn 3600 IN A 123.127.226.252
exam 3600 IN A 211.71.192.26
brict 3600 IN A 123.127.226.252
deyu 3600 IN A 123.127.226.252
obor 3600 IN A 123.127.226.252
yingyu 3600 IN A 123.127.226.252
student 3600 IN A 123.127.226.221
lib 3600 IN A 211.71.202.5
chaxun 3600 IN A 211.71.192.66
ecard 3600 IN A 10.10.15.30
fanyi.bisu.edu.cn 3600 IN A 123.127.226.252
lvguan.bisu.edu.cn 3600 IN A 123.127.226.252
yingyu.bisu.edu.cn 3600 IN A 123.127.226.252
ayu.bisu.edu.cn 3600 IN A 123.127.226.252
EW-EM 3600 IN A 211.71.192.67
ryxy 3600 IN A 211.71.192.74
lvguan 3600 IN A 123.127.226.252
sizheng 3600 IN A 123.127.226.252
youth.bisu.edu.cn 3600 IN A 123.127.226.252
jmhz.bisu.edu.cn 3600 IN A 123.127.226.252
careers 3600 IN A 211.71.192.28
xipu.bisu.edu.cn 3600 IN A 123.127.226.252
dns2 3600 IN A 123.127.226.210
fayi 3600 IN A 123.127.226.252
