@ 3600 IN SOA dns root 2014092904 30 30 360 3600
@ 3600 IN NS dns
@ 3600 IN MX 10 mailgate
@ 3600 IN A 218.107.131.253
jxsy 3600 IN A 219.242.208.2
gh 3600 IN A 219.242.208.2
keyan 3600 IN A 219.242.208.10
media1 3600 IN A 219.242.208.39
media2 3600 IN A 219.242.208.39
jjxy 3600 IN A 219.242.208.2
hq 3600 IN A 219.242.208.2
hr 3600 IN A 121.194.16.232
jwc 3600 IN A 219.242.208.2
it 3600 IN A 219.242.208.2
* 3600 IN A 219.242.208.2
english 3600 IN A 219.242.208.132
jy 3600 IN A 219.242.208.39
whsh 3600 IN A 219.242.208.2
lib 3600 IN A 219.242.208.2
ssrc 3600 IN A 219.242.208.2
xuebao 3600 IN A 121.194.16.60
oa 3600 IN A 121.194.18.40
yanzhao 3600 IN A 121.194.17.13
csep 3600 IN A 121.194.17.19
www 3600 IN A 219.242.208.2
pe 3600 IN A 219.242.208.2
map 3600 IN A 121.194.16.124
xxgk 3600 IN A 219.242.208.2
gbc 3600 IN A 219.242.208.2
taiban 3600 IN A 219.242.208.2
fld 3600 IN A 219.242.208.2
xjc 3600 IN A 219.242.208.2
rsc 3600 IN A 219.242.208.2
tv 3600 IN A 219.242.208.155
mailgate 3600 IN A 219.242.208.16
xb 3600 IN A 219.242.208.2
cxzy 3600 IN A 219.242.208.2
xq 3600 IN A 219.242.208.55
zb 3600 IN A 219.242.208.191
count 3600 IN A 219.242.208.131
xyy 3600 IN A 219.242.208.2
ltx 3600 IN A 219.242.208.2
zs 3600 IN A 219.242.208.2
lunwen 3600 IN A 121.194.17.13
zy 3600 IN A 219.242.208.31
ftp 3600 IN A 219.242.208.130
iaaf-rdcbj 3600 IN A 219.242.208.2
ysx 3600 IN A 219.242.208.2
ssc 3600 IN A 219.242.208.2
new 3600 IN A 121.194.18.32
shty 3600 IN A 219.242.208.2
zhaopin 3600 IN A 121.194.16.232
gra 3600 IN A 121.194.17.13
office 3600 IN A 219.242.208.19
grs 3600 IN A 219.242.208.2
szb 3600 IN A 219.242.208.2
fzgh 3600 IN A 219.242.208.2
shouyu 3600 IN A 121.194.17.38
iec 3600 IN A 219.242.208.2
music 3600 IN A 219.242.208.182
mail 3600 IN A 219.242.208.16
cbs 3600 IN A 219.242.208.2
zzb 3600 IN A 219.242.208.2
pan 3600 IN A 219.242.208.177
tuanwei 3600 IN A 219.242.208.2
cgglc 3600 IN A 219.242.208.2
cwc 3600 IN A 219.242.208.2
tzb 3600 IN A 219.242.208.2
tyzz 3600 IN A 219.242.208.2
zcglc 3600 IN A 219.242.208.2
jpkc 3600 IN A 121.194.17.18
meepo 3600 IN A 219.242.208.174
wushu 3600 IN A 219.242.208.2
zdsy 3600 IN A 219.242.208.2
bwb 3600 IN A 219.242.208.2
web 3600 IN A 219.242.208.19
vod 3600 IN A 219.242.208.152
jjb 3600 IN A 219.242.208.2
ms 3600 IN A 219.242.208.2
sportperformance 3600 IN A 121.194.17.8
vpn 3600 IN A 219.242.208.185
jjs 3600 IN A 219.242.208.2
btcy 3600 IN A 219.242.208.2
ydkfx 3600 IN A 219.242.208.2
wsc 3600 IN A 219.242.208.2
bb 3600 IN A 219.242.208.28
xcb 3600 IN A 219.242.208.2
da 3600 IN A 121.194.16.43
cm 3600 IN A 219.242.208.2
jjty 3600 IN A 219.242.208.2
dns 3600 IN A 219.242.208.8
kjc 3600 IN A 219.242.208.2
xgb 3600 IN A 219.242.208.2
en 3600 IN A 219.242.208.2
