@ 3600 IN SOA dns root 2015040902 30 30 360 3600
@ 3600 IN MX 10 mail
@ 3600 IN NS ns
3600 IN NS dns
@ 3600 IN A 202.198.96.245
jjwy 3600 IN A 202.198.96.129
hedu 3600 IN A 202.198.96.129
wuli 3600 IN A 202.198.96.129
mooccs 3600 IN A 202.198.96.194
shadu 3600 IN A 202.198.96.215
guoji 3600 IN A 202.198.96.129
photo 3600 IN A 202.198.96.149
wsim 3600 IN A 202.198.96.227
tiyu 3600 IN A 202.198.96.129
richeng 3600 IN A 125.32.15.107
xcb 3600 IN A 202.198.96.129
www 3600 IN CNAME s-104691.gotocdn.com.
ns 3600 IN A 125.32.15.109
moocpassport 3600 IN A 202.198.96.194
map 3600 IN A 202.198.96.161
chujiao 3600 IN A 202.198.96.129
moocmooc 3600 IN A 202.198.96.194
wsapp 3600 IN A 202.198.96.214
xsc 3600 IN A 202.198.96.129
3600 IN A 202.198.96.149
women 3600 IN A 202.198.96.129
baowei 3600 IN A 202.198.96.129
xsh 3600 IN A 202.198.96.129
shengke 3600 IN A 202.198.96.129
zizhu 3600 IN A 202.198.96.129
zt 3600 IN A 118.244.235.53
yjs 3600 IN A 202.198.96.129
moochead 3600 IN A 202.198.96.194
connections 3600 IN A 202.198.96.178
kyc 3600 IN A 202.198.96.129
rsc 3600 IN A 202.198.96.129
jingguan 3600 IN A 202.198.96.129
moocmsg 3600 IN A 202.198.96.194
yjsh 3600 IN A 202.198.96.129
mooccsd0 3600 IN A 202.198.96.194
webseal 3600 IN A 202.198.96.238
xyh 3600 IN A 202.198.96.171
chuanmei 3600 IN A 202.198.96.129
yb 3600 IN A 202.198.96.129
mooci 3600 IN A 202.198.96.194
chengjiao 3600 IN A 202.198.96.129
youth 3600 IN A 202.198.96.153
ltx 3600 IN A 202.198.96.129
weihu 3600 IN A 202.198.98.248
zhengfa 3600 IN A 202.198.96.129
dangxiao 3600 IN A 202.198.96.129
chenghuan 3600 IN A 202.198.96.129
cssq 3600 IN A 202.198.98.241
ipv6 3600 IN AAAA 2001:da8:b006:f060:250:56ff:fe88:bf0a
ipv6 3600 IN A 202.198.96.224
net 3600 IN A 202.198.96.162
zcc 3600 IN A 202.198.96.129
cstv 3600 IN A 202.198.96.129
gongcheng 3600 IN A 202.198.96.129
bbs 3600 IN A 202.198.98.241
csxb 3600 IN A 211.101.18.53
wsbs 3600 IN A 202.198.96.149
portaltest 3600 IN A 202.198.96.166
yinyue 3600 IN A 202.198.96.129
202.198.96.245 3600 IN A 202.198.96.245
shuxue 3600 IN A 202.198.96.129
office 3600 IN A 219.234.2.80
jiaowu 3600 IN A 202.198.96.159
moocclouddisk 3600 IN A 202.198.96.194
sjc 3600 IN A 202.198.96.129
suzhi 3600 IN A 202.198.96.129
xiaoyou 3600 IN A 202.198.96.129
ns1 3600 IN A 202.198.103.4
cszx 3600 IN A 118.244.235.53
jiaoyu 3600 IN A 202.198.96.129
neiwang 3600 IN A 202.198.98.249
kyjg 3600 IN A 202.198.96.129
connectionstest 3600 IN A 202.198.96.178
art 3600 IN A 202.198.96.129
gonghui 3600 IN A 202.198.96.129
202.198.96.245.mail 3600 IN A 202.198.96.245
oice 3600 IN A 202.198.96.129
mail 3600 IN MX 10 mail
mail 3600 IN A 202.198.96.245
cnub 3600 IN A 202.198.96.189
ce 3600 IN A 118.244.235.53
zzb 3600 IN A 202.198.96.129
lsjpk 3600 IN A 202.198.96.129
old 3600 IN A 202.198.96.149
caiwu 3600 IN A 202.198.96.129
mooccsd 3600 IN A 202.198.96.194
lishi 3600 IN A 202.198.96.129
portal1 3600 IN A 202.198.96.204
mooccloud 3600 IN A 202.198.96.194
wap 3600 IN A 202.198.96.247
www.lib 3600 IN A 202.198.97.222
wsms 3600 IN A 202.198.96.225
jisuanji 3600 IN A 202.198.96.129
hyy 3600 IN A 202.198.96.129
jjh 3600 IN A 202.198.96.129
sizheng 3600 IN A 202.198.96.129
oa 3600 IN A 202.198.96.134
quickr 3600 IN A 202.198.96.229
jjw 3600 IN A 202.198.96.129
xsaq 3600 IN A 202.198.96.129
mooc 3600 IN A 202.198.96.194
dns3 3600 IN A 192.168.20.1
job 3600 IN A 202.198.96.129
info 3600 IN A 202.198.96.149
sametimetest 3600 IN A 202.198.96.179
jsjkj 3600 IN A 125.32.15.107
ztnet 3600 IN A 202.198.96.149
quickrtest 3600 IN A 202.198.96.167
saman 3600 IN A 202.198.96.129
moocpananas 3600 IN A 202.198.96.194
sametime 3600 IN A 202.198.96.179
huaxue 3600 IN A 202.198.96.129
dns 3600 IN A 202.198.103.4
hqfw 3600 IN A 202.198.96.129
waiyu 3600 IN A 58.155.134.4
