@ 3600 IN SOA dns root 2015043001 30 30 360 3600
@ 3600 IN MX 5 mxbiz1.qq.com.
3600 IN MX 10 mxbiz2.qq.com.
@ 3600 IN NS dns
3600 IN NS dns2
gb 3600 IN A 202.204.208.78
zkzs 3600 IN A 202.204.208.140
bcmiis 3600 IN A 202.204.209.122
kjy 3600 IN A 202.204.208.136
gsa 3600 IN A 202.204.209.122
jjxy 3600 IN A 202.204.208.140
gw 3600 IN A 202.204.208.54
hqjt 3600 IN A 202.204.208.140
wsg 3600 IN A 202.204.208.139
guanliftp 3600 IN A 202.108.129.208
jwc 3600 IN A 202.204.208.76
xqjyxy 3600 IN A 202.204.208.140
jf 3600 IN A 10.10.10.9
zf 3600 IN A 202.204.208.140
shoushi 3600 IN A 202.204.209.122
it 3600 IN A 202.204.208.32
xyzf 3600 IN A 202.204.209.110
weixin 3600 IN A 202.204.208.79
etfz.psy 3600 IN A 202.108.129.211
crjy 3600 IN A 202.204.210.3
jw 3600 IN A 202.204.208.140
jy 3600 IN A 202.204.208.140
jzd 3600 IN A 202.204.208.73
eng 3600 IN A 202.204.209.113
ky 3600 IN A 202.204.208.100
elearning 3600 IN A 202.204.208.87
dqupdate 3600 IN A 172.18.129.22
wsim 3600 IN A 202.204.208.97
lmmd 3600 IN A 202.204.213.36
zhcx 3600 IN A 202.204.208.185
dyb 3600 IN A 202.204.212.40
oa 3600 IN A 202.204.208.144
mt 3600 IN A 202.204.208.90
ygb 3600 IN A 202.204.209.122
civil 3600 IN A 202.204.214.146
www 3600 IN A 202.204.208.140
cyjd 3600 IN A 202.204.209.122
scv 3600 IN A 202.204.209.119
cetc 3600 IN A 202.204.209.219
bioinfor 3600 IN A 202.204.209.202
qxb 3600 IN A 202.204.212.12
wsapp 3600 IN A 202.204.208.99
greatcourse 3600 IN A 202.204.208.83
cmet 3600 IN A 202.204.208.140
xsg 3600 IN A 202.204.208.139
yyxy 3600 IN A 202.204.208.140
lclab.psy 3600 IN A 202.108.129.211
xxfw 3600 IN A 202.204.208.94
courseware 3600 IN A 202.204.208.81
dwgk 3600 IN A 202.204.208.140
sl 3600 IN A 202.204.218.67
gate 3600 IN A 202.204.208.17
history 3600 IN A 202.204.219.60
smtp 3600 IN CNAME smtp.exmail.qq.com.
gbt 3600 IN A 202.204.218.67
twsms 3600 IN A 202.204.218.68
rsc 3600 IN A 202.204.208.109
ie 3600 IN NS ns.ie
zhicheng 3600 IN A 202.108.129.206
tv 3600 IN A 202.204.208.173
gaoshi 3600 IN A 202.204.215.131
tx 3600 IN A 202.204.208.185
geo 3600 IN A 202.204.216.169
sc 3600 IN A 202.204.212.5
rtx 3600 IN A 202.204.208.79
tdh 3600 IN A 202.204.218.67
xyh 3600 IN A 202.204.208.145
ghc 3600 IN A 202.204.219.60
sztz 3600 IN A 202.204.218.66
xq 3600 IN A 202.204.208.139
xn.psy 3600 IN A 202.108.129.211
sms 3600 IN A 202.204.208.181
mjy 3600 IN A 202.204.208.140
xy 3600 IN A 202.204.208.95
xyy 3600 IN A 202.204.217.235
yx 3600 IN A 202.204.208.110
zp 3600 IN A 202.204.208.185
webschool1 3600 IN A 202.204.208.88
ftc 3600 IN A 202.204.208.140
qys 3600 IN A 202.204.208.109
moss2014 3600 IN A 202.204.208.140
szxy 3600 IN A 202.204.208.140
zjt 3600 IN A 202.204.218.67
xxh.psy 3600 IN A 202.108.129.211
vrlab 3600 IN A 202.108.129.213
yanjing 3600 IN A 202.204.208.76
jyxy 3600 IN A 202.204.208.109
bjme 3600 IN A 202.204.209.122
cnu-office 3600 IN A 202.204.208.72
yscm 3600 IN A 202.204.209.122
xszz 3600 IN A 202.204.209.230
media 3600 IN A 202.204.208.123
ids1 3600 IN A 202.204.208.175
ids2 3600 IN A 202.204.208.176
art-eng 3600 IN A 202.204.217.99
xsy 3600 IN A 202.204.212.13
jszc 3600 IN A 202.204.208.124
art 3600 IN A 202.204.208.140
epay 3600 IN A 202.204.219.10
test111 3600 IN A 9.9.9.9
smkxxy 3600 IN A 202.204.208.140
mail1 3600 IN A 202.204.208.14
webschool 3600 IN A 202.204.208.86
dqjszc 3600 IN A 172.18.129.20
vod 3600 IN A 202.204.208.84
sjc 3600 IN A 202.204.208.140
card 3600 IN A 202.204.219.11
bet 3600 IN A 202.204.209.198
lxxqjcxb 3600 IN A 202.204.208.140
gsu 3600 IN A 202.204.218.67
noc 3600 IN A 202.204.208.137
uid 3600 IN A 202.204.208.185
jwweb 3600 IN A 202.204.208.70
webschool2 3600 IN A 202.204.208.86
ide 3600 IN A 202.204.218.10
ics 3600 IN A 202.204.208.113
zhaopin 3600 IN A 202.204.208.185
yjsjw 3600 IN A 202.204.208.67
grad 3600 IN A 202.204.208.140
mail 3600 IN MX 5 mxbiz1.qq.com.
3600 IN MX 10 mxbiz2.qq.com.
mail 3600 IN A 58.250.132.30
wsms 3600 IN A 202.204.208.96
bjyc 3600 IN A 202.204.219.194
tw 3600 IN A 202.204.208.140
xk 3600 IN A 202.204.208.75
mail.mail 3600 IN CNAME exmail.qq.com.
gl.psy 3600 IN A 202.108.129.211
nic 3600 IN A 202.204.208.66
bqupdate 3600 IN A 202.204.219.48
old 3600 IN A 202.204.208.71
bjys 3600 IN A 202.108.129.200
ezone 3600 IN A 202.204.218.67
kaprial 3600 IN A 202.204.208.81
tzb 3600 IN A 202.204.208.140
tzc 3600 IN A 202.204.208.188
ydxy 3600 IN A 202.204.208.140
xwgk 3600 IN A 202.204.208.140
