@ 86400 IN SOA dns1 root 2015042901 28800 14400 360000 86400
@ 86400 IN NS dns1
86400 IN NS dns2
@ 86400 IN A 183.64.83.61
@ 86400 IN MX 10 mail
yxjyts 86400 IN A 61.128.161.132
gh 86400 IN A 183.64.83.61
webplus 86400 IN A 183.64.83.67
yjszs 86400 IN A 183.64.83.61
wsc 86400 IN A 183.64.83.61
hq 86400 IN A 222.177.89.36
jwc 86400 IN A 183.64.83.60
yjsxy 86400 IN A 222.177.89.35
glxy 86400 IN A 222.177.89.36
kj 86400 IN A 183.64.83.51
jw 86400 IN A 183.64.83.61
sbc 86400 IN A 183.64.83.61
jys 86400 IN A 222.177.89.36
lib 86400 IN A 183.64.83.82
jyx 86400 IN A 183.64.83.61
fgc 86400 IN A 183.64.83.61
86400 IN A 183.64.83.67
sjc 86400 IN A 183.64.83.61
kaoyi 86400 IN A 183.64.83.77
basic 86400 IN A 183.64.83.61
ykt 86400 IN A 61.128.161.142
www 86400 IN A 183.64.83.61
wyx 86400 IN A 222.177.89.36
zyxw 86400 IN A 183.64.83.83
xsc 86400 IN A 183.64.83.61
sxzzjyxy 86400 IN A 183.64.83.61
etc 86400 IN A 183.64.83.53
lipid 86400 IN A 183.64.83.61
kyc 86400 IN A 183.64.83.61
rsc 86400 IN A 183.64.83.61
houqin 86400 IN A 183.64.83.61
uh 86400 IN A 183.64.83.31
shenbao 86400 IN A 61.128.161.131
cymml 86400 IN A 183.64.83.61
summerschool 86400 IN A 183.64.83.61
xb 86400 IN A 183.64.83.61
eye 86400 IN A 183.64.83.61
tcm 86400 IN A 183.64.83.86
86400 IN A 222.177.89.36
sky 86400 IN A 183.64.83.61
youth 86400 IN A 183.64.83.61
tgb 86400 IN A 183.64.83.61
ltx 86400 IN A 183.64.83.61
sph 86400 IN A 222.177.89.36
fsy 86400 IN A 183.64.83.61
iabb2009 86400 IN A 222.177.89.35
yybx 86400 IN A 61.128.161.142
jianshe 86400 IN A 183.64.83.61
cyxb 86400 IN A 61.128.161.132
fmbi 86400 IN A 222.177.89.35
hlsy 86400 IN A 183.64.83.86
xlcp 86400 IN A 183.64.83.85
zsdycx 86400 IN A 183.64.83.87
libraryopac 86400 IN A 183.64.83.52
www1 86400 IN A 222.177.89.35
www2 86400 IN A 222.177.89.36
yxy 86400 IN A 183.64.83.61
cqhlhm 86400 IN A 183.64.83.84
gwgl 86400 IN A 183.64.83.61
vc1 86400 IN A 202.202.128.70
vc2 86400 IN A 202.202.128.71
tcenter 86400 IN A 183.64.83.86
86400 IN A 222.177.89.36
bme-973 86400 IN A 183.64.83.61
swyxgcxy 86400 IN A 183.64.83.61
xgzx 86400 IN A 61.128.161.135
jinyun 86400 IN A 183.64.83.61
qgzx 86400 IN A 222.177.89.35
xzxx 86400 IN A 222.177.89.36
sphltc 86400 IN A 183.64.83.86
86400 IN A 222.177.89.35
sydwzx 86400 IN A 183.64.83.61
jiaowu1 86400 IN A 183.64.83.55
jwc1 86400 IN A 222.177.89.38
mail 86400 IN A 222.177.89.40
jgzz 86400 IN A 183.64.83.61
minim2011 86400 IN A 183.64.83.61
xiaobao 86400 IN A 183.64.83.88
bme 86400 IN A 222.177.89.36
neurol863 86400 IN A 202.202.129.37
ume 86400 IN A 183.64.83.61
zzb 86400 IN A 183.64.83.61
old 86400 IN A 222.177.89.34
cooc 86400 IN A 183.64.83.78
testxzxx 86400 IN A 183.64.83.88
cgj 86400 IN A 183.64.83.93
tzb 86400 IN A 183.64.83.61
uveitis 86400 IN A 222.177.89.35
jpkc 86400 IN A 222.177.89.41
gatzs 86400 IN A 222.177.89.36
mi 86400 IN A 183.64.83.61
nursing 86400 IN A 183.64.83.61
v880a 86400 IN A 202.202.128.66
sqylzx 86400 IN A 183.64.83.61
xinli 86400 IN A 183.64.83.61
xcb 86400 IN A 222.177.89.36
mvlab 86400 IN A 183.64.83.98
bwc 86400 IN A 183.64.83.61
zhyxjyts 86400 IN A 61.128.161.132
dwxcb 86400 IN A 183.64.83.61
jysyzx 86400 IN A 222.177.89.36
zzyjs 86400 IN A 222.177.89.35
islt2009 86400 IN A 222.177.89.35
bzkzs 86400 IN A 183.64.83.61
cnw 86400 IN A 183.64.83.61
oa 86400 IN A 61.128.161.139
english 86400 IN A 222.177.89.36
xxgk 86400 IN A 183.64.83.61
yjsy 86400 IN A 183.64.83.91
csc 86400 IN A 183.64.83.61
biolinux 86400 IN A 222.177.89.36
lab 86400 IN A 183.64.83.71
dns1 86400 IN A 202.202.128.33
dns2 86400 IN A 202.202.128.34
e-learning 86400 IN A 183.64.83.58
job 86400 IN A 61.128.161.135
news 86400 IN A 183.64.83.61
ecampus 86400 IN CNAME test1
islt 86400 IN A 183.64.83.97
r280a 86400 IN A 202.202.128.68
yxsyzx 86400 IN A 183.64.83.86
86400 IN A 222.177.89.36
foreign 86400 IN A 183.64.83.61
cwc 86400 IN A 183.64.83.61
db 86400 IN A 183.64.83.61
bx 86400 IN A 183.64.83.51
jinyun2 86400 IN A 183.64.83.61
qks 86400 IN A 183.64.83.61
zyy 86400 IN A 183.64.83.61
jiaowu 86400 IN A 183.64.83.68
jxkh 86400 IN A 183.64.83.51
cyj 86400 IN A 183.64.83.61
