@ 86400 IN SOA ns0 merab 2014103000 28800 7200 2419200 86400
@ 86400 IN NS ns0
86400 IN NS ns1
@ 86400 IN MX 10 ASPMX.L.GOOGLE.COM.
86400 IN MX 20 ALT1.ASPMX.L.GOOGLE.COM.
86400 IN MX 20 ALT2.ASPMX.L.GOOGLE.COM.
86400 IN MX 30 ASPMX2.GOOGLEMAIL.COM.
86400 IN MX 30 ASPMX3.GOOGLEMAIL.COM.
86400 IN MX 30 ASPMX4.GOOGLEMAIL.COM.
86400 IN MX 30 ASPMX5.GOOGLEMAIL.COM.
@ 86400 IN A 31.146.219.36
cuapp 86400 IN A 31.146.219.36
grade 86400 IN A 31.146.219.36
programsnew 86400 IN A 31.146.219.36
merab 86400 IN A 31.146.219.36
giga 86400 IN A 31.146.219.36
ns0 86400 IN A 31.146.219.35
mailold 86400 IN A 31.146.219.35
blog 86400 IN A 91.212.213.28
fw 86400 IN A 31.146.219.34
gcsc 86400 IN A 31.146.219.36
graduateprograms 86400 IN A 31.146.219.36
ia 86400 IN A 31.146.219.36
new1 86400 IN A 31.146.219.36
application.summer 86400 IN A 31.146.219.36
gw 86400 IN A 31.146.219.33
summerschool 86400 IN A 31.146.219.36
www.leqsebi 86400 IN A 193.109.247.159
ofe 86400 IN A 31.146.219.38
wp 86400 IN A 31.146.219.36
registration.bba 86400 IN A 31.146.219.36
moodle19 86400 IN A 31.146.219.36
giorginew 86400 IN A 31.146.219.36
master 86400 IN A 31.146.219.36
sms 86400 IN A 31.146.219.37
moodle 86400 IN A 31.146.219.36
dima 86400 IN A 31.146.219.36
leqsebi 86400 IN A 193.109.247.159
levan 86400 IN A 31.146.219.36
webmail 86400 IN A 31.146.219.35
giorgi 86400 IN A 31.146.219.36
ebooks 86400 IN A 31.146.219.36
ns1 86400 IN A 31.146.219.36
www.graduateprograms 86400 IN A 31.146.219.36
mail 86400 IN CNAME ghs.googlehosted.COM.
newwebsite 86400 IN A 31.146.219.36
moodle18 86400 IN A 31.146.219.36
elene 86400 IN A 31.146.219.36
ftp 86400 IN A 31.146.219.35
cacti 86400 IN A 31.146.219.35
moodle20 86400 IN A 31.146.219.36
old 86400 IN A 31.146.219.36
marketing 86400 IN A 31.146.219.36
moodle21 86400 IN A 31.146.219.36
hrm 86400 IN A 31.146.219.36
jobs 86400 IN A 31.146.219.36
webct 86400 IN A 31.146.219.37
summer 86400 IN A 31.146.219.36
desktop 86400 IN A 31.146.219.36
openbiblio 86400 IN A 31.146.219.36
mysql 86400 IN A 31.146.219.36
1011573174 86400 IN CNAME domains.live.COM.
programs 86400 IN A 31.146.219.36
library 86400 IN A 31.146.219.36
dl 86400 IN A 31.146.219.36
career 86400 IN A 31.146.219.36
geodl 86400 IN A 31.146.219.36
cis 86400 IN A 31.146.219.36
dato 86400 IN A 31.146.219.36
fe 86400 IN A 31.146.219.38
www.gcsc 86400 IN A 31.146.219.36
registration 86400 IN A 31.146.219.36
www 86400 IN A 31.146.219.36
