@ 86400 IN SOA ns1 sysadmin 2007111118 3600 900 2419200 86400
@ 86400 IN NS ns1
86400 IN NS ns2
@ 86400 IN MX 0 gateway
@ 86400 IN TXT "v=spf1 a:gateway.cumhuriyet.edu.tr ip4:193.140.145.201 -all"
webservis 86400 IN CNAME public2
kaank 86400 IN CNAME public
etikkurul 86400 IN CNAME public
canlicerrahi 86400 IN CNAME public
hemedergi 86400 IN CNAME public
cirhin 86400 IN CNAME public
kursattaydas 86400 IN CNAME public
iibf 86400 IN A 193.140.145.110
ihale 86400 IN CNAME public2
jeoloji 86400 IN CNAME public
gateway 86400 IN A 193.140.145.201
yeniubs 86400 IN A 193.140.145.15
egitimedu 86400 IN CNAME public
bedenegitimi 86400 IN CNAME public
osymkamera1 86400 IN A 193.140.145.34
cavdars 86400 IN CNAME public
ybs 86400 IN CNAME iibfedu
gakbulut 86400 IN CNAME public
zara.cuzem 86400 IN A 193.140.145.95
elt 86400 IN CNAME public
fenbilenst 86400 IN CNAME public
divrigi.cuzem 86400 IN A 193.140.145.91
pacsrapor2 86400 IN A 193.140.145.37
haberarsivi 86400 IN A 193.140.145.108
uulusoy 86400 IN CNAME public
btepe 86400 IN CNAME public
cumhurkocalar 86400 IN CNAME public
eduroam 86400 IN CNAME public2
erasmusplus 86400 IN A 77.245.149.98
vakif 86400 IN CNAME public
bilmuh 86400 IN CNAME public
emelkop 86400 IN CNAME public
ubs3 86400 IN A 193.140.145.53
engelliogrenci 86400 IN CNAME public
cudost 86400 IN CNAME public
teknokent 86400 IN A 193.140.145.204
smyoedu 86400 IN A 193.140.145.101
yabancidiller 86400 IN CNAME public
yildizelimyo 86400 IN CNAME public
projemerkezi 86400 IN CNAME public
acoskun 86400 IN CNAME public
www 86400 IN A 193.140.145.23
hastanedhcp 86400 IN A 193.140.145.70
utfis2011 86400 IN CNAME public
cevmer 86400 IN CNAME public
organiktarim 86400 IN CNAME public
antropoloji 86400 IN CNAME public
cubidtv 86400 IN A 193.140.145.125
ubs1 86400 IN A 193.140.145.51
ubs2 86400 IN A 193.140.145.52
m 86400 IN A 193.140.145.7
disiliskiler 86400 IN CNAME public
mehmetdurgun 86400 IN CNAME public
iibfsanal 86400 IN A 193.140.145.113
lms 86400 IN CNAME public
fizikgrid 86400 IN A 193.140.145.103
kutuphane 86400 IN CNAME public
cunam 86400 IN CNAME public
teknoloji 86400 IN CNAME public
