@ 7200 IN SOA ns1 zt 2010062803 28800 14400 3600000 86400
@ 7200 IN NS ns1
@ 7200 IN MX 1 mail
zsjy 7200 IN A 202.199.159.198
nhce 7200 IN A 202.199.155.12
law 7200 IN A 202.199.155.107
gysj 7200 IN A 202.199.159.252
shxxh 7200 IN A 202.199.159.252
ic 7200 IN A 218.25.143.112
abcabc 7200 IN A 202.199.159.225
xkb 7200 IN A 202.199.159.205
cjxy 7200 IN A 218.24.169.32
hotel 7200 IN A 202.199.159.252
fco 7200 IN A 202.199.159.252
sbc 7200 IN A 202.199.159.225
lhm 7200 IN A 202.199.159.252
jyw 7200 IN A 202.199.159.205
graduate 7200 IN A 202.199.155.6
sysfk 7200 IN A 202.199.159.225
proscen 7200 IN A 202.199.155.107
www 7200 IN A 202.199.158.1
xxyd 7200 IN A 202.199.159.252
xsc 7200 IN A 202.199.155.107
sew 7200 IN A 202.199.159.252
sa 7200 IN A 202.199.159.252
dwgk 7200 IN A 202.199.159.225
rw 7200 IN A 202.199.159.205
hondit 7200 IN A 202.199.159.225
gjs1 7200 IN A 202.199.155.107
rsc 7200 IN A 202.199.159.205
qes 7200 IN A 202.199.159.252
lngs 7200 IN A 202.199.159.249
tw 7200 IN A 202.199.159.196
dldxcg 7200 IN A 202.199.159.195
bbsftp 7200 IN A 202.199.155.252
wl 7200 IN A 202.199.159.252
qzlx 7200 IN A 202.199.155.107
jwc 7200 IN A 202.199.155.55
klbc 7200 IN A 202.199.159.252
gjs 7200 IN A 202.199.159.252
nursing 7200 IN A 202.199.159.252
keji 7200 IN A 202.199.155.107
tomtest 7200 IN A 202.199.155.66
xhjj 7200 IN A 202.199.159.252
shsj 7200 IN A 202.199.155.107
fwh 7200 IN A 202.199.159.252
dlcs 7200 IN A 202.199.155.107
mrc 7200 IN A 202.199.159.252
rwxb 7200 IN A 202.199.155.107
bbs 7200 IN A 202.199.155.13
journal 7200 IN A 202.199.155.16
ns1 7200 IN A 202.199.158.8
sxz 7200 IN A 202.199.155.201
rwskc 7200 IN A 202.199.159.225
zsw 7200 IN A 202.199.159.205
aso 7200 IN A 202.199.159.252
site 7200 IN A 202.199.155.107
mail 7200 IN A 202.199.158.11
wlkj 7200 IN A 202.199.159.252
cco 7200 IN A 202.199.159.252
awh 7200 IN A 202.199.159.225
drive 7200 IN A 202.199.159.252
dlfwh 7200 IN A 202.199.159.252
sjbl 7200 IN A 202.199.159.252
gzs 7200 IN A 202.199.159.252
dluxhyy 7200 IN A 202.199.159.225
jap 7200 IN A 202.199.159.252
nvs 7200 IN A 202.199.159.252
jcc 7200 IN A 202.199.159.252
infos 7200 IN A 202.199.159.205
ldlu 7200 IN A 202.199.155.201
ttsc 7200 IN A 202.199.159.252
pingyi 7200 IN A 202.199.158.20
tmxx 7200 IN A 202.199.159.252
pic 7200 IN A 202.199.159.252
dbs 7200 IN A 202.199.159.252
marx 7200 IN A 202.199.159.225
phy 7200 IN A 202.199.159.225
xbswx 7200 IN A 202.199.159.252
xctz 7200 IN A 202.199.159.225
cnl 7200 IN A 202.199.159.225
bylw 7200 IN A 202.199.159.205
dm 7200 IN A 202.199.159.252
lnnoi 7200 IN A 218.24.169.32
jxcg 7200 IN A 202.199.159.225
crc 7200 IN A 202.199.159.252
xxgk 7200 IN A 202.199.159.252
jxtd 7200 IN A 202.199.159.225
eac 7200 IN A 202.199.159.252
eam 7200 IN A 202.199.155.80
zyjn 7200 IN A 202.199.159.225
anquan 7200 IN A 202.199.159.225
ce 7200 IN A 202.199.159.209
jpk 7200 IN A 202.199.159.194
alumni 7200 IN A 202.199.159.225
adic 7200 IN A 202.199.159.247
psy 7200 IN A 202.199.159.252
ei 7200 IN A 202.199.159.205
lab 7200 IN A 202.199.159.225
kjc 7200 IN A 202.199.159.225
