@ 600 IN SOA b.ns root.b.ns 2014072602 3600 900 3600000 3600
@ 600 IN NS a.ns
600 IN NS b.ns
@ 600 IN MX 0 b.mx
a.ns 600 IN A 202.223.140.1
www.std 600 IN A 202.223.140.5
mailhub 600 IN A 153.120.32.65
pg2009 600 IN A 153.120.32.65
pg2005 600 IN A 202.223.140.77
pg2006 600 IN A 153.120.32.65
pg2007 600 IN A 153.120.32.65
pg2008 600 IN A 153.120.32.65
pg2010 600 IN A 153.120.32.65
sv0 600 IN A 202.223.140.1
sv1 600 IN A 153.120.32.65
pop 600 IN A 153.120.32.65
test 600 IN A 153.120.32.65
www 600 IN A 153.120.32.65
b.mx 600 IN A 153.120.32.65
localhost 600 IN A 127.0.0.1
b.ns 600 IN A 153.120.32.65
std 600 IN A 153.120.32.65
w3 600 IN A 202.223.140.16
www1 600 IN A 153.120.32.65
a.mx 600 IN A 202.223.140.1
