@ 38400 IN SOA ns1 root.ns1 2014090301 10800 3600 604800 86400
@ 38400 IN NS ns1.ulakbim.gov.tr.
38400 IN NS ns1
38400 IN NS ns2
@ 38400 IN A 194.27.43.67
@ 38400 IN MX 1 ASPMX.L.GOOGLE.COM.
38400 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
38400 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
38400 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
38400 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
38400 IN MX 35 portal
tavmyo 38400 IN CNAME www
sabe 38400 IN CNAME www2
opens 38400 IN A 192.168.55.250
hidromobil 38400 IN CNAME www
jss 38400 IN A 192.168.55.152
38400 IN A 194.27.228.152
dpu 38400 IN A 194.27.43.17
#dpugw 38400 IN TXT "v=spf1" "a:dpugw.dumlupinar.edu.tr" "mx" "ip4:194.27.43.32" "+all"
edebiyat 38400 IN CNAME www2
bilgiislem 38400 IN CNAME www2
emetmyo 38400 IN CNAME www2
iibf 38400 IN CNAME www2
jeoloji 38400 IN CNAME mf
sysweb 38400 IN A 194.27.43.66
fbe 38400 IN CNAME www2
biyokimya 38400 IN CNAME www2
makina 38400 IN CNAME mf
sengroup 38400 IN CNAME www2
ahteri 38400 IN CNAME www2
domanicmyo 38400 IN CNAME www2
sysdb 38400 IN A 192.168.55.161
simavmyo 38400 IN CNAME www
bidb 38400 IN CNAME www2
utf 38400 IN CNAME www2
ksbmyo 38400 IN CNAME www2
ubyo2 38400 IN CNAME www2
UASDB-scan 38400 IN A 192.168.52.197
38400 IN A 192.168.52.198
38400 IN A 192.168.52.199
fef 38400 IN CNAME www2
sbe 38400 IN CNAME www2
isletme 38400 IN CNAME www2
kps 38400 IN A 192.168.52.103
radyo 38400 IN CNAME www
batidilleri 38400 IN CNAME www2
ramses 38400 IN A 194.27.43.202
eduroam 38400 IN A 194.27.43.117
tf 38400 IN CNAME www2
mbs 38400 IN CNAME www
mezun 38400 IN CNAME www
UASDBRACK2-vip 38400 IN A 192.168.52.196
besyo 38400 IN A 194.27.228.43
enerji2004 38400 IN CNAME mf
mat 38400 IN CNAME www
saphanemyo 38400 IN CNAME www
basin 38400 IN CNAME www
www 38400 IN A 194.27.43.67
bologna 38400 IN CNAME www2
tomer 38400 IN CNAME wwww2
ahmetyakupoglu 38400 IN CNAME dpusem
kimya 38400 IN CNAME www2
m 38400 IN CNAME www2
dpinar2013 38400 IN CNAME www2
oob 38400 IN CNAME www
bilimkomisyonu 38400 IN CNAME www2
politika 38400 IN CNAME www
uphdyo5 38400 IN CNAME www
personel 38400 IN CNAME www
sgtest 38400 IN A 192.168.55.96
kmyoder 38400 IN CNAME www2
tp 38400 IN A 192.168.55.201
farabi 38400 IN CNAME www2
insaat 38400 IN CNAME mf
CISCO-CAPWAP-CONTROLLER 38400 IN A 172.16.64.10
yitdb 38400 IN CNAME www2
sosyoloji 38400 IN CNAME www2
iipf 38400 IN CNAME www
sshmyo 38400 IN CNAME www2
nukleer 38400 IN CNAME www
konsey 38400 IN A 194.27.43.19
sks 38400 IN CNAME www
eyi 38400 IN A 192.168.55.153
38400 IN A 194.27.228.153
adk 38400 IN CNAME www
ekonometri 38400 IN CNAME www2
PY72NZB6SLQU 38400 IN CNAME gv-S642P7YAPE5Q5L.dv.googlehosted.com.
sbeok 38400 IN A 194.27.43.115
dpuak 38400 IN CNAME www
simav 38400 IN A 194.27.43.27
iktisat 38400 IN CNAME www2
iposrv 38400 IN A 192.168.52.100
cddc2013 38400 IN CNAME www2
kutup 38400 IN A 194.27.230.145
kariyer 38400 IN CNAME www
ydyo 38400 IN CNAME www2
yarininliderleri 38400 IN CNAME www2
dutbat 38400 IN CNAME www2
ftp 38400 IN A 194.27.43.19
muhfak 38400 IN CNAME www2
lms 38400 IN A 194.27.237.10
lms 38400 IN MX 45 lms
uisb 38400 IN CNAME www2
dumlupinar 38400 IN A 194.27.43.17
bap 38400 IN CNAME www2
stf 38400 IN CNAME www
ssp 38400 IN CNAME www2
ceng 38400 IN A 192.168.55.151
38400 IN A 194.27.229.73
ayerlikaya 38400 IN CNAME www2
proxy 38400 IN A 194.27.228.12
misafir 38400 IN A 194.27.43.71
ilahiyat 38400 IN CNAME www2
www1 38400 IN A 194.27.43.116
www2 38400 IN A 194.27.43.117
bbt 38400 IN CNAME www2
www4 38400 IN A 194.27.234.5
sigortacilariz 38400 IN CNAME www
havacilik 38400 IN CNAME www
rehber 38400 IN CNAME www
mrtg 38400 IN A 194.27.228.226
madenn 38400 IN CNAME www
mevlana 38400 IN CNAME www2
tip 38400 IN CNAME www2
obs 38400 IN A 194.27.43.73
eurc 38400 IN CNAME www
gsf 38400 IN CNAME www2
ldap 38400 IN A 192.168.55.201
ns1 38400 IN A 194.27.43.17
ns2 38400 IN A 194.27.43.172
mf 38400 IN A 194.27.43.230
mf 38400 IN MX 20 mf
erasmus2 38400 IN CNAME www2
syo 38400 IN CNAME www
dpudak 38400 IN CNAME www
sismail 38400 IN A 194.27.43.244
hegzagon 38400 IN CNAME mf
altek 38400 IN CNAME www
bim 38400 IN A 194.27.43.221
ab2007 38400 IN CNAME www
ecelebi2013 38400 IN CNAME www2
strateji 38400 IN CNAME www2
seramik 38400 IN CNAME www
mail 38400 IN A 194.27.43.32
oidb 38400 IN CNAME www2
auk 38400 IN CNAME www
ubyo 38400 IN CNAME www
ubyostaj 38400 IN CNAME www2
kmyo 38400 IN CNAME www
dsim 38400 IN CNAME www
sysftp 38400 IN A 192.168.55.239
yaziisleri 38400 IN CNAME www2
ebys 38400 IN A 194.27.230.3
pdb 38400 IN CNAME www2
pbs 38400 IN A 194.27.43.75
obs2 38400 IN A 194.27.43.81
hisarcikmyo 38400 IN CNAME www
tarih 38400 IN CNAME www2
formayon 38400 IN CNAME www2
enformatik 38400 IN CNAME www
zimbra 38400 IN A 192.168.55.55
38400 IN A 194.27.43.23
posta 38400 IN CNAME www
maliye 38400 IN CNAME www2
dputv 38400 IN A 192.168.55.241
38400 IN A 194.27.228.15
maden 38400 IN CNAME mf
gedizmyo 38400 IN CNAME www2
yaraticilikprojeIN 38400 IN CNAME www
www3 38400 IN A 194.27.43.118
iky 38400 IN CNAME www2
webpanel 38400 IN CNAME www2
uasdbrac1 38400 IN A 192.168.52.211
uasdbrac2 38400 IN A 192.168.52.216
UASDBRACK1-vip 38400 IN A 192.168.52.195
beta 38400 IN CNAME www
endustri 38400 IN CNAME mf
fbeok 38400 IN A 194.27.43.115
tmyo 38400 IN CNAME www
yenerji 38400 IN CNAME www
tavsanlimyo 38400 IN A 194.27.43.19
arkeoloji 38400 IN CNAME www2
gesam 38400 IN CNAME www
mf2 38400 IN A 194.27.43.231
mf2 38400 IN MX 30 mf2
usib 38400 IN CNAME www
dehyuam 38400 IN CNAME www2
fast 38400 IN CNAME www
rock 38400 IN CNAME www
biyoloji 38400 IN CNAME www2
iro 38400 IN CNAME www2
kamu 38400 IN CNAME www2
bilgisayar 38400 IN CNAME mf
biibf 38400 IN CNAME www
akademik 38400 IN CNAME www2
ttyo 38400 IN CNAME www2
mcalik 38400 IN CNAME www
zoonoz 38400 IN A 194.27.43.119
kbs 38400 IN CNAME www2
ksyo 38400 IN CNAME www2
dis 38400 IN CNAME www
connect 38400 IN A 194.27.237.11
ebe 38400 IN A 194.27.43.11
canakoglu 38400 IN CNAME mf
oyp 38400 IN CNAME www2
gsfedergi 38400 IN A 194.27.43.248
sbd 38400 IN CNAME www
ktbmyo 38400 IN CNAME www2
simavtef 38400 IN CNAME www
fizik 38400 IN CNAME www2
cc 38400 IN CNAME www
yuob 38400 IN CNAME www2
erasmus 38400 IN CNAME www2
icdenetim 38400 IN CNAME www2
kgk 38400 IN A 194.27.43.119
db 38400 IN CNAME www2
tiyatro 38400 IN CNAME www
portal 38400 IN A 192.168.52.206
38400 IN A 194.27.43.243
portal 38400 IN TXT "v=spf1" "a:portal.dumlupinar.edu.tr" "mx" "ip4:194.27.43.243" "+all"
cp 38400 IN CNAME www2
eem 38400 IN CNAME mf
ef 38400 IN CNAME dpusem
abofisi 38400 IN CNAME www
usos2014 38400 IN CNAME www2
matematik 38400 IN CNAME www2
dph 38400 IN CNAME www
dpusem 38400 IN A 194.27.43.119
daum 38400 IN CNAME www
