@ 38400 IN SOA dns1 cri.ec-lille.fr 2015040901 10800 3600 604800 38400
@ 38400 IN MX 0 relaymail1
38400 IN MX 0 relaymail2
@ 38400 IN NS dns1
38400 IN NS linproxy
@ 38400 IN TXT "ec-lille.fr"
38400 IN TXT "v=spf1 mx ~all"
@ 38400 IN A 193.51.52.104
formulille 38400 IN CNAME eleves
caflaboz-ltd 38400 IN CNAME chaire-ecommerce
apcentraleOLD 38400 IN CNAME web
nti 38400 IN CNAME moodlesrv.priv
imap 38400 IN A 193.51.52.110
38400 IN A 193.51.52.111
drh 38400 IN CNAME virtualia.priv
apcentrale 38400 IN CNAME web
fingertip 38400 IN CNAME eleves
www-lagis 38400 IN CNAME www-lagis.univ-lille1.fr.
iteemiens 38400 IN CNAME iteemserv
forums 38400 IN CNAME eleves
green 38400 IN CNAME eleves
voile 38400 IN CNAME eleves
wpad 38400 IN CNAME debsyslog.priv
clubtime 38400 IN CNAME eleves
im 38400 IN A 172.30.0.221
je 38400 IN CNAME eleves
agenda 38400 IN A 193.51.52.110
38400 IN A 193.51.52.111
agap2 38400 IN CNAME agap2.priv
playmos 38400 IN CNAME eleves
extranet.iteem2 38400 IN CNAME iteemsrv
clia 38400 IN CNAME eleves
leopedia 38400 IN CNAME eleves
gala 38400 IN CNAME eleves
4ltrophy 38400 IN CNAME eleves
vesem 38400 IN CNAME eleves
pubentaupe 38400 IN CNAME eleves
pop3 38400 IN A 193.51.52.110
38400 IN A 193.51.52.111
buzzlelec 38400 IN CNAME web
rdp 38400 IN A 193.51.52.121
lm2o 38400 IN CNAME web
impactbdx 38400 IN CNAME impactbdx.priv
borne.pierre 38400 IN CNAME web
relaymail2 38400 IN A 193.51.52.109
apefcommunity 38400 IN CNAME eleves
rahmani 38400 IN CNAME web
rb2 38400 IN CNAME mooc
emmanuelduflos 38400 IN CNAME web
mailcube 38400 IN A 193.51.52.5
okjzret 38400 IN CNAME eleves
sphynxserv 38400 IN A 193.51.52.120
e-ro 38400 IN CNAME eleves
gocd 38400 IN CNAME www3
projetstream 38400 IN A 193.51.52.107
hplancas 38400 IN A 193.51.52.114
poly 38400 IN CNAME eleves
borne 38400 IN CNAME web
castest 38400 IN CNAME debcas2.priv
compte-info 38400 IN CNAME web1
psyke 38400 IN CNAME eleves
zimprox 38400 IN A 193.51.52.110
zoubeir.lafhaj 38400 IN CNAME web
linproxy 38400 IN A 193.51.52.41
sabre 38400 IN CNAME sabre.priv
opencas 38400 IN CNAME opencas.priv
nerwatcher 38400 IN CNAME eleves
rb 38400 IN A 193.51.52.124
iteem-winstrat 38400 IN CNAME eleves
lisac 38400 IN CNAME syner.priv
fprevost 38400 IN CNAME eleves
pubsub.im 38400 IN CNAME im
cheerupccc 38400 IN CNAME eleves
impact 38400 IN CNAME www3
cloud 38400 IN CNAME cloud.priv
clos 38400 IN CNAME eleves
zimprox2 38400 IN A 193.51.52.111
jessx 38400 IN CNAME web
communication 38400 IN CNAME web
sfr-tsm 38400 IN CNAME web
inauguration-realcat 38400 IN CNAME web1
quarantaine 38400 IN CNAME mailcube
web2 38400 IN A 193.51.52.127
smtp 38400 IN A 193.51.52.108
38400 IN A 193.51.52.109
sympa 38400 IN CNAME listes
