@ 86400 IN SOA barsac inetadm 2015041420 28800 14400 1209600 86400
@ 86400 IN MX 10 sauternes
@ 86400 IN NS bxnms.u-bordeaux.fr.
86400 IN NS barsac
cercle 86400 IN CNAME cercle-srv
xylofutur2 86400 IN A 194.199.251.222
sm04-ps 86400 IN A 194.199.250.69
router-inet-gateway-249 86400 IN CNAME router-inet
intranet-iis 86400 IN CNAME www-iis
microbio2-ps 86400 IN A 194.199.250.241
fc-ps 86400 IN A 194.199.250.159
hja-ps 86400 IN A 194.199.249.150
p18-pom2-ps 86400 IN A 194.199.250.47
ltron-ps 86400 IN A 194.199.250.185
agrotic13-ps 86400 IN A 194.199.250.22
cfo-ps 86400 IN A 194.199.249.161
clt-ps 86400 IN A 194.199.249.9
router-inet-gateway-251 86400 IN A 194.199.251.254
annotum 86400 IN A 194.199.249.165
dpa1-ps 86400 IN A 194.199.250.212
eet-printer 86400 IN A 194.199.249.250
nf-ps 86400 IN A 194.199.250.101
graff-ps 86400 IN A 194.199.250.197
vpn-gw 86400 IN A 194.199.251.202
etude-ps 86400 IN A 194.199.249.53
arrege 86400 IN CNAME arrege-web-srv
dhcp-c10 86400 IN A 194.199.251.10
dhcp-c11 86400 IN A 194.199.251.11
dhcp-c12 86400 IN A 194.199.251.12
dhcp-c13 86400 IN A 194.199.251.13
dhcp-c14 86400 IN A 194.199.251.14
dhcp-c15 86400 IN A 194.199.251.15
dhcp-c16 86400 IN A 194.199.251.16
dhcp-c17 86400 IN A 194.199.251.17
dhcp-c18 86400 IN A 194.199.251.18
dhcp-c19 86400 IN A 194.199.251.19
dhcp-c21 86400 IN A 194.199.251.21
dhcp-c22 86400 IN A 194.199.251.22
dhcp-c23 86400 IN A 194.199.251.23
dhcp-c24 86400 IN A 194.199.251.24
dhcp-c25 86400 IN A 194.199.251.25
dhcp-c26 86400 IN A 194.199.251.26
dhcp-c27 86400 IN A 194.199.251.27
dhcp-c28 86400 IN A 194.199.251.28
dhcp-c30 86400 IN A 194.199.251.30
dhcp-c31 86400 IN A 194.199.251.31
dhcp-c32 86400 IN A 194.199.251.32
dhcp-c33 86400 IN A 194.199.251.33
dhcp-c34 86400 IN A 194.199.251.34
dhcp-c35 86400 IN A 194.199.251.35
dhcp-c36 86400 IN A 194.199.251.36
dhcp-c37 86400 IN A 194.199.251.37
dhcp-c38 86400 IN A 194.199.251.38
dhcp-c39 86400 IN A 194.199.251.39
dhcp-c41 86400 IN A 194.199.251.41
dhcp-c42 86400 IN A 194.199.251.42
dhcp-c43 86400 IN A 194.199.251.43
dhcp-c44 86400 IN A 194.199.251.44
dhcp-c45 86400 IN A 194.199.251.45
dhcp-c46 86400 IN A 194.199.251.46
dhcp-c47 86400 IN A 194.199.251.47
dhcp-c48 86400 IN A 194.199.251.48
dhcp-c50 86400 IN A 194.199.251.50
dhcp-c51 86400 IN A 194.199.251.51
dhcp-c52 86400 IN A 194.199.251.52
