@ 8800 IN SOA ns01.minatec.inpg.fr. postmaster.minatec.inpg.fr. 2013121601 21600 3600 864000 8800
@ 8800 IN MX 5 smtp131.minatec.grenoble-inp.fr.
8800 IN MX 5 smtp132.minatec.grenoble-inp.fr.
@ 8800 IN NS ns01.minatec.inpg.fr.
8800 IN NS ns02.minatec.inpg.fr.
@ 8800 IN A 192.93.178.1
leto 8800 IN A 192.93.179.250
eros 8800 IN A 192.93.179.242
thucidide 8800 IN A 192.93.177.43
icare 8800 IN A 192.93.177.78
gaia 8800 IN A 192.93.179.248
descartes 8800 IN A 192.93.179.66
plutarque 8800 IN A 192.93.177.114
magasin 8800 IN A 192.93.178.68
dhcp179220 8800 IN A 192.93.179.220
dhcp179221 8800 IN A 192.93.179.221
dhcp179222 8800 IN A 192.93.179.222
dhcp179223 8800 IN A 192.93.179.223
dhcp179224 8800 IN A 192.93.179.224
dhcp179225 8800 IN A 192.93.179.225
dhcp179226 8800 IN A 192.93.179.226
dhcp179227 8800 IN A 192.93.179.227
lpcentre 8800 IN A 192.93.177.66
starfleet 8800 IN A 192.93.179.75
si2 8800 IN A 192.93.176.141
epimenide 8800 IN A 192.93.177.44
girafe 8800 IN A 192.93.178.58
dhcp19 8800 IN A 192.93.177.88
pfetel 8800 IN CNAME www01.minatec.inpg.fr.
thales 8800 IN A 192.93.177.73
proserpine 8800 IN A 192.93.177.112
lesti 8800 IN A 192.93.179.1
segbpc122 8800 IN A 192.93.175.122
c80-1 8800 IN A 192.93.179.22
segbpc123 8800 IN A 192.93.175.123
segbmc120 8800 IN A 192.93.175.120
lesti-serv 8800 IN CNAME lestserv
segbmc124 8800 IN A 192.93.175.124
segbmc125 8800 IN A 192.93.175.125
democrite 8800 IN A 192.93.177.71
test176b 8800 IN A 192.93.176.212
segbpc130 8800 IN A 192.93.175.130
lplpcs 8800 IN A 192.93.177.74
clubradio 8800 IN A 192.93.176.249
et-ana 8800 IN A 192.93.179.25
test176c 8800 IN A 192.93.176.213
xwin01 8800 IN A 192.93.179.16
xwin02 8800 IN A 192.93.179.21
min-si-1 8800 IN A 192.93.176.61
xara 8800 IN A 192.93.175.18
segcpc140 8800 IN A 192.93.175.140
obelix 8800 IN A 192.93.179.85
lpscol 8800 IN A 192.93.178.175
dionysos 8800 IN A 192.93.179.247
www.imep 8800 IN CNAME www01.minatec.inpg.fr.
segcpc148 8800 IN A 192.93.175.148
extranet 8800 IN A 147.173.216.34
asterix 8800 IN A 192.93.179.84
sports 8800 IN A 192.93.176.76
modelnt176 8800 IN A 192.93.176.209
segapc7 8800 IN A 192.93.175.7
segapc8 8800 IN A 192.93.175.8
segapc9 8800 IN A 192.93.175.9
lion 8800 IN A 192.93.179.95
segcpc154 8800 IN A 192.93.175.154
cesar 8800 IN A 192.93.179.88
citron 8800 IN A 192.93.178.72
lp02d 8800 IN A 192.93.178.132
leopard 8800 IN A 192.93.178.139
thuau-portable 8800 IN A 192.93.178.140
pomme 8800 IN A 192.93.178.193
tdinfo 8800 IN CNAME www01.minatec.inpg.fr.
pythagore 8800 IN A 192.93.177.99
nfs1176 8800 IN A 192.93.176.143
nfs1178 8800 IN A 192.93.178.9
nfs1179 8800 IN A 192.93.179.132
cerise10 8800 IN A 192.93.179.230
cerise12 8800 IN A 192.93.179.252
cerise13 8800 IN A 192.93.179.253
anubis 8800 IN A 192.93.179.161
socrate 8800 IN A 192.93.177.136
paog3 8800 IN A 192.93.179.6
segapc10 8800 IN A 192.93.175.10
segapc12 8800 IN A 192.93.175.12
segapc15 8800 IN A 192.93.175.15
segapc16 8800 IN A 192.93.175.16
segapc19 8800 IN A 192.93.175.19
segapc21 8800 IN A 192.93.175.21
segapc22 8800 IN A 192.93.175.22
cisco178-2 8800 IN A 192.93.178.29
priape 8800 IN A 192.93.177.77
segapc25 8800 IN A 192.93.175.25
segapc26 8800 IN A 192.93.175.26
segapc27 8800 IN A 192.93.175.27
misti01 8800 IN A 192.93.179.33
misti02 8800 IN A 192.93.179.34
misti03 8800 IN A 192.93.179.35
misti04 8800 IN A 192.93.179.36
misti05 8800 IN A 192.93.179.37
misti06 8800 IN A 192.93.179.38
misti07 8800 IN A 192.93.179.39
misti08 8800 IN A 192.93.179.40
misti10 8800 IN A 192.93.179.42
misti11 8800 IN A 192.93.179.43
misti12 8800 IN A 192.93.179.44
misti13 8800 IN A 192.93.179.45
lplemo2 8800 IN A 192.93.175.142
misti15 8800 IN A 192.93.179.47
lplemo4 8800 IN A 192.93.175.14
misti17 8800 IN A 192.93.179.49
zebre 8800 IN A 192.93.178.57
segapc58 8800 IN A 192.93.175.58
segapc61 8800 IN A 192.93.175.61
segapc62 8800 IN A 192.93.175.62
segapc63 8800 IN A 192.93.175.63
osiris 8800 IN A 192.93.179.164
imep10 8800 IN A 192.93.177.46
imep11 8800 IN A 192.93.177.47
imep12 8800 IN A 192.93.177.48
imep13 8800 IN A 192.93.177.49
imep14 8800 IN A 192.93.177.50
imep15 8800 IN A 192.93.177.51
imep16 8800 IN A 192.93.177.52
imep17 8800 IN A 192.93.177.53
imep18 8800 IN A 192.93.177.54
imep20 8800 IN A 192.93.177.56
enserg12 8800 IN A 192.93.176.88
ivresse 8800 IN A 192.93.178.74
segapc23 8800 IN A 192.93.175.23
segapc24 8800 IN A 192.93.175.24
crates 8800 IN A 192.93.177.65
test176a 8800 IN A 192.93.176.211
segdpc198 8800 IN A 192.93.175.198
denys 8800 IN A 192.93.177.105
hippocrate 8800 IN A 192.93.177.100
impmag 8800 IN A 192.93.178.67
danube 8800 IN A 192.93.175.17
hetre 8800 IN A 192.93.178.166
inpgjc 8800 IN CNAME etudiant.phelma.grenoble-inp.fr.
cleanthe 8800 IN A 192.93.177.98
serge 8800 IN CNAME enserg
cdserv 8800 IN A 192.93.178.51
segcmc190 8800 IN A 192.93.175.190
maintelec2 8800 IN A 192.93.178.195
c80-2 8800 IN A 192.93.179.23
foucault 8800 IN A 192.93.179.70
lpperso 8800 IN A 192.93.178.137
vpn 8800 IN A 192.93.178.26
euripide 8800 IN A 192.93.177.111
idefix 8800 IN A 192.93.179.86
misti09 8800 IN A 192.93.179.41
mangue 8800 IN A 192.93.178.24
tarte 8800 IN A 192.93.176.42
mon01 8800 IN A 147.173.216.40
misti14 8800 IN A 192.93.179.46
lplemo3 8800 IN A 192.93.175.195
lpdea 8800 IN A 192.93.178.135
misti16 8800 IN A 192.93.179.48
lplemo5 8800 IN A 192.93.175.151
serge179 8800 IN A 192.93.179.129
tp1apc2 8800 IN A 192.93.179.99
antisthene 8800 IN A 192.93.177.101
saturne 8800 IN A 192.93.175.137
cisco176 8800 IN A 192.93.178.6
cisco179 8800 IN A 192.93.179.135
lp101g 8800 IN A 192.93.178.130
test179a 8800 IN A 192.93.179.211
usr4 8800 IN A 192.93.179.131
test179c 8800 IN A 192.93.179.213
test179d 8800 IN A 192.93.179.214
dhcp10 8800 IN A 192.93.177.79
dhcp11 8800 IN A 192.93.177.80
dhcp12 8800 IN A 192.93.177.81
dhcp13 8800 IN A 192.93.177.82
dhcp14 8800 IN A 192.93.177.83
dhcp15 8800 IN A 192.93.177.84
dhcp16 8800 IN A 192.93.177.85
dhcp17 8800 IN A 192.93.177.86
dhcp18 8800 IN A 192.93.177.87
dhcp20 8800 IN A 192.93.177.89
lp112ga 8800 IN CNAME impr-p4015p1coulo01.phelma.grenoble-inp.fr.
imagef1 8800 IN A 192.93.179.13
pyrrhon 8800 IN A 192.93.177.97
imageg4 8800 IN A 192.93.179.14
segbmc77 8800 IN A 192.93.175.77
segcpc149 8800 IN A 192.93.175.149
segdpc200 8800 IN A 192.93.175.200
segdpc194 8800 IN A 192.93.175.194
segdpc196 8800 IN A 192.93.175.196
segdpc197 8800 IN A 192.93.175.197
lpcsnabu 8800 IN A 192.93.177.42
segdpc199 8800 IN A 192.93.175.199
test176d 8800 IN A 192.93.176.214
segapc20 8800 IN A 192.93.175.20
at1a 8800 IN A 192.93.179.254
milou 8800 IN A 192.93.179.81
telephone 8800 IN A 192.93.178.158
picasso 8800 IN A 192.93.176.35
test179b 8800 IN A 192.93.179.212
segdpc240 8800 IN A 192.93.175.240
segdpc241 8800 IN A 192.93.175.241
segdpc242 8800 IN A 192.93.175.242
segdpc243 8800 IN A 192.93.175.243
segdpc244 8800 IN A 192.93.175.244
segdpc245 8800 IN A 192.93.175.245
segdpc246 8800 IN A 192.93.175.246
segdpc247 8800 IN A 192.93.175.247
segdpc248 8800 IN A 192.93.175.248
segdpc249 8800 IN A 192.93.175.249
hp64700 8800 IN A 192.93.179.17
imep19 8800 IN A 192.93.177.55
lpcsppp10 8800 IN A 192.93.177.203
lpcsppp11 8800 IN A 192.93.177.204
lpcsppp12 8800 IN A 192.93.177.205
lpcsppp13 8800 IN A 192.93.177.206
lpcsppp14 8800 IN A 192.93.177.207
lpcsppp15 8800 IN A 192.93.177.208
lpcsppp16 8800 IN A 192.93.177.209
lpcsppp17 8800 IN A 192.93.177.210
lpcsppp18 8800 IN A 192.93.177.211
lpcsppp19 8800 IN A 192.93.177.212
lpcsppp21 8800 IN A 192.93.177.214
lpcsppp22 8800 IN A 192.93.177.215
lpcsppp23 8800 IN A 192.93.177.216
lpcsppp24 8800 IN A 192.93.177.217
lpcsppp25 8800 IN A 192.93.177.218
lpcsppp26 8800 IN A 192.93.177.219
euclide 8800 IN A 192.93.177.38
lpcsppp28 8800 IN A 192.93.177.221
lpcsppp30 8800 IN A 192.93.177.223
lpcsppp31 8800 IN A 192.93.177.224
lpcsppp32 8800 IN A 192.93.177.225
idea2 8800 IN A 192.93.179.243
lpcsppp20 8800 IN A 192.93.177.213
segbpc65 8800 IN A 192.93.175.65
segbpc66 8800 IN A 192.93.175.66
segbpc67 8800 IN A 192.93.175.67
segbpc68 8800 IN A 192.93.175.68
segbpc69 8800 IN A 192.93.175.69
segbpc71 8800 IN A 192.93.175.71
segbpc72 8800 IN A 192.93.175.72
segbpc73 8800 IN A 192.93.175.73
segbpc74 8800 IN A 192.93.175.74
segbpc75 8800 IN A 192.93.175.75
segbpc76 8800 IN A 192.93.175.76
segbpc78 8800 IN A 192.93.175.78
segbpc79 8800 IN A 192.93.175.79
bouleau 8800 IN A 192.93.178.149
triangle 8800 IN A 192.93.178.194
epictete 8800 IN A 192.93.177.70
isis 8800 IN A 192.93.179.163
etherg2 8800 IN A 192.93.179.3
lpcsppp27 8800 IN A 192.93.177.220
thesee 8800 IN A 192.93.177.113
xenophane 8800 IN A 192.93.177.106
spinoza 8800 IN A 192.93.179.65
lpcsppp29 8800 IN A 192.93.177.222
www.inpgjc 8800 IN CNAME etudiant.phelma.grenoble-inp.fr.
archimede 8800 IN A 192.93.177.129
modele 8800 IN A 192.93.178.170
stages 8800 IN CNAME www01.minatec.inpg.fr.
cerise2 8800 IN A 192.93.179.238
cerise3 8800 IN A 192.93.179.237
cerise4 8800 IN A 192.93.179.236
cerise5 8800 IN A 192.93.179.235
cerise7 8800 IN A 192.93.179.233
cerise8 8800 IN A 192.93.179.232
bureau 8800 IN A 192.93.179.7
model176 8800 IN A 192.93.176.210
model179 8800 IN A 192.93.179.210
empedocle 8800 IN A 192.93.177.68
ultrium 8800 IN A 192.93.176.63
diogene 8800 IN A 192.93.177.37
impsa3 8800 IN CNAME impr-m602p1ls001.phelma.grenoble-inp.fr.
