@ 3600 IN SOA ns2 soutbj 2015031901 60 3600 604800 3600
@ 3600 IN MX 1 farvlp
3600 IN MX 1 farvlv
@ 3600 IN A 50.57.138.226
@ 3600 IN NS ns1
3600 IN NS ns2
vc5 3600 IN A 137.125.44.6
rdp 3600 IN A 137.125.248.42
www.intranet 3600 IN A 137.125.248.27
snyfarvm.cc 3600 IN A 137.125.248.13
vc2 3600 IN A 137.125.44.3
business 3600 IN A 137.125.3.194
orasvr01 3600 IN A 137.125.248.65
it 3600 IN NS farpwh.it
snort 3600 IN A 137.125.248.26
helpdesk 3600 IN A 137.125.248.28
vc6 3600 IN A 137.125.44.7
calendar2 3600 IN A 137.125.248.76
people 3600 IN A 137.125.248.76
lto6 3600 IN A 137.125.248.14
outbound 3600 IN A 137.125.248.34
3600 IN A 137.125.248.35
farvwi.it 3600 IN A 137.125.248.7
ciscoacademy 3600 IN A 137.125.248.76
lib 3600 IN A 137.125.40.7
snyfarva.cc 3600 IN A 137.125.248.1
oradb1-c 3600 IN CNAME oradb1
oradb1-d 3600 IN CNAME oradb1
oradb1-e 3600 IN CNAME oradb1
rambler 3600 IN A 137.125.248.76
ns 3600 IN A 137.125.248.2
info.lu 3600 IN A 137.125.248.76
lto3 3600 IN A 137.125.248.21
lto5 3600 IN A 137.125.248.18
googlef31888a3cfc704d1.gtest 3600 IN CNAME google.com.
vmail.it 3600 IN A 137.125.248.14
blogs 3600 IN A 98.129.229.226
vcserver 3600 IN A 137.125.44.1
vdivc 3600 IN A 137.125.242.170
www.art 3600 IN CNAME art
m 3600 IN A 50.57.132.208
degreeworks 3600 IN A 137.125.248.76
rr 3600 IN A 137.125.248.58
esx 3600 IN A 137.125.248.83
oradb1 3600 IN A 137.125.248.9
oradb2 3600 IN A 137.125.248.4
esxhost01 3600 IN A 137.125.242.161
esxhost02 3600 IN A 137.125.242.162
esxhost03 3600 IN A 137.125.242.163
esxhost04 3600 IN A 137.125.242.164
esxhost05 3600 IN A 137.125.242.165
esxhost06 3600 IN A 137.125.242.166
sa 3600 IN A 137.125.247.250
_VLMCS._tcp 3600 IN SRV 0 0 1688 farvww.it
farvwj.it 3600 IN A 137.125.248.8
oradb2-a 3600 IN CNAME oradb2
oradb2-b 3600 IN CNAME oradb2
oradb2-c 3600 IN CNAME oradb2
oradb2-d 3600 IN CNAME oradb2
oradb2-e 3600 IN CNAME oradb2
vdihost01 3600 IN A 137.125.242.171
vdihost02 3600 IN A 137.125.242.172
vdihost03 3600 IN A 137.125.242.173
calendar 3600 IN A 50.57.132.159
instep 3600 IN A 137.125.252.1
outlook 3600 IN A 137.125.248.85
livestats 3600 IN A 137.125.248.76
tl5 3600 IN A 137.125.248.140
autodiscover 3600 IN A 137.125.248.85
oldcalendar 3600 IN A 137.125.248.76
bdmsow 3600 IN A 137.125.248.10
auth-ext 3600 IN A 137.125.238.69
snyfarvv 3600 IN A 137.125.248.36
ftp 3600 IN CNAME snyfarvg.cc
usg 3600 IN A 137.125.1.242
localhost 3600 IN A 127.0.0.1
auth-ext-test 3600 IN A 137.125.238.204
t2a 3600 IN CNAME hs2
pcoip-mc 3600 IN A 137.125.248.41
routegmail 3600 IN MX 10 ASPMX.L.GOOGLE.COM.
3600 IN MX 15 ALT1.ASPMX.L.GOOGLE.COM.
3600 IN MX 15 ALT2.ASPMX.L.GOOGLE.COM.
3600 IN MX 20 ASPMX2.GOOGLEMAIL.COM.
3600 IN MX 20 ASPMX3.GOOGLEMAIL.COM.
rep1 3600 IN A 137.125.248.13
farpwh.it 3600 IN A 137.125.248.6
snyfarvc.cc 3600 IN A 137.125.248.2
borahj 3600 IN A 137.125.248.101
www2 3600 IN CNAME snyfarvc.cc
testtxt 3600 IN TXT "This" "ireptest"
testav 3600 IN A 137.125.248.76
snyfarvq 3600 IN A 137.125.248.35
epay 3600 IN A 198.187.196.70
tls 3600 IN A 137.125.248.100
gmail 3600 IN CNAME ghs.googlehosted.com.
bdms 3600 IN A 137.125.248.16
tl 3600 IN CNAME lto3
vc1 3600 IN A 137.125.44.2
bdmsowdev 3600 IN A 137.125.248.98
vc3 3600 IN A 137.125.44.4
vc4 3600 IN A 137.125.44.5
backup 3600 IN A 137.125.248.102
esxvc 3600 IN CNAME esxvc.it
ns1 3600 IN A 137.125.248.48
ns2 3600 IN A 137.125.248.49
fmii 3600 IN A 137.125.246.10
registration 3600 IN A 137.125.248.58
netflow 3600 IN A 137.125.248.76
lnxsvr01 3600 IN A 137.125.248.115
lnxsvr02 3600 IN A 137.125.248.116
lnxsvr03 3600 IN A 137.125.248.113
hs1 3600 IN A 137.125.248.76
hs2 3600 IN A 137.125.248.5
hs3 3600 IN A 137.125.248.89
art 3600 IN A 76.77.133.200
fsc-orchard-edge 3600 IN A 137.125.253.39
googleffffffff9caf5968.gtest 3600 IN CNAME google.com.
mail 3600 IN A 137.125.248.85
_pcoip-tool 3600 IN SRV 0 0 50000 pcoip-mc
listservers 3600 IN A 137.125.248.76
pgina 3600 IN A 137.125.248.1
3600 IN A 137.125.248.2
mail.gtest 3600 IN CNAME ghs.google.com.
vdi 3600 IN A 137.125.238.207
list 3600 IN A 137.125.248.76
