@ 900 IN SOA ns1 hostmaster 2015042601 600 300 3024000 900
@ 600 IN MX 10 av.blacknight.ie.
@ 900 IN TXT "v=spf1 ip4:83.141.104.144/28 a a:paidi.gcd.ie a:mail.gcd.ie a:www.gcd.ie a:secure.gcd.ie ip4:54.228.247.84 ~all"
@ 900 IN NS ns.heanet.ie.
900 IN NS ns1
900 IN NS ns1.kerna.ie.
900 IN NS ns2.kerna.ie.
@ 900 IN A 54.228.247.84
jel.sagepub.com.ezproxy 900 IN CNAME deathcab
eth.sagepub.com.ezproxy 900 IN CNAME deathcab
tuirse 900 IN A 83.141.104.149
tuirse 900 IN AAAA 2001:4d68:200e:1111::a5
cus.sagepub.com.ezproxy 900 IN CNAME deathcab
jwb.sagepub.com.ezproxy 900 IN CNAME deathcab
hea.sagepub.com.ezproxy 900 IN CNAME deathcab
tar.sagepub.com.ezproxy 900 IN CNAME deathcab
cre.sagepub.com.ezproxy 900 IN CNAME deathcab
cap.sagepub.com.ezproxy 900 IN CNAME deathcab
jei.sagepub.com.ezproxy 900 IN CNAME deathcab
jls.sagepub.com.ezproxy 900 IN CNAME deathcab
ifl.sagepub.com.ezproxy 900 IN CNAME deathcab
fap.sagepub.com.ezproxy 900 IN CNAME deathcab
www.deathcab 900 IN CNAME deathcab
ant.sagepub.com.ezproxy 900 IN CNAME deathcab
nsq.sagepub.com.ezproxy 900 IN CNAME deathcab
www.irish 900 IN CNAME tuirse
ire.sagepub.com.ezproxy 900 IN CNAME deathcab
gaq.sagepub.com.ezproxy 900 IN CNAME deathcab
www.irishnewsarchive.com.ezproxy 900 IN CNAME deathcab
eur.sagepub.com.ezproxy 900 IN CNAME deathcab
maths2014 900 IN CNAME ocras
pmj.sagepub.com.ezproxy 900 IN CNAME deathcab
ebscohost.com.ezproxy 900 IN CNAME deathcab
elearning 900 IN CNAME tuirse
jcr.sagepub.com.ezproxy 900 IN CNAME deathcab
het.sagepub.com.ezproxy 900 IN CNAME deathcab
sls.sagepub.com.ezproxy 900 IN CNAME deathcab
crx.sagepub.com.ezproxy 900 IN CNAME deathcab
aes.sagepub.com.ezproxy 900 IN CNAME deathcab
mcr.sagepub.com.ezproxy 900 IN CNAME deathcab
jnt.sagepub.com.ezproxy 900 IN CNAME deathcab
hrd.sagepub.com.ezproxy 900 IN CNAME deathcab
vmj.sagepub.com.ezproxy 900 IN CNAME deathcab
rre.sagepub.com.ezproxy 900 IN CNAME deathcab
psp.sagepub.com.ezproxy 900 IN CNAME deathcab
irx.sagepub.com.ezproxy 900 IN CNAME deathcab
jag.sagepub.com.ezproxy 900 IN CNAME deathcab
rmi.sagepub.com.ezproxy 900 IN CNAME deathcab
jes.sagepub.com.ezproxy 900 IN CNAME deathcab
gan.sagepub.com.ezproxy 900 IN CNAME deathcab
lexiscn.com.ezproxy 900 IN CNAME ezproxy
www.cao 900 IN A 81.17.252.70
cer.sagepub.com.ezproxy 900 IN CNAME deathcab
yec.sagepub.com.ezproxy 900 IN CNAME deathcab
tre.sagepub.com.ezproxy 900 IN CNAME deathcab
tah.sagepub.com.ezproxy 900 IN CNAME deathcab
jrc.sagepub.com.ezproxy 900 IN CNAME deathcab
safaribooksonline.com.ezproxy 900 IN CNAME deathcab
cpt.sagepub.com.ezproxy 900 IN CNAME deathcab
asm.sagepub.com.ezproxy 900 IN CNAME deathcab
support.epnet.com.ezproxy 900 IN CNAME deathcab
sip 900 IN A 89.124.205.6
ier.sagepub.com.ezproxy 900 IN CNAME deathcab
itwiki 900 IN CNAME deathcab
epwl.aws.ebsco-content.com.ezproxy 900 IN CNAME deathcab
lup.sagepub.com.ezproxy 900 IN CNAME deathcab
lexisnexis.com.ezproxy 900 IN CNAME ezproxy
gtd.sagepub.com.ezproxy 900 IN CNAME deathcab
ves.sagepub.com.ezproxy 900 IN CNAME deathcab
dingaling 900 IN A 89.124.205.6
ajl.sagepub.com.ezproxy 900 IN CNAME deathcab
nnr.sagepub.com.ezproxy 900 IN CNAME deathcab
lecturers 900 IN CNAME deathcab
jsm.sagepub.com.ezproxy 900 IN CNAME deathcab
jbx.sagepub.com.ezproxy 900 IN CNAME deathcab
FBC756DE67B00DACBD49569E701F160C.secure 900 IN CNAME 9107FA43A319B1342D503905B4814FDB0C2D3C45.comodoca.com.
tcp.sagepub.com.ezproxy 900 IN CNAME deathcab
rer.sagepub.com.ezproxy 900 IN CNAME deathcab
cde.sagepub.com.ezproxy 900 IN CNAME deathcab
jea.sagepub.com.ezproxy 900 IN CNAME deathcab
cqx.sagepub.com.ezproxy 900 IN CNAME deathcab
eme.sagepub.com.ezproxy 900 IN CNAME deathcab
apr.sagepub.com.ezproxy 900 IN CNAME deathcab
moh.sagepub.com.ezproxy 900 IN CNAME deathcab
pom.sagepub.com.ezproxy 900 IN CNAME deathcab
digital 900 IN CNAME web1
btb.sagepub.com.ezproxy 900 IN CNAME deathcab
student 900 IN MX 1 ASPMX.L.GOOGLE.com.
900 IN MX 5 ALT1.ASPMX.L.GOOGLE.com.
900 IN MX 5 ALT2.ASPMX.L.GOOGLE.com.
900 IN MX 10 ASPMX2.GOOGLEMAIL.com.
900 IN MX 10 ASPMX3.GOOGLEMAIL.com.
900 IN MX 10 ASPMX4.GOOGLEMAIL.com.
900 IN MX 10 ASPMX5.GOOGLEMAIL.com.
jep.sagepub.com.ezproxy 900 IN CNAME deathcab
hol.sagepub.com.ezproxy 900 IN CNAME deathcab
ahh.sagepub.com.ezproxy 900 IN CNAME deathcab
jpr.sagepub.com.ezproxy 900 IN CNAME deathcab
vcj.sagepub.com.ezproxy 900 IN CNAME deathcab
tps.sagepub.com.ezproxy 900 IN CNAME deathcab
job.sagepub.com.ezproxy 900 IN CNAME deathcab
pun.sagepub.com.ezproxy 900 IN CNAME deathcab
asj.sagepub.com.ezproxy 900 IN CNAME deathcab
www.mygcdtest 300 IN CNAME tuirse
jmd.sagepub.com.ezproxy 900 IN CNAME deathcab
proquest.safaribooksonline.com.ezproxy 900 IN CNAME deathcab
bul.sagepub.com.ezproxy 900 IN CNAME deathcab
epnet.com.ezproxy 900 IN CNAME deathcab
mmd.sagepub.com.ezproxy 900 IN CNAME deathcab
prf.sagepub.com.ezproxy 900 IN CNAME deathcab
ldx.sagepub.com.ezproxy 900 IN CNAME deathcab
www.marketingwiki 900 IN CNAME deathcab
jhh.sagepub.com.ezproxy 900 IN CNAME deathcab
samplesnew 900 IN CNAME ocras
spr.sagepub.com.ezproxy 900 IN CNAME deathcab
tcr.sagepub.com.ezproxy 900 IN CNAME deathcab
ezproxy 900 IN CNAME deathcab
jcl.sagepub.com.ezproxy 900 IN CNAME deathcab
knuth 900 IN CNAME deathcab
www.moodledev24 900 IN CNAME ocras
csi.sagepub.com.ezproxy 900 IN CNAME deathcab
msj.sagepub.com.ezproxy 900 IN CNAME deathcab
joe.sagepub.com.ezproxy 900 IN CNAME deathcab
hpp.sagepub.com.ezproxy 900 IN CNAME deathcab
www.safaribooksonline.com.ezproxy 900 IN CNAME deathcab
dem.sagepub.com.ezproxy 900 IN CNAME deathcab
jhn.sagepub.com.ezproxy 900 IN CNAME deathcab
jic.sagepub.com.ezproxy 900 IN CNAME deathcab
jir.sagepub.com.ezproxy 900 IN CNAME deathcab
www.math2012 900 IN CNAME ocras
gsp.sagepub.com.ezproxy 900 IN CNAME deathcab
www.su 900 IN CNAME su
ecs.sagepub.com.ezproxy 900 IN CNAME deathcab
evi.sagepub.com.ezproxy 900 IN CNAME deathcab
soe.sagepub.com.ezproxy 900 IN CNAME deathcab
cel.sagepub.com.ezproxy 900 IN CNAME deathcab
jcm.sagepub.com.ezproxy 900 IN CNAME deathcab
tag.sagepub.com.ezproxy 900 IN CNAME deathcab
www.justis.com.ezproxy 900 IN CNAME deathcab
jah.sagepub.com.ezproxy 900 IN CNAME deathcab
sir.sagepub.com.ezproxy 900 IN CNAME deathcab
arp.sagepub.com.ezproxy 900 IN CNAME deathcab
conf 900 IN A 83.141.104.153
jch.sagepub.com.ezproxy 900 IN CNAME deathcab
hip.sagepub.com.ezproxy 900 IN CNAME deathcab
gbr.sagepub.com.ezproxy 900 IN CNAME deathcab
mie.sagepub.com.ezproxy 900 IN CNAME deathcab
chd.sagepub.com.ezproxy 900 IN CNAME deathcab
bse.sagepub.com.ezproxy 900 IN CNAME deathcab
www.maths 900 IN CNAME tuirse
tcas.gcd.ie 900 IN CNAME siochain
jrp.sagepub.com.ezproxy 900 IN CNAME deathcab
jbr.sagepub.com.ezproxy 900 IN CNAME deathcab
jsp.sagepub.com.ezproxy 900 IN CNAME deathcab
gmt.sagepub.com.ezproxy 900 IN CNAME deathcab
epm.sagepub.com.ezproxy 900 IN CNAME deathcab
cro.sagepub.com.ezproxy 900 IN CNAME deathcab
rel.sagepub.com.ezproxy 900 IN CNAME deathcab
eid.sagepub.com.ezproxy 900 IN CNAME deathcab
web.ebscohost.com.ezproxy 900 IN CNAME deathcab
jmt.sagepub.com.ezproxy 900 IN CNAME deathcab
ipv6 900 IN NS ns1
coa.sagepub.com.ezproxy 900 IN CNAME deathcab
lch.sagepub.com.ezproxy 900 IN CNAME deathcab
foa.sagepub.com.ezproxy 900 IN CNAME deathcab
search.ebscohost.com.ezproxy 900 IN CNAME deathcab
cin.sagepub.com.ezproxy 900 IN CNAME deathcab
mwiki 900 IN CNAME deathcab
smj.sagepub.com.ezproxy 900 IN CNAME deathcab
aei.sagepub.com.ezproxy 900 IN CNAME deathcab
juh.sagepub.com.ezproxy 900 IN CNAME deathcab
jds.sagepub.com.ezproxy 900 IN CNAME deathcab
hhc.sagepub.com.ezproxy 900 IN CNAME deathcab
mtq.sagepub.com.ezproxy 900 IN CNAME deathcab
