@ 300 IN SOA ns1.net4india.com. hostmaster.net4india.com. 3000000012 10800 3600 604800 600
@ 300 IN NS ns1.net4india.com.
300 IN NS ns2.net4india.com.
@ 300 IN MX 15 mail.exmail.net4india.com.
300 IN MX 1 ASPMX.L.google.com.
300 IN MX 5 ALT1.ASPMX.L.google.com.
300 IN MX 5 ALT2.ASPMX.L.google.com.
300 IN MX 10 ASPMX2.GOOGLEMAIL.com.
300 IN MX 10 ASPMX3.GOOGLEMAIL.com.
@ 300 IN A 118.67.248.125
plexus 300 IN A 54.243.202.28
ex 300 IN A 118.67.248.19
startups 300 IN A 54.243.202.28
convo4deg 300 IN A 54.204.47.13
OOI5I3WDVMBC 300 IN CNAME gv-ILNANTQBI5Z7GM.dv.googlehosted.com.
dde 300 IN A 54.243.202.28
gsn 300 IN A 54.243.202.28
portal 300 IN A 54.235.249.145
registration 300 IN A 27.109.22.70
convo13dip 300 IN A 54.243.202.28
unity 300 IN A 54.243.202.28
gcsr 300 IN A 54.243.202.28
international 300 IN A 54.243.202.28
smartcities.graduateschool 300 IN A 14.139.122.72
awards 300 IN A 54.235.249.145
cbecsr 300 IN A 54.243.202.28
ccc 300 IN A 54.204.47.13
projects 300 IN A 52.5.110.28
psar 300 IN A 54.197.85.32
pgschool 300 IN A 180.211.113.165
www.mammca 300 IN A 54.243.202.28
mammca 300 IN A 54.243.202.28
convo4dip 300 IN A 54.204.47.13
convo13 300 IN A 54.243.202.28
vy 300 IN A 54.235.249.145
tfs 300 IN A 14.139.122.72
mammcm 300 IN A 54.243.202.28
techevents 300 IN A 207.210.201.64
sports 300 IN A 54.243.202.28
gtumap 300 IN A 54.243.202.28
nss 300 IN A 14.139.122.72
awards.projects 300 IN A 54.243.202.28
www 300 IN A 118.67.248.125
cpdp 300 IN A 54.243.202.28
wimc 300 IN A 54.243.192.229
cic3 300 IN A 54.235.249.145
files 300 IN A 107.22.240.184
clubs 300 IN A 54.235.249.145
sss 300 IN A 107.22.240.184
gtuipr 300 IN A 54.243.202.28
googlebc780f63362c3764 300 IN CNAME google.com.
www1 300 IN A 202.71.129.44
staffs 300 IN A 54.243.202.28
convo13deg 300 IN A 54.243.202.28
ccc1 300 IN A 54.81.233.91
slp 300 IN A 54.251.246.223
new 300 IN A 107.22.240.184
affiliation 300 IN A 54.243.202.28
plan 300 IN A 54.243.202.28
skilldevelopmentcenter 300 IN A 14.139.122.72
alvcom 300 IN A 54.235.249.145
phd 300 IN A 54.243.202.28
elibrary 300 IN A 54.251.251.119
techfest 300 IN A 54.243.202.28
