@ 86400 IN SOA nm.hbu.cn. root.ns.hbu.cn. 2015043001 3600 3600 604800 3600
@ 1800 IN NS nm.hbu.cn.
1800 IN NS nm
1800 IN NS nm2.hbu.cn.
1800 IN NS nm2
@ 1800 IN MX 10 mail.hbu.cn.
@ 1800 IN A 221.192.237.140
diandi 1800 IN A 221.192.237.154
mlcenter 1800 IN A 221.192.237.131
mail.protein 1800 IN A 221.192.237.154
xb-zsb 1800 IN A 221.192.237.154
et 1800 IN A 221.192.237.154
yzuuc 1800 IN A 221.192.237.154
hbutv 1800 IN A 221.192.236.154
hb 1800 IN A 221.192.236.144
video.news 1800 IN A 221.192.236.154
kjy 1800 IN A 221.192.237.154
wxy 1800 IN A 221.192.237.154
hdoa 1800 IN A 221.192.236.147
hqjt 1800 IN A 221.192.236.149
upload.news 1800 IN A 221.192.236.154
rbwtyj 1800 IN A 221.192.237.154
jwc 1800 IN A 221.192.237.154
jc 1800 IN A 221.192.237.154
dangdai 1800 IN A 221.192.237.154
image 1800 IN A 221.192.237.144
aiguo 1800 IN A 221.192.236.130
cjxy 1800 IN A 221.192.237.154
jn 1800 IN A 221.192.237.154
gh 1800 IN A 221.192.237.131
kj 1800 IN A 221.192.236.140
lxxs 1800 IN A 221.192.237.154
jw 1800 IN A 221.192.237.131
fzghc 1800 IN A 221.192.237.131
daotanghe 1800 IN A 221.192.237.154
dwb 1800 IN A 221.192.237.154
xyh 1800 IN A 221.192.237.154
photo 1800 IN A 221.192.237.154
cms3.news 1800 IN A 221.192.237.154
mi 1800 IN A 221.192.237.154
lib 1800 IN A 221.192.236.137
sat 1800 IN A 221.192.236.161
ecjob 1800 IN A 221.192.237.144
dxpll 1800 IN A 221.192.236.144
graduate 1800 IN A 221.192.237.154
ppdc 1800 IN A 221.192.236.153
cmce 1800 IN A 221.192.237.131
zhfa 1800 IN A 221.192.237.154
xcb 1800 IN A 221.192.236.144
nm 1800 IN A 202.206.1.2
1800 IN A 202.206.1.24
1800 IN A 221.192.237.136
m.news 1800 IN A 221.192.236.154
photo.news 1800 IN A 221.192.236.154
mba 1800 IN A 221.192.237.154
ns 1800 IN A 221.192.237.136
sysgl 1800 IN A 221.192.237.154
biomedic 1800 IN A 221.192.237.144
