@ 86400 IN SOA nddns1 webmasters 181 10800 900 604800 86400
@ 86400 IN TXT "v=spf1 a mx ip4:221.192.241.100 ~all"
@ 86400 IN NS nddns1
@ 86400 IN MX 1 mail
linxue 86400 IN A 221.192.241.107
caiwu 86400 IN A 211.68.187.104
zuzhibu 86400 IN A 221.192.241.106
gateway 86400 IN A 10.10.2.1
wenguan-bh 86400 IN A 211.68.191.18
xiaoqing 86400 IN A 221.192.241.108
shxxx 86400 IN A 221.192.241.107
yuanyi 86400 IN A 221.192.241.105
live 86400 IN MX 1 920539494.mail.outlook.com.
xdjyjsh 86400 IN A 221.192.241.106
jiuye1 86400 IN A 211.68.191.241
auhnic-vm-srv 86400 IN A 211.68.187.252
csec 86400 IN A 221.192.241.106
lib 86400 IN A 221.192.241.67
xkxw 86400 IN A 221.192.241.106
shangxue 86400 IN A 221.192.241.106
OA 86400 IN A 211.68.176.38
vodnew 86400 IN A 211.68.176.179
wtzp 86400 IN A 221.192.241.108
selfservice 86400 IN A 10.200.0.3
vsec 86400 IN A 221.192.241.106
auhoa 86400 IN A 221.192.241.119
baowei 86400 IN A 221.192.241.106
lib1 86400 IN A 211.68.184.8
bohai 86400 IN A 221.195.51.5
guoqi 86400 IN A 221.192.241.107
zhjw 86400 IN A 211.68.176.71
houqin 86400 IN A 211.68.191.139
xnfw 86400 IN A 211.68.187.105
ppien 86400 IN A 211.68.176.15
tch 86400 IN A 221.192.241.107
yishu 86400 IN A 221.192.241.103
xjziziphus 86400 IN A 221.192.241.120
tea 86400 IN A 221.192.241.108
soft 86400 IN A 211.68.187.176
cxzy 86400 IN A 221.192.241.107
qzlx 86400 IN A 221.192.241.106
shanyansuo 86400 IN A 221.192.241.106
guangongwei 86400 IN A 221.192.241.107
bhnic 86400 IN A 221.195.51.5
chengjian 86400 IN A 221.192.241.107
chengjiao 86400 IN A 221.192.241.103
zhaoban 86400 IN A 221.192.241.106
taihang1 86400 IN A 221.192.241.117
xuanch 86400 IN A 221.192.241.107
jxsy.zhibao 86400 IN A 221.192.241.107
gjs 86400 IN A 211.68.191.133
guozi 86400 IN A 221.192.241.102
test 86400 IN A 221.192.241.118
keji 86400 IN A 221.192.241.106
dongke 86400 IN A 211.68.191.3
ieas 86400 IN A 221.192.241.112
xshchu 86400 IN A 221.192.241.106
jidian 86400 IN A 221.192.241.106
vod2 86400 IN A 211.68.176.26
hbsztj 86400 IN A 211.68.176.115
xszz 86400 IN A 211.68.191.164
kjxn 86400 IN A 221.192.241.108
cnki 86400 IN A 211.68.184.6
stu 86400 IN A 221.192.241.107
arts 86400 IN A 221.192.241.108
guihua 86400 IN A 221.192.241.106
jiaowu 86400 IN A 221.192.241.104
jszy 86400 IN A 221.192.241.106
ylly 86400 IN A 221.192.241.107
yanjiusheng 86400 IN A 221.192.241.106
xiaoyou 86400 IN A 221.192.241.106
gjjy 86400 IN A 211.68.191.136
xchb 86400 IN A 211.68.191.151
tongzhanbu 86400 IN A 221.192.241.106
gonghui 86400 IN A 221.192.241.107
vodstream 86400 IN A 211.68.176.177
wlkc 86400 IN A 221.192.241.118
mail 86400 IN A 221.192.241.100
tigongbu 86400 IN A 211.68.191.148
test1 86400 IN A 221.192.241.108
test2 86400 IN A 221.192.241.108
jiwei 86400 IN A 211.68.191.140
tuanwei 86400 IN A 221.192.241.106
gjshqzhx 86400 IN A 221.192.241.106
nddns1 86400 IN A 211.68.176.8
nddns2 86400 IN A 211.68.176.9
dongyi 86400 IN A 221.192.241.103
jiuye 86400 IN A 221.192.241.111
nongfa 86400 IN A 221.192.241.105
laoganbu 86400 IN A 174.139.183.76
xiaoban 86400 IN A 221.192.241.106
taihang 86400 IN A 221.192.241.109
lixue 86400 IN A 221.192.241.107
kejiaoxingnong 86400 IN A 221.192.241.106
zhaosheng 86400 IN A 221.192.241.104
xianke 86400 IN A 221.192.241.107
renshi1 86400 IN A 221.192.241.107
penguan 86400 IN A 221.192.241.107
urp 86400 IN A 221.192.241.113
tasi 86400 IN A 221.192.241.65
xinli 86400 IN A 221.192.241.111
yysyzx 86400 IN A 221.192.241.107
dangban 86400 IN A 221.192.241.108
cpjs 86400 IN A 211.68.176.68
zihuan 86400 IN A 221.192.241.107
nykcx 86400 IN A 221.192.241.107
error 86400 IN A 221.192.241.108
zhiyejishu 86400 IN A 221.192.241.106
vod 86400 IN A 211.68.187.176
auhnic 86400 IN A 221.192.241.115
sizheng 86400 IN A 211.68.191.147
dangan 86400 IN A 221.192.241.107
english 86400 IN A 221.192.241.102
shengming 86400 IN A 221.192.241.106
tigongbu-bm 86400 IN A 221.192.241.107
yuanlinlvyou 86400 IN A 221.192.241.106
zhinanzh 86400 IN A 211.68.177.111
nongxue 86400 IN A 221.192.241.107
zhibao 86400 IN A 221.192.241.103
www 86400 IN A 221.192.241.99
guojihezuo 86400 IN A 221.192.241.106
bb 86400 IN A 221.192.241.110
ligong-bh 86400 IN A 211.68.191.6
xyzwtj 86400 IN A 221.192.241.108
shenji 86400 IN A 221.192.241.106
shipin 86400 IN A 221.192.241.106
shuhua 86400 IN A 221.192.241.108
xinxi 86400 IN A 221.192.241.107
renshi 86400 IN A 221.192.241.107
renwen 86400 IN A 221.192.241.106
jingmao 86400 IN A 221.192.241.106
wzb 86400 IN A 221.192.241.111
dns 86400 IN CNAME nddns1
vdisk 86400 IN A 221.195.51.19
jichu-bh 86400 IN A 221.192.241.106
zhongshouyi 86400 IN A 221.192.241.107
auh-nic 86400 IN A 221.192.241.115
waiyu 86400 IN A 221.192.241.106
