@ 86400 IN SOA fhudns postmaster 2015040601 10800 3600 604800 86400
@ 86400 IN MX 10 fhumail-bar
@ 86400 IN NS fhudns
86400 IN NS ns.supercsi.jp.
86400 IN NS fuccds.fucc.fukuyama-u.ac.jp.
@ 86400 IN A 202.249.233.2
pc5447.ircad3 86400 IN A 202.249.234.177
pc5113.ircad2 86400 IN A 202.249.232.143
pc1101 86400 IN A 202.249.232.96
pc1102 86400 IN A 202.249.232.97
pc5445.ircad3 86400 IN A 202.249.234.175
pc2306 86400 IN A 202.249.232.54
pc5111.ircad2 86400 IN A 202.249.232.141
am5201 86400 IN A 202.249.232.240
pc5443.ircad3 86400 IN A 202.249.234.173
pr12101 86400 IN A 202.249.233.183
pc5108.ircad2 86400 IN A 202.249.232.138
tr4201 86400 IN A 202.249.233.92
sw02f4 86400 IN A 202.249.232.117
pc5249.ircad2 86400 IN A 202.249.232.199
tb5 86400 IN A 202.249.232.236
pc5441.ircad3 86400 IN A 202.249.234.171
tr4204 86400 IN A 202.249.233.95
tr12207 86400 IN A 202.249.233.102
_ldap._tcp.ircad2 86400 IN SRV 0 0 389 pc52sv5.ircad2
86400 IN SRV 0 0 389 pc53sv5.ircad2
_ldap._tcp.ircad3 86400 IN SRV 0 0 389 pc54sv3.ircad3
pc5354.ircad3 86400 IN A 202.249.234.54
pc5106.ircad2 86400 IN A 202.249.232.136
st.mi 86400 IN A 202.249.233.3
st.mi 86400 IN MX 10 st.mi
pc1202 86400 IN A 202.249.232.109
pc1205 86400 IN A 202.249.232.98
pc1209 86400 IN A 202.249.232.110
sv5j01 86400 IN A 202.249.232.88
pc5438.ircad3 86400 IN A 202.249.234.168
fhlpc04 86400 IN A 202.249.234.229
pc5352.ircad3 86400 IN A 202.249.234.52
pc5104.ircad2 86400 IN A 202.249.232.134
pc51ws1 86400 IN A 202.249.232.250
pc5310.ircad3 86400 IN A 202.249.234.10
www1.irc 86400 IN A 202.249.233.17
pc5436.ircad3 86400 IN A 202.249.234.166
