@ 86400 IN SOA ksue.kharkov.ukrtel.net. root.ksue.kharkov.ukrtel.net. 2015033101 28800 7200 3600000 86400
@ 86400 IN NS ns.kharkov.ukrtel.net.
86400 IN NS ns.secondary.net.ua.
86400 IN NS ksue.bestnet.kharkov.ua.
86400 IN NS ksue.kharkov.ukrtel.net.
@ 86400 IN A 82.207.126.225
@ 86400 IN MX 150 ksue.bestnet.kharkov.ua.
86400 IN MX 200 ksue.kharkov.ukrtel.net.
www.iktrd 86400 IN A 212.111.199.98
www.new 86400 IN A 212.111.199.126
86400 IN A 212.111.212.226
gateway 86400 IN CNAME @
www.stud 86400 IN A 212.111.199.126
www.files 86400 IN A 212.111.199.126
www.uia 86400 IN A 212.111.199.126
www.iktzdkt 86400 IN A 212.111.199.126
www.admin 86400 IN A 82.207.126.225
www.pbd.mdk 86400 IN A 212.111.199.126
www.opr.mdk 86400 IN A 212.111.199.126
www.ea 86400 IN A 212.111.199.126
www 86400 IN A 212.111.212.226
www.ed 86400 IN A 212.111.199.126
ns 86400 IN CNAME @
live-mail 86400 IN MX 10 1152783001.pamx1.hotmail.com.
86400 IN MX 10 2026233717.pamx1.hotmail.com.
www.ei 86400 IN A 212.111.199.126
www.tkl.mdk 86400 IN A 212.111.199.126
www.ep 86400 IN A 212.111.199.126
www.er 86400 IN A 212.111.199.126
basis 86400 IN A 212.111.199.124
m 86400 IN TXT "v=spf1" "include:_spf.google.com" "~all"
86400 IN TXT "google-site-verification=bcscaELa3j5ETuqDnkmbC9inYiA6nWwfORzRizI-EEo"
m 86400 IN MX 10 ASPMX.L.GOOGLE.COM.
86400 IN MX 20 ALT1.ASPMX.L.GOOGLE.COM.
86400 IN MX 20 ALT2.ASPMX.L.GOOGLE.COM.
86400 IN MX 30 ASPMX2.GOOGLEMAIL.COM.
86400 IN MX 30 ASPMX3.GOOGLEMAIL.COM.
intdep 86400 IN A 212.111.199.126
www.is 86400 IN A 212.111.199.126
www.ntsad 86400 IN A 212.111.199.126
webmail 86400 IN A 212.111.199.99
repository 86400 IN A 212.111.199.126
library 86400 IN A 212.111.199.100
www.management 86400 IN A 212.111.199.126
www.twd.mdk 86400 IN A 212.111.199.126
www.mail 86400 IN A 212.111.199.126
www.mo 86400 IN A 212.111.199.126
www.services 86400 IN A 212.111.199.126
msdnaa 86400 IN A 212.111.199.125
www.ksit 86400 IN A 212.111.199.126
www.kmib 86400 IN A 212.111.199.126
www.om 86400 IN A 212.111.199.103
www.e-ksit 86400 IN A 212.111.199.126
www.ikt 86400 IN A 212.111.199.126
fsf 86400 IN A 212.111.199.126
www.devm 86400 IN A 212.111.199.126
www.conf 86400 IN A 212.111.199.104
ftp 86400 IN CNAME @
www.jes 86400 IN A 212.111.199.126
ingek 86400 IN A 212.111.199.126
www.kafacco 86400 IN A 212.111.199.126
proxy 86400 IN CNAME @
www2 86400 IN A 80.92.224.11
www.spr.mdk 86400 IN A 212.111.199.126
www.finance 86400 IN A 212.111.199.126
www.iktportal 86400 IN A 212.111.199.126
www.tpv.mdk 86400 IN A 212.111.199.126
iktrd 86400 IN A 212.111.199.98
mail2 86400 IN A 212.111.199.106
www.ikg.mdk 86400 IN A 212.111.199.126
www.cru 86400 IN A 212.111.199.126
www.cdp.mdk 86400 IN A 212.111.199.126
www.profcom 86400 IN A 212.111.199.126
www.banking 86400 IN A 212.111.199.126
www.ikt2school 86400 IN A 212.111.199.126
www.tcz.mdk 86400 IN A 212.111.199.126
mail 86400 IN A 212.111.199.106
e-ksit 86400 IN A 212.111.199.126
services 86400 IN A 212.111.199.46
kmib 86400 IN A 212.111.199.126
devm 86400 IN A 212.111.199.126
conf 86400 IN A 212.111.199.104
www.tpm.mdk 86400 IN A 212.111.199.126
kafacco 86400 IN A 212.111.199.126
www.teach.dep 86400 IN A 212.111.199.126
www3 86400 IN A 195.5.51.183
www.mmv.mdk 86400 IN A 212.111.199.126
1152783001.live-mail 86400 IN CNAME domains.live.com.
www.library 86400 IN CNAME library
www.okd.mdk 86400 IN A 212.111.199.126
jes 86400 IN A 212.111.199.126
www.mbatourisme 86400 IN A 212.111.199.126
router 86400 IN CNAME @
www.fin 86400 IN A 212.111.199.126
www.ingek 86400 IN A 212.111.199.126
www.kphys 86400 IN A 212.111.199.126
ntsad 86400 IN A 212.111.199.126
www.meo 86400 IN A 212.111.199.126
www.ingec-metal 86400 IN A 212.111.199.126
www.vsr.mdk 86400 IN A 212.111.199.126
cru 86400 IN A 212.111.199.126
news 86400 IN CNAME @
ngrid 86400 IN A 212.111.199.123
www.repository 86400 IN A 212.111.199.126
www.mim 86400 IN A 212.111.199.126
2026233717.live-mail 86400 IN CNAME domains.live.com.
ed 86400 IN A 212.111.199.126
www.intdep 86400 IN A 212.111.199.126
mbatourisme 86400 IN A 212.111.199.126
www.fsf 86400 IN A 212.111.199.126
www.kafpn 86400 IN A 212.111.199.126
