@ 259200 IN SOA @ www 2010031210 28800 7200 86400 28800
@ 259200 IN NS dns
@ 259200 IN MX 10 mx1
@ 259200 IN A 202.118.176.2
@ 259200 IN TXT "v=spf1 ip4:202.118.176.10 ip4:202.118.176.9 ip4:202.118.176.6 -all"
artdesign 259200 IN CNAME home36
home181 259200 IN A 202.118.176.181
ssjs 259200 IN CNAME home0003
home201 259200 IN A 202.118.176.201
home202 259200 IN A 202.118.176.202
pxf 259200 IN CNAME home28
xyfz 259200 IN CNAME home28
fuhan 259200 IN CNAME zdkzll
ckkz 259200 IN CNAME home0003
techftp 259200 IN CNAME home31
srun 259200 IN CNAME home0036
jcjs 259200 IN CNAME home28
lxyjw 259200 IN CNAME home28
jwxk 259200 IN CNAME home20
youth 259200 IN CNAME home28
jxpg 259200 IN CNAME home0015
jxpj 259200 IN CNAME home28
heucice 259200 IN CNAME home28
bbs 259200 IN CNAME home66
heusei 259200 IN A 202.118.176.16
fs 259200 IN A 202.118.176.211
hxcs 259200 IN CNAME home0009
ndc 259200 IN CNAME home31
eie 259200 IN CNAME home28
xuebao 259200 IN CNAME home28
graduate 259200 IN A 202.118.182.100
rdgc 259200 IN CNAME home28
ofschina 259200 IN CNAME home28
lab805 259200 IN CNAME home28
gysj 259200 IN CNAME home36
uasn 259200 IN CNAME home28
gfsxxgl 259200 IN CNAME home28
sem 259200 IN CNAME home16
sstl 259200 IN CNAME home28
xzfx 259200 IN CNAME home28
dntj 259200 IN A 202.118.176.118
hrbeujysf 259200 IN CNAME home0009
dtexam 259200 IN CNAME home28
nicnew 259200 IN CNAME home28
itsapply 259200 IN CNAME home28
tools 259200 IN CNAME home46
gbxx 259200 IN CNAME home0003
m 259200 IN CNAME home0030
neirj 259200 IN CNAME home28
home0004 259200 IN A 202.118.176.29
wjgl 259200 IN CNAME home28
lgnt 259200 IN CNAME home166
jzgc 259200 IN CNAME home35
gbkh 259200 IN CNAME home28
rsa 259200 IN CNAME home28
sce202 259200 IN CNAME home28
kuawenhua 259200 IN CNAME home28
jxlx 259200 IN CNAME home36
jzhj 259200 IN CNAME zdkzll
dianqi 259200 IN CNAME home28
gx 259200 IN CNAME home0004
zhuye 259200 IN CNAME home46
cltc 259200 IN A 202.118.176.19
dxzc 259200 IN CNAME home28
kpzyz 259200 IN CNAME home28
hqwy 259200 IN CNAME home0009
50th 259200 IN CNAME home28
jysf 259200 IN CNAME home0009
crisis 259200 IN CNAME home28
physical-optics 259200 IN CNAME zdkzll
cstc 259200 IN CNAME home16
tdh 259200 IN CNAME home28
lxyjwb 259200 IN CNAME home28
rus 259200 IN CNAME home28
tuangou 259200 IN CNAME home0020
heu2011 259200 IN CNAME home28
slx 259200 IN CNAME home28
tel 259200 IN CNAME home28
xyzc 259200 IN CNAME home28
jiaodaihui 259200 IN CNAME home28
xyxx 259200 IN CNAME home0009
xyzh 259200 IN CNAME home28
prejdh 259200 IN CNAME home0009
wjyljkjs 259200 IN CNAME home36
