@ 7200 IN SOA hkd root.hkd 10110201 10800 1296000 604800 86400
@ 7200 IN NS hkd
@ 7200 IN A 202.118.201.1
@ 7200 IN MX 10 mail
xsda 7200 IN A 202.118.201.17
xjzx 7200 IN A 202.118.201.12
szjy 7200 IN A 202.118.201.17
reporter 7200 IN A 202.118.201.12
60 7200 IN A 202.118.192.144
jf 7200 IN A 202.118.201.113
hlgxb 7200 IN A 202.118.201.17
emc 7200 IN A 202.118.201.17
liankong 7200 IN A 202.118.201.12
vpn 7200 IN A 221.208.253.7
lib 7200 IN A 222.27.200.4
ml 7200 IN A 202.118.201.12
jwzx 7200 IN A 202.118.201.228
ievod 7200 IN A 202.118.201.10
qmgc 7200 IN A 202.118.201.17
www 7200 IN A 202.118.201.1
my 7200 IN A 202.118.201.90
mba 7200 IN A 202.118.201.12
ichsm2014 7200 IN A 202.118.201.12
staff 7200 IN A 202.118.201.12
mncmi 7200 IN A 202.118.201.32
mcm 7200 IN A 202.118.201.20
zyxw 7200 IN A 202.118.201.12
rc 7200 IN A 121.196.106.22
xsc 7200 IN A 202.118.201.12
xsg 7200 IN A 202.118.201.20
xsh 7200 IN A 202.118.201.17
ping 7200 IN A 202.118.201.10
kjygl 7200 IN A 202.118.201.17
dpstar 7200 IN A 202.118.201.90
sheying 7200 IN A 202.118.201.61
wsd 7200 IN A 202.118.201.20
zgts 7200 IN A 202.118.201.12
tv 7200 IN A 202.118.192.218
hospital 7200 IN A 202.118.201.20
rcwk 7200 IN A 202.118.201.20
xtb 7200 IN A 202.118.201.12
acm 7200 IN A 202.118.201.219
ffbm 7200 IN A 202.118.201.17
rcwx 7200 IN A 202.118.201.25
xww 7200 IN A 202.118.192.218
xq 7200 IN A 202.118.201.90
xyw 7200 IN A 202.118.192.218
ltx 7200 IN A 202.118.192.218
zs 7200 IN A 202.118.201.17
zt 7200 IN A 202.118.192.218
test 7200 IN A 202.118.201.12
ecar 7200 IN A 202.118.201.100
rjxh 7200 IN A 202.118.201.25
trpz 7200 IN A 202.118.192.3
hlgsjy 7200 IN A 202.118.201.12
vod2 7200 IN A 202.118.201.2
ids1 7200 IN A 202.118.201.88
nic 7200 IN A 202.118.201.12
stm 7200 IN A 202.118.201.12
www1 7200 IN A 202.118.201.12
www2 7200 IN A 202.118.201.17
stubook 7200 IN A 202.118.201.18
sus 7200 IN A 202.118.201.29
mail2 7200 IN A 202.118.201.27
kygl 7200 IN A 202.118.201.211
cusma 7200 IN A 202.118.201.12
uebao 7200 IN A 202.118.201.12
hkd 7200 IN A 202.118.192.2
iar 7200 IN A 202.118.201.12
wwwe 7200 IN A 202.118.201.1
software 7200 IN A 202.118.201.31
jhpt 7200 IN A 222.27.196.5
younth 7200 IN A 202.118.201.12
ruanjian 7200 IN A 202.118.201.19
dxsjt 7200 IN A 202.118.201.12
ids 7200 IN A 202.118.201.90
mail 7200 IN A 202.118.201.7
djxtk 7200 IN A 202.118.192.24
happ 7200 IN A 202.118.201.61
icama2015 7200 IN A 202.118.201.25
gym 7200 IN A 202.118.201.12
xfmf 7200 IN A 202.118.201.12
cmamt2007 7200 IN A 202.118.201.12
cj 7200 IN A 202.118.192.218
union 7200 IN A 202.118.201.37
weiquan 7200 IN A 202.118.201.12
xiaobao 7200 IN A 202.118.201.12
gczx 7200 IN A 202.118.201.28
student 7200 IN A 202.118.201.12
hlgdj 7200 IN A 202.118.201.12
gycg 7200 IN A 202.118.201.17
imp 7200 IN A 202.118.201.90
ioa 7200 IN A 202.118.201.34
gjyj 7200 IN A 202.118.201.20
vpn2 7200 IN A 222.171.23.10
gjxy 7200 IN A 202.118.201.17
xinxie 7200 IN A 202.118.201.19
tiyu 7200 IN A 202.118.201.20
isciia2010 7200 IN A 202.118.201.12
hustjt 7200 IN A 202.118.201.12
skgczx 7200 IN A 202.118.201.24
vod 7200 IN A 202.118.201.26
wlwh 7200 IN A 202.118.201.12
dqzyjh2014 7200 IN A 202.118.201.20
yyzy 7200 IN A 202.118.201.20
oa 7200 IN A 202.118.201.33
jxcg 7200 IN A 202.118.201.12
email 7200 IN A 202.118.201.7
jixie 7200 IN A 202.118.201.20
gaojiao 7200 IN A 202.118.201.17
jxcgj 7200 IN A 202.118.201.12
lab106 7200 IN A 202.118.201.12
fit2014 7200 IN A 202.118.201.12
jingsai 7200 IN A 202.118.201.20
zdzy 7200 IN A 202.118.201.12
job 7200 IN A 202.118.201.17
news 7200 IN A 202.118.201.9
eda 7200 IN A 202.118.201.25
ar 7200 IN A 202.118.201.108
cc 7200 IN A 202.118.201.108
cg 7200 IN A 222.27.192.113
jpk 7200 IN A 202.118.201.12
fpga 7200 IN A 202.118.201.20
portal 7200 IN A 202.118.201.101
eepi 7200 IN A 202.118.201.12
nezone 7200 IN A 202.118.201.12
ee 7200 IN A 202.118.201.12
dp 7200 IN A 202.118.201.17
dns 7200 IN CNAME hkd
fc 7200 IN A 202.118.201.108
en 7200 IN A 202.118.192.218
