@ 86400 IN SOA flau root.flau 2005072951 10800 3600 1209600 86400
@ 86400 IN NS flau
86400 IN NS kns.kornet.net.
@ 86400 IN MX 0 spam.uhs.ac.kr.
flau 86400 IN A 203.230.112.85
hiis 86400 IN A 203.230.112.145
home 86400 IN CNAME enterprise
river 86400 IN A 203.230.113.9
tiger 86400 IN A 203.230.113.25
blog 86400 IN A 203.230.112.144
misd 86400 IN A 203.230.113.50
health 86400 IN A 203.230.113.89
gwepki 86400 IN A 203.230.113.102
urban 86400 IN A 203.230.113.47
shiis 86400 IN A 203.230.112.79
hulcds 86400 IN A 203.230.114.5
hulvds 86400 IN A 203.230.114.4
cafe 86400 IN A 203.230.112.144
spam 86400 IN A 203.230.112.78
cms 86400 IN A 203.230.112.139
xfrm 86400 IN A 203.230.112.134
siphak 86400 IN A 203.230.112.69
enterprise 86400 IN A 203.230.112.100
breeze 86400 IN A 203.230.112.147
icas 86400 IN A 203.230.113.5
belami 86400 IN A 203.230.112.142
hulfis 86400 IN A 203.230.114.1
ris 86400 IN A 203.230.112.145
elearning 86400 IN A 203.230.112.90
mi 86400 IN A 203.230.112.166
hulmeta 86400 IN A 203.230.114.6
iportal 86400 IN A 203.230.112.154
mail 86400 IN A 203.230.113.15
mail 86400 IN MX 0 spam.uhs.ac.kr.
ftp 86400 IN CNAME flau
ghiis 86400 IN A 203.230.112.98
www 86400 IN A 203.230.112.88
localhost 86400 IN A 127.0.0.1
hulins 86400 IN A 203.230.114.2
hulmgs 86400 IN A 203.230.114.3
sso 86400 IN A 203.230.113.12
ctl 86400 IN A 203.230.112.88
ce 86400 IN A 218.155.85.43
ns 86400 IN A 203.230.112.85
portal 86400 IN A 203.230.112.144
m 86400 IN A 203.230.112.139
sun 86400 IN A 203.230.112.141
freyr 86400 IN A 203.230.112.30
gradu 86400 IN A 203.230.112.88
lms 86400 IN A 203.230.112.90
ilms 86400 IN A 203.230.112.90
mail2 86400 IN A 203.230.112.85
