@ 172800 IN SOA @ main 2015032401 86400 86400 604800 86400
@ 172800 IN NS ns.maxnet.ru.
172800 IN NS @
@ 172800 IN A 195.112.97.194
@ 172800 IN MX 10 @
prana 172800 IN A 217.15.201.145
philo 172800 IN CNAME web-iate
gw 172800 IN A 195.112.97.193
is 172800 IN CNAME web-iate
atomohod 172800 IN CNAME first
io-tips 172800 IN CNAME www-iate
fef 172800 IN CNAME web-iate
sbi 172800 IN CNAME www-iate
lib 172800 IN A 195.112.97.198
fen 172800 IN CNAME web-iate
mv 172800 IN CNAME web-iate
www 172800 IN CNAME www-iate
np 172800 IN CNAME web-iate
ns 172800 IN A 195.112.97.194
micro 172800 IN CNAME wwwmix
pm 172800 IN CNAME web-iate
w3 172800 IN CNAME www-iate
www-new 172800 IN CNAME www-iate
train 172800 IN A 217.15.201.131
scilib 172800 IN A 195.112.97.198
td 172800 IN CNAME www-iate
fen2 172800 IN CNAME wwwmix
smtp 172800 IN A 195.112.97.194
damdid2015 172800 IN A 217.15.201.138
phys 172800 IN CNAME web-iate
redu 172800 IN CNAME web-iate
cisco 172800 IN CNAME web-iate
vm 172800 IN CNAME wwwmix
strategy2020 172800 IN A 217.15.201.137
ftp.ksst 172800 IN CNAME vt-gw
soft 172800 IN A 217.15.201.151
tel 172800 IN CNAME www-iate
teacher 172800 IN CNAME www-iate
idc 172800 IN CNAME wwwmix
zabbix 172800 IN A 217.15.201.145
ftp 172800 IN CNAME first
localhost 172800 IN A 127.0.0.1
diana 172800 IN A 217.15.201.132
vt-gw 172800 IN A 217.15.201.136
dubai 172800 IN CNAME main
www1 172800 IN CNAME first
www2 172800 IN CNAME www-iate
www3 172800 IN CNAME www-iate
cnkm 172800 IN CNAME web-iate
journal 172800 IN CNAME web-iate
www.ksst 172800 IN CNAME vt-gw
bgd 172800 IN CNAME web-iate
thlab 172800 IN A 195.112.97.195
tqm 172800 IN CNAME web-iate
www.damdid2015 172800 IN A 217.15.201.138
bio 172800 IN CNAME web-iate
cave 172800 IN A 217.15.201.135
working-student 172800 IN CNAME wwwmix
asu 172800 IN CNAME web-iate
mail 172800 IN A 195.112.97.194
main 172800 IN A 195.112.97.194
psycho 172800 IN A 217.15.201.156
lannp 172800 IN CNAME web-iate
umk 172800 IN CNAME wwwmix
design 172800 IN CNAME web-iate
confsafety 172800 IN CNAME web-iate
iprana 172800 IN A 217.15.201.143
itlab 172800 IN CNAME www-iate
bgd2 172800 IN CNAME wwwmix
vypusk 172800 IN CNAME wwwmix
www-de 172800 IN CNAME wwwmix
sportclub 172800 IN CNAME web-iate
cit 172800 IN A 217.15.201.142
libres 172800 IN CNAME first
zenon 172800 IN CNAME diana
ts.ksst 172800 IN CNAME vt-gw
www-en 172800 IN CNAME wwwmix
web-iate 172800 IN A 195.112.97.195
admin1student 172800 IN CNAME wwwmix
icne 172800 IN CNAME web-iate
sigmacalc 172800 IN A 195.112.97.195
ksst 172800 IN CNAME vt-gw
web 172800 IN A 195.112.97.198
md_dynamics_torus 172800 IN CNAME web-iate
frompureheart 172800 IN CNAME phys
lotus1 172800 IN A 217.15.201.139
first 172800 IN A 217.15.201.140
medphys 172800 IN CNAME wwwmix
conferences 172800 IN CNAME www-iate
pop 172800 IN A 195.112.97.194
fcgb 172800 IN A 217.15.201.155
www-iate 172800 IN A 195.112.97.198
docs 172800 IN CNAME www-iate
job 172800 IN CNAME wwwmix
www2.ksst 172800 IN CNAME vt-gw
eco 172800 IN CNAME web-iate
psh 172800 IN CNAME psycho
wwwmix 172800 IN A 217.15.201.153
ef 172800 IN CNAME wwwmix
www-ru 172800 IN CNAME wwwmix
pwr3000 172800 IN CNAME wwwmix
