@ 14400 IN SOA ns1 hostmaster 2014111804 14400 3600 1209600 86400
@ 14400 IN MX 10 mail
14400 IN MX 10 webmail
@ 14400 IN TXT "v=spf1 a mx ip4:158.58.184.131 ~all"
@ 14400 IN A 158.58.184.131
@ 14400 IN NS ns1
14400 IN NS ns2
www.moshavereh 14400 IN A 158.58.184.131
smtp 14400 IN A 217.219.123.22
ftp 14400 IN A 158.58.184.131
ns2 14400 IN A 158.58.184.131
www 14400 IN A 158.58.184.131
localhost 14400 IN AAAA ::1
localhost 14400 IN A 127.0.0.1
mail 14400 IN A 217.219.123.22
pop 14400 IN A 217.219.123.22
jaf 14400 IN A 158.58.184.131
ns1 14400 IN A 158.58.184.131
moshavereh 14400 IN A 158.58.184.131
www.jaf 14400 IN A 158.58.184.131
