@ 86400 IN SOA dns.ictp.it. hostmaster.ictp.it. 2015062787 28800 7200 604800 86400
@ 86400 IN AFSDB 1 fs1
86400 IN AFSDB 1 fs2
@ 86400 IN MX 40 smtp.ictp.it.
86400 IN MX 40 smtp
86400 IN MX 50 smtp1
86400 IN MX 50 smtp2
@ 86400 IN NS dns.ictp.it.
86400 IN NS ns1.units.it.
86400 IN NS sv2.ictp.it.
@ 86400 IN A 140.105.33.170
@ 86400 IN TXT "v=spf1 ip4:140.105.16.52 ip4:140.105.16.51 ~all"
86400 IN TXT "google-site-verification=QGIvLYqXBvQnFZVYDBms0UX2x9bTDfH9XGEEsYvX0E0"
hp8g1-gghpub-1 86400 IN A 140.105.19.180
hp8g1-gghpub-2 86400 IN A 140.105.19.181
saml-test 86400 IN CNAME testbed
hp6-lb-b 86400 IN A 140.105.30.228
hp6-lb-d 86400 IN A 140.105.30.230
hp6-lb-h 86400 IN A 140.105.30.231
hpc-master.sissa 86400 IN A 140.105.16.91
mac-krizmancic 86400 IN A 140.105.35.100
ejds-2 86400 IN A 140.105.26.130
zope254-manage 86400 IN CNAME webmail
oldwebapp-2 86400 IN A 140.105.16.231
enterprise-test 86400 IN CNAME webmail
hp6-martin 86400 IN A 140.105.38.8
hp6-vespa 86400 IN A 140.105.38.18
m 86400 IN CNAME ictp2.mobify.me.
mac-fabsis2 86400 IN A 140.105.39.52
hp6-murenzi 86400 IN A 140.105.38.46
hp6-cm-20 86400 IN A 140.105.27.196
mac-prelazzi 86400 IN A 140.105.35.4
twas-old 86400 IN CNAME webmail
hp6-he-6 86400 IN A 140.105.29.80
pb-luzzatto 86400 IN A 140.105.30.92
openday 86400 IN CNAME webmail
unix1 86400 IN CNAME webmail
vpnzanella 86400 IN A 140.105.26.13
unix2 86400 IN CNAME webmail
mac-grant 86400 IN A 140.105.38.11
videoconf-1 86400 IN A 140.105.47.17
videoconf-2 86400 IN A 140.105.47.18
hp6-ravalic 86400 IN A 140.105.38.3
gpu-server 86400 IN A 140.105.47.25
cmsp 86400 IN CNAME webmail
nb9-19-10 86400 IN A 140.105.19.10
nb9-19-11 86400 IN A 140.105.19.11
nb9-19-12 86400 IN A 140.105.19.12
nb-ratosa2 86400 IN A 140.105.26.75
nb9-19-14 86400 IN A 140.105.19.14
kerberos-1 86400 IN CNAME fs1
kerberos-2 86400 IN CNAME fs2
nb9-19-17 86400 IN A 140.105.19.17
nb9-19-18 86400 IN A 140.105.19.18
nb9-19-19 86400 IN A 140.105.19.19
nb9-19-21 86400 IN A 140.105.19.21
nb9-19-22 86400 IN A 140.105.19.22
nb9-19-23 86400 IN A 140.105.19.23
nb9-19-24 86400 IN A 140.105.19.24
nb9-19-25 86400 IN A 140.105.19.25
nb9-19-26 86400 IN A 140.105.19.26
nb9-19-27 86400 IN A 140.105.19.27
nb9-19-28 86400 IN A 140.105.19.28
nb9-19-29 86400 IN A 140.105.19.29
nb9-19-31 86400 IN A 140.105.19.31
nb9-19-32 86400 IN A 140.105.19.32
mac-triolo 86400 IN A 140.105.35.48
nb9-19-34 86400 IN A 140.105.19.34
nb9-19-35 86400 IN A 140.105.19.35
nb9-19-36 86400 IN A 140.105.19.36
nb9-19-37 86400 IN A 140.105.19.37
nb9-19-38 86400 IN A 140.105.19.38
nb9-19-39 86400 IN A 140.105.19.39
nb9-19-41 86400 IN A 140.105.19.41
nb9-19-42 86400 IN A 140.105.19.42
nb9-19-43 86400 IN A 140.105.19.43
nb9-19-44 86400 IN A 140.105.19.44
nb9-19-45 86400 IN A 140.105.19.45
nb9-19-46 86400 IN A 140.105.19.46
nb9-19-47 86400 IN A 140.105.19.47
nb9-19-48 86400 IN A 140.105.19.48
nb9-19-49 86400 IN A 140.105.19.49
nb9-19-51 86400 IN A 140.105.19.51
nb9-19-52 86400 IN A 140.105.19.52
nb9-19-53 86400 IN A 140.105.19.53
hp6-he-10 86400 IN A 140.105.29.12
hp6-he-11 86400 IN A 140.105.29.92
hp6-he-12 86400 IN A 140.105.29.82
hp6-he-13 86400 IN A 140.105.29.13
hp6-he-14 86400 IN A 140.105.29.96
nb9-19-59 86400 IN A 140.105.19.59
nb9-19-61 86400 IN A 140.105.19.61
nb9-19-62 86400 IN A 140.105.19.62
hp83-cm-10 86400 IN A 140.105.27.230
hp83-cm-11 86400 IN A 140.105.27.217
hp83-cm-12 86400 IN A 140.105.27.203
hp83-cm-13 86400 IN A 140.105.27.225
hp83-cm-14 86400 IN A 140.105.27.233
hp83-cm-15 86400 IN A 140.105.27.247
hp83-cm-16 86400 IN A 140.105.27.234
hp83-cm-17 86400 IN A 140.105.27.235
hp83-cm-18 86400 IN A 140.105.27.134
hp83-cm-19 86400 IN A 140.105.27.236
hp83-cm-21 86400 IN A 140.105.27.131
hp83-cm-22 86400 IN A 140.105.27.197
hp83-cm-23 86400 IN A 140.105.27.237
hp83-cm-24 86400 IN A 140.105.27.239
hp83-cm-25 86400 IN A 140.105.27.238
nb9-19-79 86400 IN A 140.105.19.79
nb9-19-81 86400 IN A 140.105.19.81
nb9-19-82 86400 IN A 140.105.19.82
nb9-19-83 86400 IN A 140.105.19.83
nb9-19-84 86400 IN A 140.105.19.84
nb9-19-85 86400 IN A 140.105.19.85
nb9-19-86 86400 IN A 140.105.19.86
nb9-19-87 86400 IN A 140.105.19.87
nb9-19-88 86400 IN A 140.105.19.88
nb9-19-89 86400 IN A 140.105.19.89
nb9-19-91 86400 IN A 140.105.19.91
nb9-19-92 86400 IN A 140.105.19.92
nb9-19-93 86400 IN A 140.105.19.93
nb9-19-94 86400 IN A 140.105.19.94
nb9-19-95 86400 IN A 140.105.19.95
mac-infopoint 86400 IN A 140.105.35.123
nb9-19-97 86400 IN A 140.105.19.97
nb9-19-98 86400 IN A 140.105.19.98
nb9-19-99 86400 IN A 140.105.19.99
nb-sabrina 86400 IN A 140.105.26.57
nb-personnel 86400 IN A 140.105.37.59
nb8-18-3 86400 IN A 140.105.18.3
mac-ricci 86400 IN A 140.105.22.18
pb-flego-old 86400 IN A 140.105.35.142
mac-mail-off 86400 IN A 140.105.22.32
ictp-doc2 86400 IN CNAME webmail
ictp-doc3 86400 IN CNAME webmail
geophys-3 86400 IN A 140.105.23.202
geophys-4 86400 IN A 140.105.23.203
pc-pprint1 86400 IN A 140.105.35.111
oldlxlib2 86400 IN A 140.105.16.139
hp6-kareith 86400 IN A 140.105.38.20
mac-beltramini 86400 IN A 140.105.22.10
signage-agh-entr2 86400 IN A 140.105.19.176
vpn-scandolo 86400 IN A 140.105.27.10
mac-zarotti 86400 IN A 140.105.35.79
pb-rapetti 86400 IN A 140.105.40.227
mac-bognolo 86400 IN A 140.105.35.13
ictp-docu 86400 IN CNAME webmail
mac-venier 86400 IN A 140.105.22.23
mac-emili 86400 IN A 140.105.22.25
mac-isten2 86400 IN A 140.105.38.14
vpn-mfrancio 86400 IN A 140.105.35.124
hp6-mlab-1 86400 IN A 140.105.17.191
hp6-mlab-2 86400 IN A 140.105.17.192
hp6-mlab-3 86400 IN A 140.105.17.203
