@ 3600 IN SOA ns1.net4india.com. hostmaster.net4india.com. 2014090101 10800 3600 604800 3600
@ 3600 IN NS ns1.net4india.com.
3600 IN NS ns2.net4india.com.
@ 3600 IN MX 10 c.mxscan.net4india.com.
@ 3600 IN A 113.30.248.56
www.agl 100 IN A 113.30.248.56
www.agp 100 IN A 113.30.248.56
www.cse 100 IN A 113.30.248.56
ns1 300 IN A 113.30.248.56
ns2 300 IN A 113.30.248.56
www.me 100 IN A 113.30.248.56
www.ece 100 IN A 113.30.248.56
www.fme 100 IN A 113.30.248.56
www.cve 100 IN A 113.30.248.56
www.ms 100 IN A 113.30.248.56
www.mece 100 IN A 113.30.248.56
www.ac 100 IN A 113.30.248.56
www.ese 100 IN A 113.30.248.56
www.hss 100 IN A 113.30.248.56
www.pe 100 IN A 113.30.248.56
www.am 100 IN A 113.30.248.56
cc 100 IN A 113.30.248.56
www.ap 100 IN A 113.30.248.56
mme 100 IN A 113.30.248.56
mece 100 IN A 113.30.248.56
www.cc 100 IN A 113.30.248.56
agl 100 IN A 113.30.248.56
www.ce 100 IN A 113.30.248.56
agp 100 IN A 113.30.248.56
cse 3600 IN A 113.30.248.56
smtpauth 3600 IN CNAME smtpauth.bizmail.net4india.com.
pop 3600 IN CNAME mail
ms 100 IN A 113.30.248.56
mail 3600 IN A 202.71.131.224
ac 100 IN A 113.30.248.56
www 3600 IN A 113.30.248.56
www.ee 100 IN A 113.30.248.56
ece 100 IN A 113.30.248.56
am 100 IN A 113.30.248.56
ap 100 IN A 113.30.248.56
fme 100 IN A 113.30.248.56
me 100 IN A 113.30.248.56
cve 100 IN A 113.30.248.56
ce 100 IN A 113.30.248.56
ese 100 IN A 113.30.248.56
hss 100 IN A 113.30.248.56
server 3600 IN A 113.30.248.56
www.mme 100 IN A 113.30.248.56
ee 100 IN A 113.30.248.56
smtp 3600 IN CNAME bizsmtp.net4india.com.
Demo 3600 IN A 113.30.248.56
pe 100 IN A 113.30.248.56
