@ 259200 IN SOA ns1 admin 2011112107 10800 2400 1209600 86400
@ 259200 IN MX 10 webmail
@ 259200 IN TXT "v=spf1 mx ip4:41.67.44.54 ~all"
@ 259200 IN A 41.67.44.12
@ 259200 IN NS ns1
tamam 259200 IN A 41.67.44.12
reg 259200 IN A 41.67.44.21
hrsite 259200 IN A 41.67.44.12
webmail 259200 IN A 41.67.44.54
arabic 259200 IN A 41.67.44.12
sciences 259200 IN A 41.67.44.12
medicine 259200 IN A 41.67.44.12
computer 259200 IN A 41.67.44.12
res 259200 IN A 41.67.44.21
islamicstudies 259200 IN A 41.67.44.12
research 259200 IN A 41.67.44.12
labrotary 259200 IN A 41.67.44.12
hr 259200 IN A 41.67.44.21
graduate 259200 IN A 41.67.44.12
amsa 259200 IN A 41.67.44.12
itcenter 259200 IN A 41.67.44.12
pharmcy 259200 IN A 41.67.44.12
admission 259200 IN A 41.67.44.12
shariea 259200 IN A 41.67.44.12
exams 259200 IN A 41.67.44.12
engineering 259200 IN A 41.67.44.12
ns1 259200 IN A 41.67.44.16
metals 259200 IN A 41.67.44.12
lib 259200 IN A 41.67.44.12
issc 259200 IN A 41.67.44.12
dimarsi 259200 IN A 41.67.44.12
alhars 259200 IN A 41.67.44.12
aic 259200 IN A 41.67.44.12
education 259200 IN A 41.67.44.12
students 259200 IN A 41.67.44.12
www 259200 IN A 41.67.44.12
arts 259200 IN A 41.67.44.12
executiveoffice 259200 IN A 41.67.44.12
koha 259200 IN A 41.67.44.43
opensource 259200 IN A 41.67.44.42
women 259200 IN A 41.67.44.12
ecnomics 259200 IN A 41.67.44.12
alharfalarabi 259200 IN A 41.67.44.12
nursing 259200 IN A 41.67.44.12
communication 259200 IN A 41.67.44.12
oral 259200 IN A 41.67.44.12
