@ 86400 IN SOA bidai postmaster 2015032501 10800 1800 360000 86400
@ 86400 IN MX 10 bidai
@ 86400 IN NS bidai
86400 IN NS b2
b250 86400 IN A 202.209.189.250
mucha 86400 IN A 202.209.189.141
bidai 86400 IN A 202.209.189.1
b38 86400 IN A 202.209.189.38
b40 86400 IN A 202.209.189.40
b170 86400 IN A 202.209.189.170
lib 86400 IN A 202.209.189.82
b190 86400 IN A 202.209.189.190
b65 86400 IN A 202.209.189.65
b50 86400 IN A 202.209.189.50
b201 86400 IN A 202.209.189.201
b180 86400 IN A 202.209.189.180
b100 86400 IN A 202.209.189.100
b101 86400 IN A 202.209.189.101
b102 86400 IN A 202.209.189.102
b103 86400 IN A 202.209.189.103
b104 86400 IN A 202.209.189.104
b105 86400 IN A 202.209.189.105
b106 86400 IN A 202.209.189.106
b107 86400 IN A 202.209.189.107
b108 86400 IN A 202.209.189.108
b109 86400 IN A 202.209.189.109
b111 86400 IN A 202.209.189.111
b112 86400 IN A 202.209.189.112
b113 86400 IN A 202.209.189.113
b114 86400 IN A 202.209.189.114
b115 86400 IN A 202.209.189.115
b116 86400 IN A 202.209.189.116
b117 86400 IN A 202.209.189.117
b118 86400 IN A 202.209.189.118
b119 86400 IN A 202.209.189.119
b121 86400 IN A 202.209.189.121
b122 86400 IN A 202.209.189.122
b123 86400 IN A 202.209.189.123
b124 86400 IN A 202.209.189.124
b125 86400 IN A 202.209.189.125
b126 86400 IN A 202.209.189.126
b127 86400 IN A 202.209.189.127
b128 86400 IN A 202.209.189.128
b129 86400 IN A 202.209.189.129
b131 86400 IN A 202.209.189.131
b132 86400 IN A 202.209.189.132
b133 86400 IN A 202.209.189.133
b134 86400 IN A 202.209.189.134
b135 86400 IN A 202.209.189.135
b136 86400 IN A 202.209.189.136
b137 86400 IN A 202.209.189.137
b138 86400 IN A 202.209.189.138
b139 86400 IN A 202.209.189.139
b142 86400 IN A 202.209.189.142
b143 86400 IN A 202.209.189.143
b144 86400 IN A 202.209.189.144
b145 86400 IN A 202.209.189.145
b146 86400 IN A 202.209.189.146
b147 86400 IN A 202.209.189.147
b148 86400 IN A 202.209.189.148
b149 86400 IN A 202.209.189.149
b151 86400 IN A 202.209.189.151
