@ 86400 IN SOA ns2 postmaster 2014011137 28800 7200 1209600 86400
@ 86400 IN NS ns1
86400 IN NS ns2
@ 3600 IN A 185.11.89.10
@ 3600 IN MX 10 mail
tsc 3600 IN A 185.11.89.11
s-erfani 3600 IN A 185.83.208.202
ns1 3600 IN A 185.11.89.23
ns2 3600 IN A 185.11.89.12
ns3 3600 IN A 185.11.89.11
oeec 3600 IN A 185.11.89.11
salam 3600 IN A 185.11.89.11
uko 3600 IN A 185.11.89.9
sh-kashan 3600 IN A 185.93.208.202
learning 3600 IN A 185.11.89.11
cms 3600 IN CNAME ns2
culture 3600 IN A 185.11.89.11
kloxo 3600 IN A 185.11.89.11
energym 3600 IN A 185.83.208.202
jnsm 3600 IN A 185.83.208.202
energy 3600 IN A 185.83.208.202
goli 3600 IN A 185.11.89.11
cms1 3600 IN A 185.11.89.17
turbine 3600 IN A 185.11.89.27
ads 3600 IN A 185.11.89.11
nahad 3600 IN A 185.11.89.11
* 3600 IN CNAME webserver
cloud 3600 IN A 185.11.89.25
register 3600 IN A 185.11.89.5
grad 3600 IN A 185.11.89.3
webserver 3600 IN A 185.11.89.10
deej 3600 IN A 185.83.208.202
scj 3600 IN A 185.83.208.202
conferences2012 3600 IN A 185.11.89.11
stumail 3600 IN A 185.11.89.3
rezvani 3600 IN A 185.11.89.11
roshd 3600 IN A 185.50.38.39
profs 3600 IN A 185.11.89.6
cluk 3600 IN A 185.11.89.11
rsm 3600 IN A 185.83.208.202
sace 3600 IN A 185.11.89.3
lib 3600 IN A 185.11.89.14
mir 3600 IN A 79.175.172.36
ijmc 3600 IN A 79.175.172.36
setadtel 3600 IN A 185.11.89.11
ijmcm 3600 IN A 185.83.208.202
mail 3600 IN A 185.11.89.22
fcci2012 3600 IN A 185.11.89.11
salamat 3600 IN A 185.11.89.11
self 3600 IN A 185.11.89.19
dlbm 3600 IN A 185.11.89.30
karafarini 3600 IN A 185.11.89.11
staff 3600 IN A 185.11.89.3
microturbine 3600 IN A 185.11.89.11
dara 3600 IN A 185.11.89.13
std 3600 IN A 185.11.89.3
s-hadith 3600 IN A 185.83.208.202
jns 3600 IN A 79.173.172.36
www 3600 IN CNAME webserver
ce 3600 IN A 185.11.89.11
7cec 3600 IN A 185.11.89.11
hpc 3600 IN A 185.11.89.11
shahed 3600 IN A 185.11.89.11
alumni 3600 IN CNAME ns2
utl 3600 IN A 185.11.89.11
mozdianfard 3600 IN A 185.11.89.11
hejazi 3600 IN A 185.11.89.11
stu 3600 IN CNAME ns2
carpet 3600 IN A 185.11.89.11
jias 3600 IN A 185.83.208.202
daricheh 3600 IN A 185.11.89.11
mdr 3600 IN A 185.11.89.30
nava 3600 IN A 185.11.89.16
shohada 3600 IN A 185.11.89.11
ftpcenter 3600 IN A 185.11.89.11
ghanbari 3600 IN A 185.11.89.11
yoosofan 3600 IN A 185.11.89.11
