@ 3600 IN SOA server1 admin 2013081827 3600 1800 1296000 3600
@ 3600 IN TXT "v=spf1 include:mail.kaums.ac.ir include:kaums.ac.ir ip4:37.255.132.0/24 ~all"
@ 3600 IN NS server1
3600 IN NS server3
@ 3600 IN MX 10 mail
@ 3600 IN A 37.255.132.140
vrate 3600 IN A 10.130.249.21
azmoon.gozinesh 3600 IN A 37.255.132.132
foodsafe 3600 IN A 37.255.132.140
www.aranbidgol 3600 IN A 37.255.132.140
*.resume 3600 IN A 195.146.34.51
eprints 3600 IN A 37.255.132.142
health 3600 IN A 37.255.132.140
ehr 3600 IN A 10.130.249.13
mokatebat 3600 IN A 37.255.132.140
paramedicine 3600 IN A 37.255.132.140
ib 3600 IN A 37.255.132.140
trc 3600 IN A 37.255.132.138
bnmd 3600 IN A 37.255.132.140
hr 3600 IN A 37.255.132.140
nahad 3600 IN A 37.255.132.140
transport 3600 IN A 10.130.249.14
www.kargarnejad 3600 IN A 37.255.132.140
www.sanjesh 3600 IN A 37.255.132.131
adoroodgar 3600 IN A 37.255.132.140
webda 3600 IN A 37.255.132.140
nobat 3600 IN A 172.16.0.42
masudialavi 3600 IN A 37.255.132.140
peygiri 3600 IN A 37.255.132.140
Asgharzadeh 3600 IN A 37.255.132.140
www.naghavi 3600 IN A 37.255.132.140
heart 3600 IN A 37.255.132.140
itsm 3600 IN A 37.255.132.140
shekayat 3600 IN A 37.255.132.140
amoozesh 3600 IN A 10.130.249.9
fdo 3600 IN A 37.255.132.140
emp 3600 IN A 10.130.249.11
sepas 3600 IN A 37.255.132.140
ems 3600 IN A 37.255.132.140
adrc 3600 IN A 37.255.132.140
financial 3600 IN A 10.130.249.17
geriatriccongress 3600 IN A 37.255.132.138
afazel 3600 IN A 37.255.132.140
vice1 3600 IN A 37.255.132.138
www.healthf 3600 IN A 37.255.132.140
aghajani 3600 IN A 37.255.132.140
www.gse 3600 IN A 37.255.132.140
pr 3600 IN A 37.255.132.138
cdent 3600 IN A 172.16.0.26
sdh 3600 IN A 37.255.132.140
mohseni 3600 IN A 37.255.132.140
naghavi 3600 IN A 37.255.132.140
staff 3600 IN A 37.255.132.138
www.en 3600 IN A 37.255.132.140
basij 3600 IN A 37.255.132.138
omidi 3600 IN A 37.255.132.140
logistics 3600 IN A 37.255.132.140
www.heart 3600 IN A 37.255.132.140
account 3600 IN A 37.255.132.140
asatid 3600 IN A 37.255.132.138
nmsjournal 3600 IN A 5.79.65.42
hamidsaberi 3600 IN A 37.255.132.140
basijmd 3600 IN A 37.255.132.140
gozinesh 3600 IN A 37.255.132.140
centerlib 3600 IN A 10.130.249.7
afshar 3600 IN A 37.255.132.140
moosavi 3600 IN A 37.255.132.140
se 3600 IN A 37.255.132.140
kargarnejadhis 3600 IN A 10.130.249.30
beheshti 3600 IN A 37.255.132.140
pishnahadat 3600 IN A 37.255.132.140
timex 3600 IN A 172.16.0.51
