@ 3600 IN SOA ns1.lw-systems.de. admin.lw-systems.de. 2015021301 10800 3600 604800 3600
@ 3600 IN NS ns1.lw-systems.de.
3600 IN NS ns2.lw-systems.de.
@ 3600 IN A 195.202.49.140
@ 3600 IN MX 10 mx1.katho-nrw.de.
extranet 3600 IN A 195.202.49.137
backup 3600 IN A 195.202.49.157
virtlw 3600 IN A 195.202.49.139
webmail 3600 IN A 195.202.49.142
kfh01 3600 IN A 195.202.49.133
kfh02 3600 IN A 195.202.49.139
kfh03 3600 IN A 195.202.49.140
kfh04 3600 IN A 195.202.49.136
kfh05 3600 IN A 195.202.49.141
kfh06 3600 IN A 195.202.49.156
kfh07 3600 IN A 195.202.49.157
kfh08 3600 IN A 195.202.49.158
kfh09 3600 IN A 195.202.49.142
comserver 3600 IN A 195.202.49.129
monitor 3600 IN A 195.202.49.157
ww 3600 IN A 195.202.49.154
* 3600 IN A 195.202.49.138
verwaltung 3600 IN A 195.202.49.158
groupware 3600 IN A 195.202.49.156
chat 3600 IN A 195.202.49.141
mail 3600 IN A 195.202.49.140
login 3600 IN A 195.202.49.139
kfhspam 3600 IN A 195.202.49.132
kfhnw-preview 3600 IN A 195.202.49.138
ns2 3600 IN A 195.202.49.138
pop 3600 IN A 195.202.49.140
www 3600 IN A 195.202.49.154
localhost 3600 IN A 127.0.0.1
3600 IN A 195.202.49.138
ntp 3600 IN A 195.202.49.138
info 3600 IN A 195.202.49.138
forum 3600 IN A 195.202.49.141
proxy 3600 IN A 195.202.49.139
ns 3600 IN A 195.202.49.138
bibliothek 3600 IN A 195.202.49.136
student 3600 IN A 195.202.49.142
gw2 3600 IN A 195.202.49.155
smtp 3600 IN A 195.202.49.140
