@ 86400 IN SOA ns2 root 2012122917 3600 900 604800 3600
@ 86400 IN NS ns1
86400 IN NS ns2
86400 IN NS ns3
@ 86400 IN A 194.27.51.11
batidil 86400 IN A 194.27.51.11
kdhb 86400 IN A 194.27.51.11
www.hastane 86400 IN A 194.27.51.11
felsefe 86400 IN A 194.27.51.11
kizilirmak 86400 IN A 194.27.51.11
aktuerya 86400 IN A 194.27.51.11
personel-mail.kku.edu.tr 86400 IN A 194.27.51.26
iibf 86400 IN A 194.27.51.11
*.onelog 86400 IN A 194.27.51.6
wifi 86400 IN A 194.27.51.19
kkuhm 86400 IN A 194.27.51.11
obs 86400 IN A 193.255.242.19
enstitu 86400 IN A 194.27.51.3
fbe 86400 IN A 194.27.51.11
dogudil 86400 IN A 194.27.51.11
karsilastirmaliedebiyat 86400 IN A 194.27.51.11
sks 86400 IN A 194.27.51.11
makine 86400 IN A 194.27.51.11
kmy 86400 IN A 194.27.51.11
obs.kku.edu.tr 86400 IN A 193.255.242.19
kuzemsanal 86400 IN A 193.255.242.11
bidb 86400 IN A 194.27.51.11
egtbilim 86400 IN A 194.27.51.11
bedenegt 86400 IN A 194.27.51.11
fef 86400 IN A 194.27.51.11
sbe 86400 IN A 194.27.51.11
isletme 86400 IN A 194.27.51.11
kddb 86400 IN A 193.255.242.7
eob 86400 IN A 194.27.51.11
istatistik 86400 IN A 194.27.51.11
egitim 86400 IN A 194.27.51.11
tekmer 86400 IN A 194.27.51.11
kuzem 86400 IN A 194.27.51.12
grafik 86400 IN A 194.27.51.11
www 86400 IN A 194.27.51.11
kuzemue 86400 IN A 193.255.242.21
mezun 86400 IN A 194.27.51.11
ogrmail.kku.edu.tr 86400 IN A 194.27.51.27
besyo 86400 IN A 194.27.51.11
orhan 86400 IN A 194.27.51.11
druam 86400 IN A 194.27.51.11
ogrmail 86400 IN A 194.27.51.27
194.27.51.3 86400 IN PTR enstitu.kku.edu.tr
