@ 3600 IN SOA ns3.hoster.kg. help.hoster.kg. 2011012707 10800 3600 604800 86400
@ 3600 IN MX 10 mail
3600 IN MX 20 mail
@ 3600 IN TXT "v=spf1 ip4:85.115.208.131 a mx ~all"
@ 3600 IN NS ns3.hoster.kg.
3600 IN NS ns4.hoster.kg.
@ 3600 IN A 176.126.164.16
*.kstu.kg 3600 IN A 176.126.164.16
www.ikimf 3600 IN A 176.126.164.14
food-center 3600 IN A 176.126.164.16
dppk 3600 IN A 176.126.164.16
www.ivt 3600 IN A 176.126.164.14
www.food-center 3600 IN A 176.126.164.16
mechanica 3600 IN A 176.126.164.16
conference 3600 IN A 176.126.164.14
www.air 3600 IN A 176.126.164.14
www.mpi 3600 IN A 176.126.164.14
www.pocs 3600 IN A 176.126.164.16
*.en 3600 IN A 176.126.164.16
www.engtmp 3600 IN A 176.126.164.16
moodle 3600 IN A 176.126.164.16
engtmp 3600 IN A 176.126.164.16
pocs 3600 IN A 176.126.164.16
* 3600 IN A 176.126.164.16
pop 3600 IN A 176.126.164.16
www.moodle 3600 IN A 176.126.164.16
pmi 3600 IN A 176.126.164.14
raspisanie 3600 IN A 176.126.164.14
ikimf 3600 IN A 176.126.164.14
foodcenter 3600 IN A 176.126.164.16
mail 3600 IN A 176.126.164.16
www.kgti 3600 IN A 176.126.164.14
www.conference 3600 IN A 176.126.164.14
iub 3600 IN A 176.126.164.16
eng 3600 IN A 176.126.164.16
wp 3600 IN A 176.126.164.14
www.test 3600 IN A 176.126.164.16
avn 3600 IN A 178.217.169.185
kgti 3600 IN A 176.126.164.14
test 3600 IN A 176.126.164.16
ftp 3600 IN A 176.126.164.16
www.raspisanie 3600 IN A 176.126.164.14
www.se 3600 IN A 176.126.164.14
www.foodcenter 3600 IN A 176.126.164.16
www 3600 IN A 176.126.164.14
www.pk 3600 IN A 176.126.164.16
ivt 3600 IN A 176.126.164.14
air 3600 IN A 176.126.164.14
www.mechanica 3600 IN A 176.126.164.16
mpi 3600 IN A 176.126.164.14
www.en 3600 IN A 176.126.164.16
pk 3600 IN A 176.126.164.16
www.flan 3600 IN A 176.126.164.14
smtp 3600 IN A 176.126.164.16
www.demo 3600 IN A 176.126.164.16
www.iub 3600 IN A 176.126.164.16
se 3600 IN A 176.126.164.14
www.pmi 3600 IN A 176.126.164.14
flan 3600 IN A 176.126.164.14
en 3600 IN A 176.126.164.16
www.dppk 3600 IN A 176.126.164.16
demo 3600 IN A 176.126.164.16
www.eng 3600 IN A 176.126.164.16
