@ 86400 IN SOA dns hostmaster 2015042302 7200 3600 7200 600
@ 86400 IN MX 10 mailin1
86400 IN MX 10 mailin2
@ 86400 IN NS dns
86400 IN NS ns2
@ 86400 IN TXT "v=spf1  mx ip4:193.170.129.210 ip4:193.170.129.211 ip4:193.170.129.212 ip4:193.170.129.213 ip4:193.170.129.225 ip4:193.170.129.227 -all"
@ 86400 IN A 193.170.128.177
r-vlan10 86400 IN A 193.170.128.161
r-vlan11 86400 IN CNAME sw1-core
r-vlan13 86400 IN A 193.170.190.129
r-vlan14 86400 IN A 193.170.190.193
r-vlan15 86400 IN A 193.170.129.33
r-vlan16 86400 IN A 193.170.129.65
r-vlan17 86400 IN A 193.170.128.193
s-file1 86400 IN A 193.170.53.15
r-vlan19 86400 IN A 193.170.128.225
s-file3 86400 IN A 193.170.53.17
w-br21-032a 86400 IN A 193.170.191.67
s-dhcp-v6 86400 IN AAAA 2001:628:20d0:10::68
monitor 86400 IN CNAME comsys-info
r-vlan47 86400 IN A 192.168.247.1
institut1 86400 IN CNAME s-www1
kug100-010 86400 IN A 193.170.100.10
kug100-011 86400 IN A 193.170.100.11
r-vlan55 86400 IN A 192.168.248.1
uu-rk-wlan-100-224 86400 IN A 193.170.100.224
kugwm55 86400 IN A 193.170.129.55
r-vlan60 86400 IN A 193.170.191.129
uu131-162 86400 IN A 193.170.131.162
r-vlan62 86400 IN A 193.170.131.97
kug100-022 86400 IN A 193.170.100.22
kug100-024 86400 IN A 193.170.100.24
kug100-026 86400 IN A 193.170.100.26
kug100-027 86400 IN A 193.170.100.27
kug100-028 86400 IN A 193.170.100.28
kug100-029 86400 IN A 193.170.100.29
kug100-032 86400 IN A 193.170.100.32
kug100-033 86400 IN A 193.170.100.33
kug100-035 86400 IN A 193.170.100.35
kug100-036 86400 IN A 193.170.100.36
mg102 86400 IN A 193.170.131.102
kug100-038 86400 IN A 193.170.100.38
kug100-040 86400 IN A 193.170.100.40
kug100-041 86400 IN A 193.170.100.41
kug100-042 86400 IN A 193.170.100.42
kug100-043 86400 IN A 193.170.100.43
kug100-044 86400 IN A 193.170.100.44
kug100-045 86400 IN A 193.170.100.45
kug100-046 86400 IN A 193.170.100.46
mg112 86400 IN A 193.170.131.112
mg113 86400 IN A 193.170.131.113
mg114 86400 IN A 193.170.131.114
mg116 86400 IN A 193.170.131.116
mg117 86400 IN A 193.170.131.117
mg118 86400 IN A 193.170.131.118
mg119 86400 IN A 193.170.131.119
mg121 86400 IN A 193.170.131.121
mg122 86400 IN A 193.170.131.122
mg123 86400 IN A 193.170.131.123
mg124 86400 IN A 193.170.131.124
kugwm091 86400 IN A 193.170.129.91
kug100-064 86400 IN A 193.170.100.64
kug100-065 86400 IN A 193.170.100.65
kug100-066 86400 IN A 193.170.100.66
kug100-067 86400 IN A 193.170.100.67
kug100-068 86400 IN A 193.170.100.68
kug100-069 86400 IN A 193.170.100.69
kug100-071 86400 IN A 193.170.100.71
kug100-072 86400 IN A 193.170.100.72
kug100-073 86400 IN A 193.170.100.73
kug100-074 86400 IN A 193.170.100.74
kug100-075 86400 IN A 193.170.100.75
kug100-076 86400 IN A 193.170.100.76
kug100-077 86400 IN A 193.170.100.77
kug100-078 86400 IN A 193.170.100.78
kug100-079 86400 IN A 193.170.100.79
kug100-081 86400 IN A 193.170.100.81
kug100-082 86400 IN A 193.170.100.82
ap08-mm 86400 IN A 192.168.248.18
kug100-084 86400 IN A 193.170.100.84
kug100-085 86400 IN A 193.170.100.85
kug100-086 86400 IN A 193.170.100.86
kug100-087 86400 IN A 193.170.100.87
kug100-088 86400 IN A 193.170.100.88
kug100-089 86400 IN A 193.170.100.89
kug100-091 86400 IN A 193.170.100.91
kug100-092 86400 IN A 193.170.100.92
kug100-103 86400 IN A 193.170.100.103
kug100-094 86400 IN A 193.170.100.94
kug100-095 86400 IN A 193.170.100.95
kug100-096 86400 IN A 193.170.100.96
kug100-097 86400 IN A 193.170.100.97
kug100-098 86400 IN A 193.170.100.98
kug100-099 86400 IN A 193.170.100.99
kug100-111 86400 IN A 193.170.100.111
kug100-112 86400 IN A 193.170.100.112
kug100-113 86400 IN A 193.170.100.113
kug100-114 86400 IN A 193.170.100.114
kug100-115 86400 IN A 193.170.100.115
kug100-116 86400 IN A 193.170.100.116
kug100-117 86400 IN A 193.170.100.117
kug100-118 86400 IN A 193.170.100.118
kug100-119 86400 IN A 193.170.100.119
kugmm243 86400 IN A 193.170.128.243
ap08-pm 86400 IN A 192.168.248.38
kugmm245 86400 IN A 193.170.128.245
kugmm246 86400 IN A 193.170.128.246
kugmm247 86400 IN A 193.170.128.247
mg182 86400 IN A 193.170.131.182
kugmm249 86400 IN A 193.170.128.249
kugbg220 86400 IN A 193.170.128.220
s-nsd1 86400 IN A 193.170.52.27
kugbg221 86400 IN A 193.170.128.221
ap08-rk 86400 IN A 192.168.248.58
tapmvo 86400 IN A 193.170.129.179
nx1-br19-sz 86400 IN A 193.170.190.2
info1 86400 IN A 193.170.128.175
uu53-001 86400 IN A 193.170.53.1
uu53-002 86400 IN A 193.170.53.2
habla 86400 IN A 193.170.131.195
blog.schubert 86400 IN CNAME schubert
uu101-002 86400 IN A 193.170.101.2
uu101-003 86400 IN A 193.170.101.3
r-vlan49 86400 IN A 192.168.49.1
bib4-iem 86400 IN A 193.170.191.163
retain 86400 IN CNAME s-rtn1
sw-ls18-115a 86400 IN A 193.170.190.9
s-idmdev1 86400 IN A 193.170.53.29
institut-oberschuetzen 86400 IN CNAME s-www1
sw-bg21-k10a 86400 IN A 193.170.190.117
vlan55-br21-hsrp-1 86400 IN A 193.170.129.2
dev2 86400 IN CNAME s-wwwdev2
mauerhofer 86400 IN A 193.170.130.191
r-vlan63 86400 IN A 193.170.131.161
r-vlan65 86400 IN A 193.170.131.193
s-gd-pg15 86400 IN A 192.168.152.29
r-vlan70 86400 IN CNAME gw-v70-1
s-ntp2 86400 IN CNAME ntp2
r-vlan71 86400 IN A 192.168.250.1
w-tp15-116a 86400 IN A 193.170.100.120
uu129-014 86400 IN A 193.170.129.14
pb905 86400 IN CNAME kugpb092
mg101 86400 IN A 193.170.131.101
sw1-rk-cs-kg 86400 IN A 193.170.131.129
mg103 86400 IN A 193.170.131.103
institut17 86400 IN CNAME s-www1
u-ls82-106aa 86400 IN A 192.168.11.72
mg105 86400 IN A 193.170.131.105
tawmsupport 86400 IN A 193.170.129.61
u-bg18-017a 86400 IN A 192.168.11.66
mg106 86400 IN A 193.170.131.106
uu128-002 86400 IN A 193.170.128.2
uu128-003 86400 IN A 193.170.128.3
uu128-004 86400 IN A 193.170.128.4
usv1-br21-zid 86400 IN A 192.168.248.91
uu128-006 86400 IN A 193.170.128.6
uu128-007 86400 IN A 193.170.128.7
uu128-008 86400 IN A 193.170.128.8
uu128-009 86400 IN A 193.170.128.9
uu129-016 86400 IN A 193.170.129.16
mg108 86400 IN A 193.170.131.108
rp-ls15-0f0a 86400 IN A 192.168.184.11
uu131-001 86400 IN A 193.170.131.1
s-s1-esx1-ilo 86400 IN A 192.168.107.230
mg109 86400 IN A 193.170.131.109
uu131-243 86400 IN A 193.170.131.243
uu128-040 86400 IN A 193.170.128.40
