@ 1800 IN SOA @ logs 2015042901 1800 86400 2419200 3600
@ 1800 IN MX 0 smtp1
1800 IN MX 1 smtp2
1800 IN MX 2 mail
@ 1800 IN NS dns1
1800 IN NS dns2
1800 IN NS dns3
1800 IN NS dns4
@ 1800 IN A 37.58.76.27
itsai.faculty 1800 IN CNAME webhosting
solaratlas 1800 IN CNAME webservice1
recrema 1800 IN CNAME webhosting
mirp 1800 IN CNAME webservice3
milgram 1800 IN A 192.58.29.47
msassi.faculty 1800 IN CNAME webhosting
vkhadkikar.faculty 1800 IN CNAME webhosting
gateway 1800 IN CNAME webservice3
aalghaferi.faculty 1800 IN CNAME webhosting
jrodriguez.faculty 1800 IN CNAME webhosting
rhashaikeh.faculty 1800 IN CNAME webhosting
falkhal.faculty 1800 IN CNAME webhosting
globalatlas-uat 1800 IN CNAME webservice1
afarid.faculty 1800 IN CNAME webhosting
kshanmugam.faculty 1800 IN CNAME webhosting
jyoo.faculty 1800 IN CNAME webhosting
dsvetinovic.faculty 1800 IN CNAME webhosting
nanophotonics.labs 1800 IN CNAME webhosting
wwoon.faculty 1800 IN CNAME webhosting
sbrc.labs 1800 IN CNAME webhosting
mwxiao.faculty 1800 IN CNAME webhosting
tshamim.faculty 1800 IN CNAME webhosting
www 1800 IN A 37.58.76.27
DZC 1800 IN TXT "N3W6N2CU"
globalatlas-test 1800 IN CNAME webservice1
mecel.labs 1800 IN CNAME webhosting
atlas 1800 IN CNAME webservice1
hghedira.faculty 1800 IN CNAME webhosting
ps 1800 IN CNAME webservice3
esm 1800 IN CNAME external1
mxtreme.clubs 1800 IN CNAME webhosting
anayfeh.faculty 1800 IN CNAME webhosting
kb.ict 1800 IN CNAME webservice2
ssgouridis.faculty 1800 IN CNAME webhosting
sis 1800 IN CNAME webservice3
booking 1800 IN CNAME webservice3
smtp1 1800 IN A 192.58.29.18
smtp2 1800 IN A 192.58.29.19
library 1800 IN CNAME webservice3
mic 1800 IN CNAME external1
ielfadel.faculty 1800 IN CNAME webhosting
kgarvey.faculty 1800 IN CNAME webhosting
jviegas.faculty 1800 IN CNAME webhosting
lectures 1800 IN CNAME webservice3
tmezher.faculty 1800 IN CNAME webhosting
mstefancich.faculty 1800 IN CNAME webhosting
zaung.faculty 1800 IN CNAME webhosting
libcatalog 1800 IN CNAME webservice3
scai.labs 1800 IN CNAME webhosting
mail 1800 IN A 192.58.29.16
gvidican.faculty 1800 IN CNAME webhosting
rds.labs 1800 IN CNAME webhosting
yshatilla.faculty 1800 IN CNAME webhosting
m 1800 IN CNAME webservice3
yfel 1800 IN CNAME webhosting
dspace 1800 IN CNAME webservice3
cdimas.faculty 1800 IN CNAME webhosting
external1 1800 IN A 198.101.128.189
surveys 1800 IN CNAME webservice3
webservice1 1800 IN A 192.58.29.32
webservice2 1800 IN A 192.58.29.33
fahmad.faculty 1800 IN CNAME webhosting
tm.hr 1800 IN CNAME webservice3
home.faculty 1800 IN CNAME webhosting
skennedy.faculty 1800 IN CNAME webhosting
nfl.labs 1800 IN CNAME webhosting
abualrub.faculty 1800 IN CNAME webhosting
ckchau.faculty 1800 IN CNAME webhosting
ldap 1800 IN A 192.58.29.20
hfath.faculty 1800 IN CNAME webhosting
parmstrong.faculty 1800 IN CNAME webhosting
autodiscover 1800 IN CNAME mail
mmekias.faculty 1800 IN CNAME webhosting
beel.labs 1800 IN CNAME webhosting
ict 1800 IN CNAME webservice3
cas 1800 IN A 192.58.29.31
ikhayal.faculty 1800 IN CNAME webhosting
lens.labs 1800 IN CNAME webhosting
watt.labs 1800 IN CNAME webhosting
i-innovation 1800 IN CNAME webhosting
mperrott.faculty 1800 IN CNAME webhosting
turing 1800 IN A 192.58.29.46
earth 1800 IN CNAME webservice1
jcrandall.faculty 1800 IN CNAME webhosting
opac 1800 IN CNAME webservice3
algae.labs 1800 IN CNAME webhosting
*.ezproxy 1800 IN A 50.56.204.163
ijanajreh.faculty 1800 IN CNAME webhosting
bfarah.faculty 1800 IN CNAME webhosting
waste2energy.labs 1800 IN CNAME webhosting
mchiesa.faculty 1800 IN CNAME webhosting
cis 1800 IN CNAME external1
maps 1800 IN CNAME webservice3
irahwan.faculty 1800 IN CNAME webhosting
ezproxy 1800 IN A 50.56.204.163
envbioprom.labs 1800 IN CNAME webhosting
adiabat.faculty 1800 IN CNAME webhosting
m.ict 1800 IN CNAME webservice2
hzeineldin.faculty 1800 IN CNAME webhosting
yfel.newsletter 1800 IN CNAME webhosting
ashabra.faculty 1800 IN CNAME webhosting
harafat.faculty 1800 IN CNAME webhosting
dev 1800 IN CNAME external1
tsp.labs 1800 IN CNAME webhosting
vpn 1800 IN A 192.58.29.15
windatlas 1800 IN CNAME webservice1
dns1 1800 IN A 192.58.29.11
dns2 1800 IN A 192.58.29.12
dns3 1800 IN A 192.58.29.13
dns4 1800 IN A 192.58.29.14
events 1800 IN CNAME masdar.enterprise.localist.com.
source 1800 IN CNAME webservice3
irena 1800 IN CNAME webservice1
ssltest 1800 IN CNAME webservice3
eservices 1800 IN CNAME webservice3
adfs 1800 IN A 192.58.29.30
webhosting 1800 IN CNAME webservice1
portal 1800 IN CNAME webservice3
libstaff 1800 IN CNAME webservice3
memziane.faculty 1800 IN CNAME webhosting
webservice3 1800 IN A 192.58.29.34
