@ 86400 IN SOA ns1.bioinformatics.com.my. postmaster 2015043000 10800 3600 604800 3600
@ 86400 IN TXT "v=spf1 a ip4:58.27.26.0/25 -all"
@ 86400 IN NS ns1.bioinformatics.com.my.
86400 IN NS ns2.bioinformatics.com.my.
@ 86400 IN A 58.27.26.40
@ 86400 IN MX 10 mx
ims 86400 IN A 58.27.26.40
itguide 86400 IN A 58.27.26.40
mx 86400 IN A 58.27.26.48
web-cms 86400 IN A 58.27.26.40
demo-sas 86400 IN A 58.27.26.40
juandajaya 86400 IN A 58.27.26.40
webmail 86400 IN A 58.27.26.40
_vlmcs._tcp 86400 IN SRV 0 0 1688 kms
hospital 86400 IN A 58.27.26.40
demo-klas 86400 IN A 58.27.26.40
chasiss 86400 IN A 58.27.26.40
gsm 86400 IN A 58.27.26.40
lrc 86400 IN A 58.27.26.40
dnsfw 86400 IN A 58.27.26.49
msualumni 86400 IN A 58.27.26.40
techlab01 86400 IN A 219.93.37.121
nms 86400 IN A 58.27.26.67
netgraph 86400 IN A 58.27.26.67
drs 86400 IN A 58.27.26.40
reidsurveymaker 86400 IN A 58.27.26.40
wpad 86400 IN A 58.27.26.40
memo 86400 IN A 58.27.26.40
hostel 86400 IN A 58.27.26.40
jawi 86400 IN A 58.27.26.40
demo-klas1 86400 IN A 58.27.26.40
demo-klas2 86400 IN A 58.27.26.40
pharmed 86400 IN A 58.27.26.40
elibrary 86400 IN A 58.27.26.56
sms 86400 IN A 58.27.26.65
hotel 86400 IN A 58.27.26.40
itsupport 86400 IN A 58.27.26.40
web 86400 IN A 58.27.26.40
mail 86400 IN A 58.27.26.50
maint 86400 IN A 58.27.26.40
maint-demo 86400 IN A 58.27.26.40
msuptplportal 86400 IN A 58.27.26.40
aims 86400 IN A 58.27.26.40
klas 86400 IN A 58.27.26.40
m 86400 IN A 58.27.26.40
srmsttj 86400 IN A 58.27.26.40
eklas 86400 IN A 58.27.26.40
techlab 86400 IN A 219.93.37.120
msu2u 86400 IN A 58.27.26.40
klas2 86400 IN A 58.27.26.75
virtual 86400 IN A 58.27.26.78
itsupport-demo 86400 IN A 58.27.26.40
mvirtual 86400 IN A 58.27.26.92
www 86400 IN A 58.27.26.40
scp 86400 IN A 58.27.26.40
gmc 86400 IN A 58.27.26.40
localhost 86400 IN A 127.0.0.1
srm 86400 IN A 58.27.26.40
kms 86400 IN A 58.27.26.71
supportdev 86400 IN A 58.27.26.40
d630 86400 IN A 58.27.26.116
iklas2 86400 IN A 58.27.26.40
skts 86400 IN A 58.27.26.40
postgrad 86400 IN A 58.27.26.40
dyn 86400 IN NS ns.dyn
president 86400 IN A 58.27.26.40
websms 86400 IN A 58.27.26.65
reidoffice 86400 IN A 58.27.26.40
job-app 86400 IN A 58.27.26.40
portal 86400 IN A 58.27.26.40
journal 86400 IN A 58.27.26.40
demo-klas2id 86400 IN A 58.27.26.40
pymtgtwy 86400 IN A 58.27.26.63
cloud 86400 IN A 58.27.26.40
reidcompass 86400 IN A 58.27.26.40
isrm 86400 IN A 58.27.26.40
cedec 86400 IN A 58.27.26.40
student 86400 IN NS ns1.bioinformatics.com.my.
staff 86400 IN NS ns1.bioinformatics.com.my.
ns.dyn 86400 IN A 58.27.26.47
klas2id 86400 IN A 58.27.26.40
survey 86400 IN A 58.27.26.40
