@ 86400 IN SOA dns1 root 2011102409 28800 7200 604800 86400
@ 86400 IN NS dns1
86400 IN NS dns2
@ 86400 IN MX 10 mail
@ 86400 IN A 213.177.4.168
llcs.journal 86400 IN CNAME main
www.comm2012 86400 IN CNAME main
www.llcs.journal 86400 IN CNAME main
comm2010 86400 IN CNAME main
comm2012 86400 IN CNAME main
journal 86400 IN CNAME main
www 86400 IN A 213.177.4.168
dns1 86400 IN A 213.177.4.168
dns2 86400 IN A 213.177.4.171
www.journal 86400 IN CNAME main
crid 86400 IN CNAME main
mail 86400 IN A 213.177.4.168
www.comm2010 86400 IN CNAME main
main 86400 IN A 213.177.4.168
cantina 86400 IN CNAME web2
web2 86400 IN A 213.177.4.171
www.cantina 86400 IN CNAME web2
rmu 86400 IN A 213.177.4.173
www.crid 86400 IN CNAME main
