@ 3600 IN SOA ncc root 2015041502 30 30 360 3600
@ 3600 IN TXT "v=spf1 include:spf.mail.qq.com ~all"
@ 3600 IN NS ncc
@ 3600 IN MX 5 mxbiz1.qq.com.
3600 IN MX 10 mxbiz2.qq.com.
neauswjs 3600 IN A 202.118.166.36
gh 3600 IN A 202.118.166.192
tyb 3600 IN A 202.118.166.192
jpzy 3600 IN CNAME 202.118.167.92
neauswkx 3600 IN A 202.118.166.36
kjz 3600 IN A 202.118.166.36
lbr 3600 IN A 219.217.211.32
ins0802 3600 IN A 202.118.166.213
zzlab 3600 IN A 202.118.163.52
jwc 3600 IN A 202.118.167.67
ddyjs 3600 IN A 202.118.166.192
lab217 3600 IN A 202.118.166.192
xkjsc 3600 IN A 202.118.166.192
es 3600 IN A 202.118.166.25
yuanyi 3600 IN A 202.118.166.192
poultry 3600 IN A 202.118.166.192
fzghc 3600 IN A 202.118.166.192
gjb 3600 IN A 202.118.166.192
xnc 3600 IN A 202.118.166.36
dwxsy 3600 IN A 202.118.166.36
wsim 3600 IN A 202.118.165.87
graduate 3600 IN A 202.118.165.84
ms 3600 IN A 202.118.165.86
www 3600 IN A 202.118.166.190
ceping 3600 IN A 202.118.166.36
kjx 3600 IN A 202.118.166.192
mba 3600 IN A 202.118.166.192
jccdata 3600 IN A 202.118.163.101
smkxswjs 3600 IN A 202.118.166.192
d 3600 IN A 61.167.57.69
zwb 3600 IN A 202.118.165.84
fxfk 3600 IN A 202.118.166.36
ngxh 3600 IN A 202.118.166.192
sl 3600 IN A 182.18.22.54
y 3600 IN A 202.118.166.97
smtp 3600 IN CNAME smtp.exmail.qq.com.
su 3600 IN A 202.118.166.192
ymc 3600 IN A 182.18.22.151
zwkxsys 3600 IN A 202.118.166.192
hdzu 3600 IN A 202.118.166.192
generalchemistry 3600 IN A 202.118.166.36
renliziyuanguanli 3600 IN A 202.118.166.192
ins08 3600 IN A 202.118.166.210
ssyy 3600 IN A 202.118.166.192
exs 3600 IN A 202.118.166.224
time 3600 IN A 202.118.166.140
ncc 3600 IN A 202.118.166.128
youth 3600 IN CNAME cr110.webcname.net.
mks 3600 IN A 202.118.165.84
statgen 3600 IN A 202.118.165.84
lzfxfk 3600 IN A 202.118.166.36
dnxyh 3600 IN A 202.118.166.59
gjs 3600 IN A 202.118.166.36
zcgl 3600 IN A 58.155.69.68
oldmail 3600 IN A 202.118.165.130
jjglxy 3600 IN A 202.118.166.192
smkxxy 3600 IN A 202.118.166.192
klds 3600 IN A 202.118.166.36
dxhx 3600 IN A 202.118.166.192
lxy 3600 IN A 202.118.166.192
sss 3600 IN A 202.118.166.192
nnyjs 3600 IN A 202.118.166.192
zwbb 3600 IN A 202.118.166.192
xnsyzx 3600 IN A 202.118.166.36
spxnfz 3600 IN A 202.118.166.36
weishao 3600 IN A 202.118.165.88
rwxy 3600 IN A 202.118.166.192
office 3600 IN A 202.118.166.36
neaa 3600 IN A 202.118.166.36
gjjl 3600 IN A 202.118.166.192
jidi 3600 IN A 202.118.166.192
