@ 86400 IN SOA dns2 postmaster 2003040702 28800 14400 3600000 86400
@ 86400 IN NS dns2
@ 86400 IN MX 10 mail
@ 86400 IN A 14.139.207.114
exams 86400 IN A 14.139.207.117
alumni 86400 IN A 14.139.207.120
apply 86400 IN A 14.139.207.120
test 86400 IN A 14.139.207.120
library 86400 IN A 14.139.207.118
dns2 86400 IN A 14.139.207.114
nepiac 86400 IN A 14.139.207.120
mail 86400 IN A 14.139.207.115
bic 86400 IN A 14.139.207.120
pma 86400 IN A 14.139.207.120
dspace 86400 IN A 14.139.207.116
www 86400 IN CNAME dns2
