@ 3600 IN SOA dns root 2015042402 30 30 360 3600
@ 3600 IN NS dns
3600 IN NS rose
@ 3600 IN MX 0 webmail
3600 IN MX 20 mail
yjsxt 3600 IN A 202.195.176.29
emice 3600 IN A 202.195.189.2
cxz 3600 IN A 202.195.176.92
cpxt 3600 IN A 202.195.176.38
tyb 3600 IN A 202.195.176.92
cecdata 3600 IN A 58.215.75.192
hltszy 3600 IN A 202.195.176.109
zzgl 3600 IN A 202.195.176.92
cdtm 3600 IN A 202.195.181.25
yjszs 3600 IN A 202.195.176.92
yz 3600 IN A 202.195.176.92
jsap 3600 IN A 202.195.176.92
kfpp 3600 IN A 221.130.6.184
qnz 3600 IN A 221.130.193.210
hr 3600 IN A 218.94.72.107
jwc 3600 IN A 202.195.176.92
klx 3600 IN A 202.195.176.92
jwk 3600 IN A 202.195.176.92
kd 3600 IN A 202.195.176.92
80 3600 IN A 202.195.176.92
lysjzx 3600 IN A 202.195.176.109
rose 3600 IN A 202.195.176.68
gjjpkc2008 3600 IN A 61.155.6.8
gjjpkc2009 3600 IN A 61.155.6.26
mc 3600 IN A 218.94.72.111
xyh 3600 IN A 202.195.176.8
ky 3600 IN A 218.94.72.107
elearning 3600 IN A 202.195.176.7
lib 3600 IN A 218.94.72.102
lx 3600 IN A 202.195.176.99
swsfzx 3600 IN A 202.195.176.92
slxg 3600 IN A 202.195.176.92
yljxzx 3600 IN A 202.195.176.74
oa 3600 IN A 218.94.72.105
report 3600 IN A 218.94.72.107
www 3600 IN A 218.94.72.100
my 3600 IN A 202.195.176.20
gnjy 3600 IN A 218.94.72.100
zs 3600 IN A 202.195.176.92
dbtz 3600 IN A 202.195.176.92
jxlp 3600 IN A 192.168.14.100
lcsjzx 3600 IN A 202.195.176.109
yx 3600 IN A 202.195.176.99
urp 3600 IN A 218.94.72.107
yjsxlxh 3600 IN A 202.195.176.43
jxcgsb 3600 IN A 202.195.176.38
kxfz 3600 IN A 202.195.176.92
rwyxzx 3600 IN A 202.195.176.92
jpkcdx 3600 IN A 61.155.6.26
lddy 3600 IN A 202.195.176.38
lxbsykc 3600 IN A 202.195.176.43
zzbexam 3600 IN A 202.195.176.38
ydmh 3600 IN A 202.195.181.23
yktcx 3600 IN A 202.195.176.34
ruijie 3600 IN A 202.195.176.60
sie 3600 IN A 202.195.176.59
dpstar 3600 IN A 218.94.72.107
rsc 3600 IN A 202.195.176.92
syzx 3600 IN A 202.195.176.43
dwjd 3600 IN A 202.195.189.2
yfsfzx 3600 IN A 202.195.176.94
tw 3600 IN A 202.195.176.92
jytszy 3600 IN A 202.195.176.109
yjsh 3600 IN A 202.195.181.26
kqswyx 3600 IN A 202.195.182.9
kdmh 3600 IN A 202.195.176.92
xnfz 3600 IN A 202.195.176.43
testapp 3600 IN A 218.94.72.103
dylcxg 3600 IN A 202.195.176.92
yjsy 3600 IN A 202.195.176.92
silin 3600 IN A 202.195.176.92
jwsys 3600 IN A 202.195.176.18
jck 3600 IN A 202.195.176.92
xl 3600 IN A 202.195.176.63
bios 3600 IN A 218.94.72.109
qzlx 3600 IN A 202.195.176.92
zcglxt 3600 IN A 202.195.176.16
xyxt 3600 IN A 202.195.176.10
jcqnz 3600 IN A 202.195.176.92
dcwj 3600 IN A 202.195.176.92
yhgtrc 3600 IN A 202.195.176.92
slctl 3600 IN A 202.195.176.92
yktkq 3600 IN A 202.195.176.85
tyxx 3600 IN A 58.215.75.192
jc2010 3600 IN A 202.195.176.92
jc2011 3600 IN A 202.195.176.92
jc2012 3600 IN A 202.195.176.92
jc2013 3600 IN A 202.195.176.92
body3d 3600 IN A 202.195.181.26
dangxiao 3600 IN A 202.195.176.38
lcsxzx 3600 IN A 202.195.176.109
zcgl 3600 IN A 202.195.181.38
app3 3600 IN A 218.94.72.115
jdhta 3600 IN A 202.195.176.53
jyxt 3600 IN A 202.195.176.99
