@ 86400 IN SOA dns root.dns 1430103925 28800 14400 3600000 86400
@ 86400 IN TXT "v=spf1 ip4:202.119.224.11 ip4:202.119.230.11 ip4:202.119.230.110  ip4:202.119.230.120 -all"
@ 86400 IN MX 1 em1
@ 86400 IN NS dns
ctetc 86400 IN CNAME ctielab
star 86400 IN NS iwbrs
fw 86400 IN NS iwbrs
wism-aici2010 86400 IN NS iwbrs
rep 86400 IN CNAME gcampus
fm 86400 IN A 10.10.240.90
jjxy 86400 IN NS iwbrs
dsh 86400 IN CNAME fzwyh
eelab 86400 IN NS iwbrs
xygz 86400 IN NS iwbrs
jwc 86400 IN A 202.119.224.202
mdis 86400 IN NS iwbrs
rflab 86400 IN NS iwbrs
pgyouth 86400 IN NS iwbrs
ip 86400 IN CNAME ctie
www.ctie 86400 IN NS iwbrs
kms 86400 IN A 202.119.224.19
lab 86400 IN NS iwbrs
jxpg 86400 IN NS iwbrs
jwxt 86400 IN NS iwbrs
geoweb 86400 IN NS iwbrs
fzghc 86400 IN NS iwbrs
dwb 86400 IN CNAME ctie
qks 86400 IN NS iwbrs
overseas 86400 IN NS iwbrs
vpn 86400 IN A 218.2.103.165
ky 86400 IN CNAME gcampus
zcgs 86400 IN NS iwbrs
edulab 86400 IN NS iwbrs
nyyz 86400 IN NS iwbrs
kjcyzx 86400 IN NS iwbrs
lx 86400 IN CNAME gcampus
iids 86400 IN NS iwbrs
oa 86400 IN A 10.10.242.103
youthoa 86400 IN CNAME youth
nyzy 86400 IN NS iwbrs
fm1 86400 IN A 10.10.241.67
bwcsn 86400 IN NS iwbrs
azhen 86400 IN NS iwbrs
www.cw 86400 IN NS iwbrs
mba 86400 IN NS iwbrs
gcampus 86400 IN NS iwbrs
oelab 86400 IN NS iwbrs
gdgcsys 86400 IN NS iwbrs
pg 86400 IN NS iwbrs
ctiestu 86400 IN CNAME ctielab
coalab 86400 IN NS iwbrs
account 86400 IN A 192.168.168.168
www 86400 IN NS iwbrs
qh 86400 IN NS iwbrs
c 86400 IN NS iwbrs
xsc 86400 IN NS iwbrs
shmsc 86400 IN NS iwbrs
smse 86400 IN CNAME iam
chuangqingchun 86400 IN NS iwbrs
etc 86400 IN NS iwbrs
m 86400 IN NS iwbrs
zbb 86400 IN NS iwbrs
xsswzx 86400 IN NS iwbrs
cwsn2012 86400 IN NS iwbrs
nytx 86400 IN NS iwbrs
rs 86400 IN CNAME portal
fld 86400 IN NS iwbrs
nydx 86400 IN CNAME www
shs 86400 IN NS iwbrs
wicom 86400 IN NS iwbrs
rsc 86400 IN NS iwbrs
coatc 86400 IN NS iwbrs
iotlab 86400 IN NS iwbrs
tp 86400 IN A 202.119.224.192
smail 86400 IN A 202.119.230.118
marxism 86400 IN NS iwbrs
jgdw 86400 IN NS iwbrs
iot 86400 IN NS iwbrs
hqjt 86400 IN NS iwbrs
ladzz 86400 IN NS iwbrs
em1 86400 IN A 202.119.224.11
wb 86400 IN NS iwbrs
xxb 86400 IN NS iwbrs
tav 86400 IN A 10.10.240.240
jxzx 86400 IN NS iwbrs
www.robotjs 86400 IN NS iwbrs
acm 86400 IN NS iwbrs
xb 86400 IN NS iwbrs
sbjg 86400 IN CNAME portal
gfs 86400 IN CNAME ctie
xyh 86400 IN NS iwbrs
zcyjs 86400 IN NS iwbrs
xl 86400 IN NS iwbrs
tdxy 86400 IN NS iwbrs
dxkjy 86400 IN NS iwbrs
sast 86400 IN CNAME rainbow
xyzd 86400 IN NS iwbrs
youth 86400 IN NS iwbrs
emgate 86400 IN A 202.119.230.110
jfiot 86400 IN CNAME ctie
ctie 86400 IN NS iwbrs
freem 86400 IN A 10.10.241.65
yx 86400 IN NS iwbrs
