@ 900 IN SOA extdns hostmaster 2015042406 900 900 1209600 900
@ 900 IN NS disa.tenet.ac.za.
900 IN NS rain.psg.com.
900 IN NS hippo.ru.ac.za.
900 IN NS extdns
900 IN NS neptune
@ 900 IN TXT "g192d8nwoYk2S96O4otfHU6U8b+9SsL3AHzCMWxYGgWMmVAH3nEkPUXAiXzZs07y37viC+a987z7vi6GAYb9Hg=="
@ 900 IN MX 5 hathor
900 IN MX 5 mufasa
900 IN MX 5 neptune
@ 900 IN A 192.96.15.83
eros 900 IN A 196.21.192.190
eleceng 900 IN CNAME kentico-p
extweb 900 IN A 192.96.15.129
graphicdesign 900 IN CNAME kentico-p
_sip._tcp 900 IN SRV 0 0 5061 lynx
acts 900 IN CNAME www1
wifi 900 IN CNAME kentico-p
business 900 IN CNAME kentico-p
ersc 900 IN CNAME palama
international 900 IN CNAME kentico-p
innovation 900 IN CNAME kentico-p
learn3 900 IN CNAME learn64-test
Paymentgatewaytest 900 IN CNAME kentico-p
humanresources 900 IN CNAME kentico-p
game 900 IN CNAME kentico-p
mysite 900 IN CNAME staff
lsslu 900 IN CNAME kentico-p
cricket 900 IN CNAME kentico-p
splan 900 IN CNAME kentico-p
sbs 900 IN CNAME kentico-p
red5 900 IN A 196.21.192.215
copyright 900 IN CNAME kentico-p
italy 900 IN CNAME nmmu-vpn
staff 900 IN A 196.21.193.33
protea 900 IN CNAME kentico-p
sdu 900 IN CNAME kentico-p
NMMURacing 900 IN CNAME kentico-p
ses 900 IN CNAME kentico-p
_sip._tls 900 IN SRV 0 0 443 lynx
g 900 IN TXT "google-site-verification=OflIqLVuKKNsJw6OJ08qCkaPBRagOFEekpm47jup6lE"
g 900 IN MX 10 ASPMX.L.GOOGLE.com.
900 IN MX 20 ALT1.ASPMX.L.GOOGLE.com.
900 IN MX 20 ALT2.ASPMX.L.GOOGLE.com.
900 IN MX 30 ASPMX2.GOOGLEMAIL.com.
900 IN MX 30 ASPMX3.GOOGLEMAIL.com.
900 IN MX 30 ASPMX4.GOOGLEMAIL.com.
900 IN MX 30 ASPMX5.GOOGLEMAIL.com.
paymentgateway 900 IN CNAME kentico-p
ExchangeFederation 900 IN TXT "WEK6nNldTbWsTe9SfJYOyUTJHgPUpS0ZEuB4c4NE9d2FDk1YstJsEu+RJAeosBA57txvu87fv2ryBWCcspA6dQ=="
m 900 IN CNAME kentico-p
georgelibrarian 900 IN CNAME kentico-p
t 900 IN CNAME rproxy
nmmuwebservice 900 IN A 192.96.15.102
indwe 900 IN CNAME kentico-p
infotech 900 IN CNAME kentico-p
rmrupal 900 IN CNAME kentico-p
sip 900 IN CNAME lynx
sit 900 IN CNAME kentico-p
biotech 900 IN CNAME kentico-p
research 900 IN CNAME kentico-p
gradstud 900 IN CNAME kentico-p
sculpture 900 IN CNAME kentico-p
uyilodb 900 IN CNAME extweb
sls 900 IN CNAME kentico-p
nmmuv 900 IN A 192.96.15.127
healthandsafety 900 IN CNAME kentico-p
sp2013-3 900 IN A 192.96.15.221
lyncefepool1 900 IN A 192.96.15.245
sms 900 IN CNAME kentico-p
choir 900 IN CNAME kentico-p
dietetics 900 IN CNAME kentico-p
soe 900 IN CNAME kentico-p
peerhelping 900 IN CNAME kentico-p
confweb 900 IN CNAME lock
tenet2600 900 IN A 196.21.192.254
moss2010 900 IN A 196.21.192.215
psychology 900 IN CNAME kentico-p
continuingeducation 900 IN CNAME kentico-p
nmmuwebservicetest 900 IN CNAME nmmuwebservice
src 900 IN CNAME kentico-p
documents 900 IN CNAME absolut
lexisnexis 900 IN A 192.96.15.241
sru 900 IN CNAME kentico-p
stats 900 IN CNAME learning
ceramicdesign 900 IN CNAME kentico-p
tme 900 IN CNAME kentico-p
cisconetlab 900 IN A 196.21.192.34
supportservices 900 IN CNAME kentico-p
registrarsoffice 900 IN CNAME kentico-p
immigration 900 IN A 196.21.192.129
nmmumaps-nc1 900 IN A 196.21.192.100
router193 900 IN A 196.21.193.254
router194 900 IN A 196.21.194.254
mechatronics 900 IN CNAME kentico-p
router196 900 IN A 196.21.196.254
