@ 3600 IN SOA @ root 2015041000 900 600 86400 3600
@ 3600 IN NS ns
3600 IN NS ns.naverex.net.
@ 3600 IN A 213.169.81.98
@ 3600 IN MX 10 ASPMX.L.GOOGLE.COM.
3600 IN MX 20 ALT1.ASPMX.L.GOOGLE.COM.
3600 IN MX 20 ALT2.ASPMX.L.GOOGLE.COM.
3600 IN MX 30 ASPMX2.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX3.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX4.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX5.GOOGLEMAIL.COM.
3600 IN MX 31 web
3600 IN MX 32 router
gorbachuk 3600 IN A 213.169.81.98
iueo 3600 IN A 213.169.81.98
wou 3600 IN A 213.169.81.98
www.metodology 3600 IN A 213.169.81.98
pgk.ifon 3600 IN A 213.169.81.98
novaparadigma 3600 IN A 213.169.81.98
www.iuf 3600 IN A 213.169.81.98
www.kk.ifon 3600 IN A 213.169.81.98
krm.iif 3600 IN A 213.169.81.98
www.old.celsi 3600 IN A 213.169.81.103
kpdu 3600 IN A 213.169.81.98
router-ts 3600 IN A 195.162.89.34
www.krzl.iif 3600 IN A 213.169.81.98
metod.iif 3600 IN A 213.169.81.98
www.kivi.ii 3600 IN A 213.169.81.98
www.borysenko 3600 IN A 213.169.81.98
eurolangues.iif 3600 IN A 213.169.81.98
www.sp 3600 IN A 213.169.81.98
iio 3600 IN A 213.169.81.98
redmain 3600 IN A 213.169.81.105
www.zhaldak 3600 IN A 213.169.81.98
ii 3600 IN A 213.169.81.98
www.bbb 3600 IN A 213.169.81.101
kivi 3600 IN A 213.169.81.98
www.etestet.ifon 3600 IN A 213.169.81.98
im 3600 IN A 213.169.81.98
kivi.ii 3600 IN A 213.169.81.98
pk 3600 IN A 213.169.81.108
www.wiki 3600 IN A 213.169.81.98
kki 3600 IN A 213.169.81.98
mail.celsi 3600 IN A 213.169.81.104
kk 3600 IN A 213.169.81.98
www.bezpeka 3600 IN A 213.169.81.98
kph 3600 IN A 213.169.81.98
iasw 3600 IN A 213.169.81.98
ket.iueo 3600 IN A 213.169.81.98
www.admin 3600 IN CNAME @
www.kitp.ii 3600 IN A 213.169.81.98
www.ippk 3600 IN A 213.169.81.98
www.ki.ifmion 3600 IN A 213.169.81.98
nfranchuk 3600 IN A 213.169.81.98
www.svp 3600 IN A 213.169.81.98
lib 3600 IN A 195.162.89.41
new.lib 3600 IN A 195.162.89.41
wiki 3600 IN A 213.169.81.98
www.keo.iueo 3600 IN A 213.169.81.98
visnuk.ird 3600 IN A 213.169.81.98
ms 3600 IN A 213.169.81.98
nmu-net 3600 IN A 213.169.81.110
krm 3600 IN A 213.169.81.98
www.cu 3600 IN A 213.169.81.98
isru 3600 IN A 213.169.81.98
www.dn 3600 IN A 213.169.81.99
old-elib 3600 IN A 213.169.81.98
www.diaspora 3600 IN A 213.169.81.98
www.celsi 3600 IN A 213.169.81.107
www.ipsp 3600 IN A 213.169.81.98
hklib 3600 IN A 195.162.89.41
meet 3600 IN A 213.169.81.105
www.nmu 3600 IN A 213.169.81.110
www 3600 IN A 213.169.81.98
seo 3600 IN A 213.169.81.98
www.ieep 3600 IN A 213.169.81.98
web2 3600 IN A 213.169.81.99
www.shkil.fmi 3600 IN A 213.169.81.98
sp 3600 IN A 213.169.81.98
www.moodle29 3600 IN A 213.169.81.99
www.gorbachuk.fmi 3600 IN A 213.169.81.98
vfranchuk 3600 IN A 213.169.81.98
www.kpdu 3600 IN A 213.169.81.98
tryus 3600 IN A 213.169.81.98
www.idn 3600 IN A 213.169.81.98
kzmg.iif 3600 IN A 213.169.81.98
mdr 3600 IN A 213.169.81.98
etestet.ifon 3600 IN A 213.169.81.98
www.conference 3600 IN A 213.169.81.99
kiido 3600 IN A 213.169.81.98
www.ica-chernikov.fmi 3600 IN A 213.169.81.98
www.im 3600 IN A 213.169.81.98
lad.iio 3600 IN A 213.169.81.98
rating 3600 IN A 213.169.81.98
www.ktoi.ii 3600 IN A 213.169.81.98
www.pedtvor 3600 IN A 213.169.81.98
fmi 3600 IN A 213.169.81.98
zhaldak 3600 IN A 213.169.81.98
kpdu.ipsp 3600 IN A 213.169.81.98
www.kdr.ifon 3600 IN A 213.169.81.98
www.kk 3600 IN A 213.169.81.98
www.avp 3600 IN A 213.169.81.98
snt 3600 IN A 213.169.81.98
dragomanov 3600 IN A 213.169.81.98
krzl.iif 3600 IN A 213.169.81.98
www.rating 3600 IN A 213.169.81.98
arpue 3600 IN A 213.169.81.98
www.gorbachuk 3600 IN A 213.169.81.98
zmyo 3600 IN A 213.169.81.98
www.iueo 3600 IN A 213.169.81.98
www.iio 3600 IN A 213.169.81.98
kultura 3600 IN A 213.169.81.98
kuei.iueo 3600 IN A 213.169.81.98
www.academ 3600 IN A 213.169.81.108
igto 3600 IN A 213.169.81.98
www.i-net.ii 3600 IN A 213.169.81.100
www.router-ts 3600 IN A 195.162.89.34
old.celsi 3600 IN A 213.169.81.103
www.ikpp 3600 IN A 213.169.81.98
calendar 3600 IN CNAME ghs.google.com.
man.ii 3600 IN A 213.169.81.98
www.kultura 3600 IN A 213.169.81.98
moodle 3600 IN A 213.169.81.99
www.mahara 3600 IN A 213.169.81.105
bezpeka 3600 IN A 213.169.81.98
monitoring 3600 IN A 213.169.81.98
www.orlyk 3600 IN A 213.169.81.98
www.tryus.ii 3600 IN A 213.169.81.98
ispu 3600 IN A 213.169.81.98
www.imad 3600 IN A 213.169.81.98
moodle-student.ii 3600 IN A 213.169.81.99
dragomanov.iio 3600 IN A 213.169.81.98
www.festival 3600 IN A 213.169.81.98
www.moodle-student.ii 3600 IN A 213.169.81.99
www.pgk 3600 IN A 213.169.81.98
www.vpb 3600 IN A 213.169.81.98
www.kyivobl-man 3600 IN A 213.169.81.98
www.vfranchuk 3600 IN A 213.169.81.98
test 3600 IN A 213.169.81.98
www.ii 3600 IN A 213.169.81.98
ippk 3600 IN A 213.169.81.98
start 3600 IN CNAME ghs.google.com.
sm 3600 IN A 213.169.81.98
www.pgk.ifon 3600 IN A 213.169.81.98
www.sm 3600 IN A 213.169.81.98
ki.ifmion 3600 IN A 213.169.81.98
www.novaparadigma 3600 IN A 213.169.81.98
www.sr 3600 IN A 213.169.81.98
www.etestet 3600 IN A 213.169.81.98
ipgoe 3600 IN A 213.169.81.98
www.bvp 3600 IN A 213.169.81.98
www.ipp 3600 IN A 213.169.81.98
shkil-conf.fmi 3600 IN A 213.169.81.98
www.irc 3600 IN A 213.169.81.98
www.ird 3600 IN A 213.169.81.98
kdr 3600 IN A 213.169.81.98
www.krzl 3600 IN A 213.169.81.98
www.csr.ifon 3600 IN A 213.169.81.98
diaspora 3600 IN A 213.169.81.98
ipsp 3600 IN A 213.169.81.98
eurolangues 3600 IN A 213.169.81.98
sr 3600 IN A 213.169.81.98
kzmg 3600 IN A 213.169.81.98
wiuu 3600 IN A 213.169.81.98
ieep 3600 IN A 213.169.81.98
borysenko 3600 IN A 213.169.81.98
www.kzmg 3600 IN A 213.169.81.98
www.kuei 3600 IN A 213.169.81.98
svp 3600 IN A 213.169.81.98
ket 3600 IN A 213.169.81.98
shkil.fmi 3600 IN A 213.169.81.98
ktoi.ii 3600 IN A 213.169.81.98
e-journals 3600 IN A 213.169.81.99
pedtvor 3600 IN A 213.169.81.98
bbb 3600 IN A 213.169.81.101
sites 3600 IN CNAME ghs.google.com.
www.ifon 3600 IN A 213.169.81.98
old.lib 3600 IN A 195.162.89.41
www.25celsi 3600 IN A 213.169.81.105
kdr.ifon 3600 IN A 213.169.81.98
www.moodle26 3600 IN A 213.169.81.99
www.moodle27 3600 IN A 213.169.81.99
www.moodle28 3600 IN A 213.169.81.99
www.dragomanov.iio 3600 IN A 213.169.81.98
www.nfranchuk.ii 3600 IN A 213.169.81.98
www.csr 3600 IN A 213.169.81.98
www.kdr 3600 IN A 213.169.81.98
nmu 3600 IN A 213.169.81.110
2009-im.ii 3600 IN A 91.192.219.44
*.2009-im.ii 3600 IN A 91.192.219.44
www.lad.iio 3600 IN A 213.169.81.98
www.keo 3600 IN A 213.169.81.98
www.wiki.ii 3600 IN A 213.169.81.98
www.do.ippk 3600 IN A 213.169.81.99
www.ket 3600 IN A 213.169.81.98
www.eurolangues.iif 3600 IN A 213.169.81.98
academ 3600 IN A 213.169.81.108
www.ktoi 3600 IN A 213.169.81.98
www.kgf 3600 IN A 213.169.81.98
www.kki.ii 3600 IN A 213.169.81.98
i-net.ii 3600 IN A 213.169.81.100
director 3600 IN A 213.169.81.98
idn 3600 IN A 213.169.81.98
conference 3600 IN A 213.169.81.99
igtverd 3600 IN A 213.169.81.98
www.hklib 3600 IN A 195.162.89.41
www.moodle.ii 3600 IN A 213.169.81.99
ktip 3600 IN A 213.169.81.98
mahara 3600 IN A 213.169.81.105
mail 3600 IN CNAME ghs.google.com.
www.moodle25 3600 IN A 213.169.81.99
tkg 3600 IN A 213.169.81.98
www.tkg.igto 3600 IN A 213.169.81.98
www.shkil-conf.fmi 3600 IN A 213.169.81.98
www.tryus 3600 IN A 213.169.81.98
