@ 60 IN SOA olopa root.localhost 7191663 60 1800 604895 86409
@ 60 IN NS dns.ictp.trieste.it.
60 IN NS sv2.ictp.trieste.it.
60 IN NS olopa
60 IN NS mainhub.netproj.ictp.trieste.it.
@ 60 IN A 46.16.188.5
@ 60 IN MX 5 mail
60 IN MX 10 mainhub.netproj.ictp.trieste.it.
@ 60 IN TXT "v=spf1 a mx -all"
iqniche 60 IN A 197.253.6.200
197.253.6.200 60 IN PTR web-2.oauife.edu.ng
naakiss 60 IN A 197.253.6.200
197.253.6.199 60 IN PTR mail.oauife.edu.ng
akintola 60 IN A 197.253.6.200
webo 60 IN A 197.253.6.200
aisecife 60 IN A 197.253.6.200
rel 60 IN A 197.253.6.200
scf 60 IN A 197.253.6.200
scm 60 IN A 197.253.6.200
ren 60 IN A 197.253.6.200
teeal 60 IN A 197.253.6.209
afcf 60 IN A 197.253.6.200
sucf 60 IN A 197.253.6.200
murtalamuhammed 60 IN A 197.253.6.200
healthcentre 60 IN A 197.253.6.200
museum 60 IN A 197.253.6.200
rhemaword 60 IN A 197.253.6.200
eeess 60 IN A 197.253.6.200
ifasa 60 IN A 197.253.6.200
linkages 60 IN A 197.253.6.200
tea 60 IN A 197.253.6.200
demography 60 IN A 197.253.6.200
oaujhu 60 IN A 197.253.6.200
webmail.web-2 60 IN A 197.253.6.200
spiritchapel 60 IN A 66.147.242.159
60 IN A 197.253.6.200
spe 60 IN A 197.253.6.200
psychology 60 IN A 197.253.6.200
agee 60 IN A 197.253.6.200
soboau 60 IN A 197.253.6.200
urp 60 IN A 197.253.6.200
pg-student 3600 IN MX 10 aspmx.l.google.com.
3600 IN MX 20 alt1.aspmx.l.google.com.
3600 IN MX 20 alt2.aspmx.l.google.com.
3600 IN MX 30 aspmx2.googlemail.com.
3600 IN MX 30 aspmx3.googlemail.com.
pg-student 300 IN TXT "google-site-verification=DpRYMMfUWroI6EjMD-DwuU5p3G6GJWacU6MfMcZ9FX8"
ijoh 60 IN A 197.253.6.200
nurss 60 IN A 197.253.6.200
arcsstee 60 IN A 197.253.6.200
nacess 60 IN A 197.253.6.200
nakiss 60 IN A 197.253.6.200
coex 60 IN A 197.253.6.233
naosife 60 IN A 197.253.6.200
