@ 38400 IN SOA Pamukkale.pau.edu.tr. bidb.pau.edu.tr. 1255522613 10800 3600 604800 38400
@ 38400 IN NS Pamukkale.pau.edu.tr.
38400 IN NS dns1.pau.edu.tr.
38400 IN NS dns2.pau.edu.tr.
@ 38400 IN A 193.255.52.110
@ 38400 IN MX 0 mail
@ 38400 IN TXT "v=spf1 ip4:193.255.52.0/22 mx:pau.edu.tr mx:pamukkale.edu.tr ~all"
@ 38400 IN AAAA 2001:a98:c060:1::110
gurarslan 38400 IN CNAME linuxweb
nceylan 38400 IN CNAME akademik
ggunduz 38400 IN CNAME akademik
Pamukkale 38400 IN A 193.255.52.2
Pamukkale 38400 IN AAAA 2001:a98:c060:1::2
hozyigit 38400 IN CNAME akademik
tipegitimi 38400 IN CNAME linuxweb
driver 38400 IN CNAME akademik
sispir 38400 IN CNAME linuxweb
pevweb 38400 IN CNAME akademik
iibf 38400 IN CNAME linuxweb
lagina 38400 IN CNAME akademik
alloy 38400 IN A 193.255.52.63
paugrid10 38400 IN A 193.255.55.210
spormerkezi 38400 IN CNAME akademik
osinecen 38400 IN CNAME akademik
gdurur 38400 IN CNAME akademik
etan 38400 IN CNAME akademik
atlas-online 38400 IN CNAME akademik
kurslar 38400 IN CNAME akademik
ademirci 38400 IN CNAME akademik
egitimdergi 38400 IN A 193.255.52.103
pajes 86400 IN CNAME akademik
mozel 38400 IN CNAME akademik
fenbil 38400 IN CNAME akademik
mrtg2 38400 IN CNAME linuxweb
oozpence 38400 IN CNAME akademik
pjss 38400 IN CNAME pauedergi
spalamutcu 38400 IN CNAME akademik
gokhan 38400 IN CNAME akademik
mlkocaalan 38400 IN CNAME akademik
zyilmaz 38400 IN CNAME akademik
muziksempozyum 38400 IN CNAME akademik
20biyolojikongresi 38400 IN CNAME linuxweb
fkackan 38400 IN CNAME akademik
bbahtiyar 38400 IN CNAME akademik
maydin 38400 IN CNAME akademik
tf 38400 IN A 193.255.52.151
zbagci 38400 IN CNAME akademik
tripolis 86400 IN CNAME akademik
tkizilelma 38400 IN CNAME akademik
isozgoturmez 38400 IN CNAME akademik
augur 38400 IN CNAME akademik
oyilmaz 38400 IN CNAME akademik
