@ 3600 IN SOA ns2 it-support 2011060776 7200 3600 604800 3600
@ 3600 IN NS ns2
@ 3600 IN A 101.255.89.167
@ 3600 IN MX 1 ASPMX.L.GOOGLE.COM.
3600 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
3600 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
3600 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
3600 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
@ 3600 IN TXT "google-site-verification=KW9fVVgtlilMkSWwPMzl2MuCjorN0hcBWx9SSvGNSno"
wisuda 3600 IN CNAME @
webmail 3600 IN A 101.255.89.166
ns2 3600 IN A 115.124.85.179
siap 3600 IN A 101.255.89.172
ice 3600 IN CNAME @
myvpn 3600 IN A 101.255.89.138
pafm 3600 IN CNAME @
careerday 3600 IN CNAME @
eli 3600 IN A 101.255.89.172
moorly 3600 IN CNAME @
mail 3600 IN A 101.255.89.167
vpn 3600 IN A 101.255.89.171
elearning 3600 IN CNAME @
www.dokumen 3600 IN CNAME @
www.artikel 3600 IN CNAME @
s2 3600 IN A 101.255.89.168
www 3600 IN A 101.255.89.167
www.library 3600 IN CNAME @
files 3600 IN A 101.255.89.172
dokumen 3600 IN CNAME @
artikel 3600 IN CNAME @
www.ice 3600 IN CNAME @
production 3600 IN A 115.124.85.184
netbilling 3600 IN CNAME @
www.alumni 3600 IN CNAME @
alumni 3600 IN CNAME @
library 3600 IN CNAME @
www.career 3600 IN CNAME @
career 3600 IN CNAME @
student 3600 IN CNAME @
www.netbilling 3600 IN CNAME @
