@ 86400 IN SOA name root 2015010729 14400 3600 1209600 600
@ 86400 IN NS name
86400 IN NS name2
86400 IN NS name3
86400 IN NS name4
@ 86400 IN A 14.139.246.12
86400 IN A 124.124.110.186
@ 86400 IN MX 10 mail6.pu.ac.in.
beta.hindi 86400 IN CNAME websys
seminar2013 86400 IN CNAME websys
puleet 86400 IN CNAME websys
www.exams 86400 IN CNAME websys
animalhouse 86400 IN CNAME websys
www.ubsl 86400 IN CNAME websys
cetbhms 86400 IN CNAME websys
beta.uiams 86400 IN CNAME websys
www.dcvs 86400 IN CNAME websys
beta.crikc 86400 IN CNAME websys
hrdc 86400 IN CNAME websrv
beta.philosophy 86400 IN CNAME websys
vimarsh 86400 IN CNAME websys
www.purckauni 86400 IN CNAME websys
allelopathy2012 86400 IN CNAME uiet
beta.microbialbiotechnology 86400 IN CNAME websys
urdu 86400 IN CNAME websys
punjabi 86400 IN CNAME websys
www.bvsc 86400 IN CNAME websys
rks 86400 IN CNAME spider
www.grdcsss 86400 IN CNAME websys
scs 86400 IN CNAME websys
gandhianstudies 86400 IN CNAME websys
lawtest 86400 IN CNAME websys
distanceedu 86400 IN CNAME websys
www.botany 86400 IN CNAME websys
www.asc 86400 IN CNAME websrv
physicaleducation 86400 IN CNAME websys
www.pub-admn 86400 IN CNAME websys
beta.publichealth 86400 IN CNAME websys
beta.purcl 86400 IN CNAME websys
beta.purcm 86400 IN CNAME websys
publichealth 86400 IN CNAME websys
beta.erc 86400 IN CNAME websys
libraryscience 86400 IN CNAME websys
x 86400 IN CNAME websrv
www.maths 86400 IN CNAME websys
rsc 86400 IN CNAME websys
dcsa 86400 IN CNAME websys
registrar 86400 IN CNAME websys
rti 86400 IN CNAME websys
rksingla 86400 IN CNAME spider
www.stemcell 86400 IN CNAME websys
www.cpag 86400 IN CNAME websys
www.cet 86400 IN CNAME websys
www.aihca 86400 IN CNAME websys
ucim 86400 IN CNAME websys
ubsadmissions 86400 IN CNAME websys
ubsl 86400 IN CNAME websys
bweb 86400 IN CNAME websrv
webopac 86400 IN A 124.124.110.180
beta.evs 86400 IN CNAME websys
officeapp 86400 IN CNAME websys
pustem 86400 IN CNAME aavishkar12
www.medicalphysics 86400 IN CNAME websys
dcvs 86400 IN CNAME websys
www.ssgpurc 86400 IN CNAME websys
beta.pumail 86400 IN CNAME websys
www.devs 86400 IN CNAME websys
beta.ietve 86400 IN CNAME websys
documents 86400 IN CNAME websys
www.rrsahni150 86400 IN CNAME websys
www.admissionsevening 86400 IN CNAME websrv
testsite2 86400 IN CNAME websys
www.french 86400 IN CNAME websys
bvsc 86400 IN CNAME websys
www.dcs 86400 IN CNAME websys
stats 86400 IN CNAME websys
stemcell 86400 IN CNAME websys
biophysics 86400 IN CNAME websys
www.humanrights 86400 IN CNAME websys
www.des 86400 IN CNAME websys
microcon2015 86400 IN CNAME websys
www.cpc 86400 IN CNAME websys
www.dfs 86400 IN CNAME websys
testsite 86400 IN CNAME websys
beta.cwsd 86400 IN CNAME websys
ugc 86400 IN CNAME websys
sports 86400 IN CNAME websys
