@ 7200 IN SOA qumasdns2 root.qumasdns2 2015050101 10800 3600 604800 600
@ 7200 IN MX 10 mx1
7200 IN MX 10 mx2
@ 7200 IN NS mta1
7200 IN NS ns3
7200 IN NS qudns
7200 IN NS qusecdns1
7200 IN NS qusecdns2
@ 7200 IN A 86.36.67.254
@ 7200 IN SPF "v=spf1 ip4:86.36.67.16 ip4:86.36.67.18 ip4:198.187.196.100 mx a:listserv.qu.edu.qa include:spf.protection.outlook.com -all"
7200 IN SPF "LdZgZMo8Z7uRXeBmejazswbGvNpbr61m/dcwET+Etr+0V002s3kjxQbrrw1rlwh6deQjEsvIQ/nf7qRKYg9Q=="
7200 IN SPF "MS=ms61660508"
@ 7200 IN TXT "v=spf1 ip4:86.36.67.16 ip4:86.36.67.18 ip4:198.187.196.100 mx a:listserv.qu.edu.qa include:spf.production.outlook.com -all"
7200 IN TXT "LdZgZMo8Z7uRXeBmejazswbGvNpbr61m/dcwET+Etr+0V002s3kjxQbrrw1rlwh6deQjEsvIQ/nf7qRKYg9Q=="
7200 IN TXT "MS=ms61660508"
qucall 7200 IN A 185.37.108.154
mx1-int 7200 IN A 86.36.67.17
foundation 7200 IN CNAME www
star 7200 IN CNAME inet
jes1 7200 IN A 86.36.71.135
law 7200 IN CNAME www
soc 7200 IN CNAME webserv
mycard 7200 IN CNAME itsvs143webcard
sdd 7200 IN A 86.36.65.49
forums 7200 IN CNAME webserv
sispsb 7200 IN A 86.36.65.28
ra 7200 IN A 86.36.74.85
gcpr 7200 IN CNAME gpc
quill 7200 IN CNAME webserv
business 7200 IN CNAME www
mailarch 7200 IN A 86.36.65.56
ez 7200 IN CNAME www
mybanner 7200 IN CNAME sispsb
isshv90adssplus 7200 IN A 86.36.74.111
researchpro 7200 IN A 205.227.90.7
itsms18bbapp2 7200 IN A 86.36.67.35
pop3 7200 IN A 86.36.69.145
OARQuiz 7200 IN CNAME itsvs66cm1
studentcareers 7200 IN CNAME b.bayt.com.
stdaffairs 7200 IN CNAME www
eng 7200 IN A 86.36.72.40
evserver1 7200 IN CNAME mailarch
elearning 7200 IN A 86.36.69.170
swalif 7200 IN CNAME webserv
arqat 7200 IN CNAME webserv
mlearning 7200 IN A 185.37.108.79
ltm1 7200 IN A 86.36.71.106
qumail 300 IN A 185.37.108.63
wic2011 7200 IN CNAME www9
msvdi 7200 IN A 185.37.108.65
education 7200 IN CNAME www
www 7200 IN CNAME active
my 7200 IN A 86.36.68.50
vpcao 7200 IN CNAME www9
libanswers 7200 IN CNAME libanswers.com.
eaid 7200 IN A 172.17.3.50
staff 7200 IN CNAME www9
recruit 7200 IN CNAME webserv
mastaph 7200 IN CNAME www9
elearning2 7200 IN A 86.36.69.172
meet 7200 IN A 86.36.66.233
*.mylibrary 7200 IN CNAME mylibrary
ebspirec 7200 IN A 86.36.69.233
blogs 7200 IN CNAME active
artscience 7200 IN CNAME www
esc 7200 IN CNAME www
_sip._tls 7200 IN SRV 0 0 443 sip
myquvd 7200 IN A 86.36.66.140
mcp 7200 IN CNAME xampp
smgcc 7200 IN A 86.36.74.220
library 7200 IN CNAME webserv
myspnlb 7200 IN A 185.37.108.72
ofid 7200 IN CNAME active
ltr1 7200 IN A 86.36.71.105
sesri 7200 IN CNAME webserv
mel 7200 IN CNAME www9
smtp 7200 IN A 86.36.65.22
eppm 7200 IN A 185.37.108.82
officewebapps 7200 IN A 185.37.108.71
slsc 7200 IN A 86.36.72.41
lyncweb-ext 7200 IN A 86.36.66.233
sip 7200 IN A 86.36.67.94
7200 IN A 86.36.67.95
talabati-tutorials 7200 IN CNAME webserv
cmsprdss 7200 IN A 86.36.68.8
vb 7200 IN CNAME xampp
mybannerxe 7200 IN CNAME sispsbx
sesriapps 7200 IN CNAME itsvs66cm1
falcon 7200 IN A 86.36.67.52
qu-heug 7200 IN CNAME webserv
saa 7200 IN CNAME www9
xampp 7200 IN A 86.36.67.72
qspace 7200 IN CNAME webserv
cisco 7200 IN CNAME active
sustainableqatar 7200 IN CNAME www
bb9test 7200 IN A 86.36.72.81
confluence 7200 IN A 86.36.72.112
mybb91test 7200 IN A 86.36.65.12
sisttflow 7200 IN A 86.36.67.61
ltw1 7200 IN A 86.36.66.151
bluesurveys 7200 IN A 185.37.108.76
wln11 7200 IN CNAME www9
webconf 7200 IN A 86.36.67.96
7200 IN A 86.36.67.97
myqu 7200 IN CNAME www
palmtree 7200 IN CNAME inet
itsms63bbapp1 7200 IN A 86.36.67.121
miniexam 7200 IN CNAME www9
mta1 7200 IN A 86.36.67.11
rpqatu 7200 IN A 205.227.90.186
autodiscover 300 IN A 185.37.108.63
housing 7200 IN CNAME xampp
myid 7200 IN CNAME isshv90adssplus
corporate-film 7200 IN CNAME webserv
itsvs45bb9app 7200 IN A 86.36.72.79
www2 7200 IN CNAME xampp
fmcc 7200 IN CNAME xampp
bits 7200 IN CNAME xampp
lmspmbx1 7200 IN A 86.36.68.21
ais 7200 IN A 185.37.108.171
senate 7200 IN CNAME xampp
std 7200 IN CNAME oasis
oaspapp 7200 IN A 86.36.65.50
sispsb1 7200 IN A 86.36.65.27
jesmx1 7200 IN A 86.36.68.11
ebstirec 7200 IN A 86.36.65.17
cse-os 7200 IN A 86.36.67.24
