@ 86400 IN SOA @ root 42 10800 900 604800 86400
@ 86400 IN TXT "v=spf1 ip4:162.217.248.137 mx ~all"
@ 86400 IN NS ns1
@ 86400 IN A 162.217.248.137
@ 86400 IN MX 10 mx
cse 86400 IN CNAME site
NS 86400 IN A 123.49.34.21
ns1 86400 IN A 123.49.34.21
convocation 86400 IN CNAME site
mx 86400 IN A 162.217.248.137
old 86400 IN CNAME rws
#ruetm 86400 IN A 123.49.34.25
86400 IN A 123.49.34.28
50years 86400 IN CNAME site
#pop 86400 IN CNAME ruetm
mail 86400 IN A 162.217.248.137
rws 86400 IN A 123.49.34.29
site 86400 IN A 162.217.248.137
#www 86400 IN CNAME ruetm
vps 86400 IN A 162.217.248.137
www 86400 IN CNAME site
#smtp 86400 IN CNAME ruetm
