@ 14400 IN SOA ns1 hostmaster 2015011600 14400 3600 1209600 86400
@ 14400 IN TXT "v=spf1 a mx ip4:92.241.65.246 ~all"
@ 14400 IN MX 0 ALT1.ASPMX.L.GOOGLE.COM.
14400 IN MX 10 ALT2.ASPMX.L.GOOGLE.COM.
14400 IN MX 10 ASPMX.L.GOOGLE.COM.
14400 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
14400 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
@ 14400 IN A 92.241.65.246
@ 14400 IN NS ns1
14400 IN NS ns2
www.olimpiada 14400 IN A 92.241.65.246
bug 14400 IN A 92.241.65.246
ns1 14400 IN A 92.241.65.246
ns2 14400 IN A 92.241.92.146
olimpiada 14400 IN A 92.241.65.246
www.forum 14400 IN A 92.241.65.246
www.man 14400 IN A 92.241.65.246
bio 14400 IN A 92.241.65.246
www.project 14400 IN A 92.241.65.246
inventory 14400 IN A 92.241.65.246
www.econ 14400 IN A 92.241.65.246
www.all 14400 IN A 92.241.65.246
www.elearning 14400 IN A 92.241.65.246
mail 14400 IN CNAME ghs.google.com.
elearning 14400 IN A 92.241.65.246
project 14400 IN A 92.241.65.246
uniman 14400 IN A 92.241.65.246
econ 14400 IN A 92.241.65.246
pop 14400 IN A 92.241.65.246
ftp 14400 IN A 92.241.65.246
www.bug 14400 IN A 92.241.65.246
www 14400 IN A 92.241.65.246
localhost 14400 IN AAAA ::1
localhost 14400 IN A 127.0.0.1
www.library 14400 IN A 92.241.65.246
man 14400 IN A 92.241.65.246
forum 14400 IN A 92.241.65.246
www.manage 14400 IN A 92.241.65.246
www.bio 14400 IN A 92.241.65.246
all 14400 IN A 92.241.65.246
library 14400 IN A 92.241.65.246
www.uniman 14400 IN A 92.241.65.246
manage 14400 IN A 92.241.65.246
www.inventory 14400 IN A 92.241.65.246
smtp 14400 IN A 92.241.65.246
