@ 86400 IN SOA @ ns 20130415 86400 7200 1209600 7200
@ 86400 IN NS ns.secondary.net.ua.
86400 IN NS @
@ 86400 IN A 193.178.228.156
@ 86400 IN MX 10 mx.yandex.ru.
smtp 86400 IN CNAME @
bud 86400 IN A 91.222.137.55
www.lib 86400 IN CNAME @
www.rozklad 86400 IN CNAME @
www.cdn 86400 IN CNAME @
ur 86400 IN A 91.222.137.55
eim 86400 IN A 91.222.137.55
econ 86400 IN A 91.222.137.55
camsnau1 86400 IN CNAME @
camsnau2 86400 IN CNAME @
asu 86400 IN CNAME @
itf 86400 IN A 91.222.137.55
ipod 86400 IN A 91.222.137.55
lib 86400 IN CNAME @
agro 86400 IN A 91.222.137.55
cdn 86400 IN CNAME @
mail 86400 IN CNAME domain.mail.yandex.net.
www 86400 IN A 91.222.137.55
old 86400 IN A 91.222.137.55
ns 86400 IN A 193.178.228.156
new 86400 IN CNAME @
vet 86400 IN A 91.222.137.55
webcam 86400 IN A 193.178.228.156
fht 86400 IN A 91.222.137.55
www.repo 86400 IN CNAME @
visnyk 86400 IN A 91.222.137.55
www.portal 86400 IN CNAME @
portal 86400 IN CNAME @
interstud 86400 IN A 91.222.137.55
library 86400 IN CNAME @
yamail-2f8877fb4f65 86400 IN CNAME mail.yandex.ru.
repo 86400 IN CNAME @
btf 86400 IN A 91.222.137.55
rozklad 86400 IN CNAME @
