@ 86400 IN SOA shihun root 948474483 10800 3600 604800 86400
@ 86400 IN NS shihun
@ 86400 IN MX 1 mail
gsbaoming 86400 IN A 210.44.14.4
www.sywzgl 86400 IN A 210.44.8.27
www.music 86400 IN A 210.44.8.29
www.xcb 86400 IN A 210.44.14.1
www.oipold 86400 IN A 210.44.2.26
www.lsxy 86400 IN A 210.44.8.29
www.jjygl 86400 IN A 210.44.8.27
www.oldsme 86400 IN A 210.44.8.27
www.efzx 86400 IN A 210.44.14.16
www.mpa 86400 IN A 210.44.8.18
www.jybgczx 86400 IN A 210.44.14.16
www.kydzz 86400 IN A 210.44.8.26
hr 86400 IN A 210.44.8.41
www.jiwei 86400 IN A 210.44.14.16
www.itedu 86400 IN A 210.44.8.27
www.fwh 86400 IN A 210.44.8.26
proxy1 86400 IN CNAME proxy
www.yjsdy 86400 IN A 210.44.8.26
www.itme 86400 IN A 210.44.8.29
www.jstu 86400 IN A 122.200.98.9
www.test 86400 IN A 210.44.8.26
www.mta 86400 IN A 210.44.8.27
www.east 86400 IN A 210.44.8.28
www.jyzd 86400 IN A 210.44.14.1
www.jky 86400 IN A 210.44.8.29
oa 86400 IN A 210.44.8.48
www.cq 86400 IN A 210.44.14.1
www.zsb 86400 IN A 210.44.14.23
www 86400 IN A 210.44.8.28
my 86400 IN A 210.44.8.42
www.swx 86400 IN A 210.44.8.27
www.xjxjy 86400 IN A 210.44.0.107
www.ppts 86400 IN A 210.44.8.26
www.cgpx 86400 IN A 211.149.136.251
tsgl 86400 IN A 210.44.1.6
www.wlxnsyzx 86400 IN A 210.44.14.17
www.shj 86400 IN A 210.44.14.1
www.yjsjy 86400 IN A 210.44.8.26
www.ncre 86400 IN A 210.44.3.22
www.ibs 86400 IN A 210.44.8.27
www.gh 86400 IN A 210.44.8.26
e 86400 IN A 210.44.14.15
www.sims 86400 IN A 210.44.8.23
mefz 86400 IN A 210.44.15.2
www.caiwuchu 86400 IN A 210.44.8.18
www.gsbaoming 86400 IN A 210.44.14.4
i 86400 IN A 210.44.14.10
www.gspxzx 86400 IN A 210.44.8.26
dpstar 86400 IN A 210.44.8.42
www.zhengfa 86400 IN A 210.44.8.29
www.fzgh 86400 IN A 210.44.8.18
www.oip 86400 IN A 210.44.14.16
www.zwx 86400 IN A 210.44.8.29
www.gzb 86400 IN A 210.44.14.1
www.cdm 86400 IN A 210.44.8.27
www.zzb 86400 IN A 210.44.14.1
www.qlwhzy 86400 IN A 210.44.14.13
www.bkjy 86400 IN A 210.44.2.168
www.tongzhan 86400 IN A 210.44.8.18
www.hzbx 86400 IN A 210.44.14.1
www.fbsjs 86400 IN A 210.44.8.29
www.rsc 86400 IN A 210.44.8.18
www.xiaobao 86400 IN A 210.44.8.29
www.lsxy1 86400 IN A 210.44.8.27
zc 86400 IN A 210.44.0.250
www.bkpg 86400 IN A 210.44.8.28
www.xinx 86400 IN A 210.44.14.16
www.dag 86400 IN A 210.44.14.1
www.oldzzb 86400 IN A 210.44.8.27
www.wjy 86400 IN A 210.44.4.81
www.keyan 86400 IN A 210.44.14.26
www.dgdz 86400 IN A 210.44.8.29
www.wyjx 86400 IN A 122.200.98.9
www.hxc 86400 IN A 210.44.14.16
www.taftm 86400 IN A 210.44.14.16
ftp 86400 IN CNAME shihun
www.politics 86400 IN A 210.44.14.16
www.wsjf 86400 IN A 210.44.2.131
www.xsjlzx 86400 IN A 210.44.8.27
www.tangb 86400 IN A 210.44.8.26
www.csdream 86400 IN A 210.44.0.2
www.skc 86400 IN A 210.44.8.18
ftp.computer 86400 IN A 210.44.3.21
www.student 86400 IN A 210.44.8.21
www.jpkc 86400 IN A 210.44.8.15
www.gkzp 86400 IN A 210.44.2.251
ids1 86400 IN A 210.44.8.43
ids2 86400 IN A 210.44.8.44
www.msxy 86400 IN A 210.44.8.29
www.yjszs 86400 IN A 210.44.14.19
www.ty 86400 IN A 210.44.8.29
www.maths1 86400 IN A 210.44.8.29
www.jjc 86400 IN A 210.44.14.1
www.sdps 86400 IN A 210.44.6.250
www.bxq 86400 IN A 210.44.8.28
www.qlshx 86400 IN A 210.44.14.1
www.njzw 86400 IN A 210.44.8.25
IPTV 86400 IN A 210.44.8.1
www.oldjiwei 86400 IN A 210.44.8.26
www.flashcbr 86400 IN A 210.44.4.16
www.ddh 86400 IN A 210.44.8.21
www.zsb1 86400 IN A 210.44.8.26
www.jcjykc 86400 IN A 210.44.8.27
www.gdwx 86400 IN A 210.44.8.29
www.vsc 86400 IN A 210.44.8.27
www.gongjian 86400 IN A 210.44.14.16
www.cbxy 86400 IN A 210.44.4.10
www.xy 86400 IN A 210.44.8.25
www.enoip 86400 IN A 210.44.14.16
www.ecc 86400 IN A 210.44.7.13
www.hospital 86400 IN A 210.44.14.1
www.hxzdsys 86400 IN A 210.44.8.25
www.cpre 86400 IN A 103.227.81.51
www.pre 86400 IN A 210.44.8.29
www.jchjy 86400 IN A 210.44.8.28
www.jxcg 86400 IN A 210.44.8.18
www.su 86400 IN A 210.44.8.26
www.xxgk 86400 IN A 210.44.14.16
www.dls 86400 IN A 210.44.8.29
www.kfzy 86400 IN A 210.44.8.25
www.cwc 86400 IN A 210.44.8.28
www.sdwp 86400 IN A 210.44.8.26
www.zyfw 86400 IN A 210.44.8.21
www.yktbg 86400 IN A 210.44.8.21
www.spgkk 86400 IN A 210.44.8.26
mail 86400 IN A 210.44.8.37
www.rcb 86400 IN A 210.44.8.25
www.hqc 86400 IN A 210.44.8.26
www.physics 86400 IN A 210.44.8.16
www.psy 86400 IN A 210.44.8.29
www.history 86400 IN A 210.44.8.29
www.dyzx 86400 IN A 210.44.8.26
www.kjc 86400 IN A 210.44.8.18
www.info 86400 IN A 210.44.8.28
www.news 86400 IN A 210.44.14.22
