@ 9080 IN SOA ns admin 2015032601 10800 3600 120960 38400
@ 9080 IN TXT "google-site-verification=15jP4tEloU0emHOs_4IsaIvXGmDERTwRelZfU2y0X5U"
@ 300 IN MX 2 smtp3
@ 9080 IN NS ns2
9080 IN NS ns
9080 IN NS ns.cvt.stuba.sk.
@ 900 IN A 193.87.80.16
acta 1200 IN A 193.87.80.100
*.webhosting 3600 IN A 193.87.80.100
www.frt 3600 IN A 193.87.80.16
komp 172800 IN A 193.87.80.19
admin.cpanel 1500 IN A 193.87.80.97
selyetudkonf 7200 IN A 193.87.80.5
kerdoiv 86400 IN A 193.87.80.100
www.tkk 3600 IN A 193.87.80.16
helpdesk 14400 IN A 193.87.80.16
www.felveteli 3600 IN A 193.87.80.16
*.admin.cpanel 1200 IN A 193.87.80.96
didmattech 1200 IN A 193.87.80.96
egyetemikonyvtar 172800 IN CNAME kniznica
env 1200 IN A 193.87.80.96
www 900 IN A 193.87.80.16
www.ef 3600 IN A 193.87.80.16
ns 9080 IN A 193.87.80.252
*.cpanel 1200 IN A 193.87.80.96
pf 3600 IN A 193.87.80.16
univerzitnakniznica 172800 IN CNAME kniznica
www.gtk 3600 IN A 193.87.80.16
siralygw 43200 IN A 193.87.80.92
www.hok 1200 IN A 193.87.80.96
xun 43200 IN A 193.87.80.135
bigmail 172800 IN A 193.87.80.18
smtp3 86400 IN A 193.87.80.232
smtp4 7200 IN A 193.87.80.233
rtk 3600 IN A 193.87.80.16
monit 518400 IN A 193.87.80.252
mit 3600 IN A 193.87.80.100
tdk 1200 IN A 193.87.80.5
jelentkezes 7200 IN A 193.87.80.16
www.pf 3600 IN A 193.87.80.16
cis-mail1 172800 IN A 193.87.80.133
frt 3600 IN A 193.87.80.16
cpanel 1200 IN A 193.87.80.97
ftp 172800 IN A 193.87.80.21
www.chemdep 1200 IN A 193.87.80.100
www.didmattech 1200 IN A 193.87.80.96
ais 172800 IN A 193.87.80.17
ecdl 1200 IN A 193.87.80.96
tkk 3600 IN A 193.87.80.16
mx2 9080 IN A 193.87.80.29
www3 9080 IN A 193.87.80.96
terv2 7200 IN A 193.87.80.16
ns2 172800 IN A 193.87.80.253
gtk 3600 IN A 193.87.80.16
webdeveloper 172800 IN A 193.87.80.103
admin.webhosting 3600 IN A 193.87.80.101
harsanyicollege 600 IN A 193.87.80.55
mail 3600 IN A 193.87.80.131
felveteli 3600 IN A 193.87.80.16
hok 1200 IN A 193.87.80.96
erasmus 3600 IN A 193.87.80.16
mailx 300 IN A 193.87.80.132
list 14400 IN A 193.87.80.134
www.uk.selyeuni.sk 3600 IN A 193.87.80.16
old 600 IN A 193.87.80.70
ais2-beta 172800 IN A 193.87.80.17
konyvtar 172800 IN CNAME kniznica
chemdep 1200 IN A 193.87.80.100
www.acta 1200 IN A 193.87.80.100
kniznica 172800 IN A 193.87.80.100
projekt 9080 IN A 193.87.80.14
e-prihlaska 172800 IN A 193.87.80.96
www.env 1200 IN A 193.87.80.96
web 86400 IN A 193.87.80.16
www.kis 3600 IN A 193.87.80.21
livestream 3600 IN A 193.87.80.23
*.userweb 3600 IN MX 10 cpanel.userweb
*.userweb 1200 IN A 193.87.80.96
uk.selyeuni.sk 3600 IN A 193.87.80.16
ais2 172800 IN A 193.87.80.16
vpn 172800 IN A 193.87.80.21
webwork 3600 IN A 193.87.80.102
sshgw 86400 IN A 193.87.80.254
userweb 1200 IN A 193.87.80.96
www.rtk 3600 IN A 193.87.80.16
kata 1200 IN A 193.87.80.100
food 172800 IN A 193.87.80.12
prihlaska 172800 IN A 193.87.80.16
172800 IN A 193.87.80.17
www.mit 3600 IN A 193.87.80.100
www.tdk 1200 IN A 193.87.80.5
cv 7200 IN A 193.87.80.16
ef 3600 IN A 193.87.80.16
www.futsal 172800 IN CNAME futsal
kin 86400 IN A 193.87.80.16
kis 3600 IN A 193.87.80.21
