@ 604800 IN SOA ns root 1 604800 86400 2419200 604800
@ 604800 IN NS ns
@ 604800 IN A 217.219.14.166
itce 604800 IN A 217.219.14.166
cupnc 604800 IN A 148.251.7.168
master 604800 IN A 109.122.213.103
isl 604800 IN A 217.219.14.166
pop3 604800 IN A 217.219.14.166
mail 604800 IN A 217.219.14.166
teacher 604800 IN A 217.219.14.166
startup 604800 IN A 78.157.60.118
personnel 604800 IN A 217.219.14.174
www.master 604800 IN A 109.122.213.103
www.daneshjoo 604800 IN A 109.122.213.102
kalaamallaah 604800 IN A 217.219.14.170
efl 604800 IN A 217.219.14.166
www 604800 IN A 217.219.14.173
ssa 604800 IN A 78.157.60.118
karafarini 604800 IN A 136.243.7.187
ns 604800 IN A 217.219.14.162
daneshjoo 604800 IN A 109.122.213.102
thesisabstract 604800 IN A 217.219.14.166
fljournal 604800 IN A 217.219.14.166
jeton 604800 IN A 217.219.14.171
library 604800 IN A 217.219.14.165
members 604800 IN A 217.219.14.176
www.cupnc 604800 IN A 148.251.7.168
www.kalaamallaah 604800 IN A 217.219.14.170
oas 604800 IN A 109.122.213.105
smtp 604800 IN A 217.219.14.166
