@ 600 IN SOA dns1 dns2 20090416 10800 3600 604800 600
@ 600 IN NS dns1
600 IN NS dns2
@ 600 IN MX 0 panda
600 IN MX 1 tiger
jswm-ygz 600 IN A 202.120.143.23
jxjy 600 IN A 59.78.117.11
gh 600 IN A 202.120.143.170
kvm1 600 IN A 10.101.143.201
kvm2 600 IN A 10.101.143.202
sgi-vod 600 IN A 202.120.143.210
gs 600 IN A 202.120.143.126
devbiology 600 IN A 210.73.49.37
elog 600 IN A 202.120.143.55
jwc 600 IN A 202.120.143.154
la-dept 600 IN A 202.120.143.23
ip 600 IN A 202.120.143.163
lgb 600 IN A 202.120.143.23
crjy 600 IN A 202.120.143.37
jw 600 IN A 202.120.143.115
pop3 86400 IN A 202.120.143.253
lib-ancientbook 600 IN A 202.120.143.29
libftp 600 IN A 202.120.143.159
hippo 600 IN A 202.120.143.251
san 600 IN A 202.120.140.21
xsjf 600 IN A 202.120.143.242
mg 600 IN A 202.120.143.240
yuanban 600 IN A 202.120.143.139
lib 600 IN A 202.120.143.42
jyx 600 IN A 202.120.143.173
xuebao 600 IN A 211.144.125.73
oa 600 IN A 202.120.143.74
bioinformatics 600 IN A 210.73.49.39
oldsph 600 IN A 202.120.143.44
www 600 IN A 202.120.143.40
dxr 600 IN A 202.120.143.197
basic 600 IN A 202.120.143.199
kvod 600 IN A 211.144.125.70
syxh 600 IN A 202.120.143.166
vspheredb 600 IN A 10.101.143.209
m 600 IN A 202.120.143.40
kvm 600 IN A 10.101.143.208
dwgk 600 IN A 202.120.143.139
v 600 IN A 211.144.125.71
sm 600 IN A 202.120.143.196
epacs 600 IN A 202.120.143.129
smtp 86400 IN A 202.120.143.253
sii 600 IN A 202.120.143.138
esxhost01 600 IN A 202.120.143.160
esxhost02 600 IN A 202.120.143.161
zicc 600 IN A 202.120.143.157
book 600 IN A 202.120.140.32
houqin 600 IN A 202.120.143.23
yky 600 IN A 202.120.138.36
libdata 600 IN A 202.120.140.32
tiger 600 IN A 202.120.143.252
ssci 600 IN A 202.120.143.177
mdl 600 IN A 202.120.138.35
daoshi 600 IN A 202.120.143.126
share 600 IN A 202.120.143.158
jxzx 600 IN A 202.120.143.94
biostat 600 IN A 202.120.140.26
print 600 IN A 202.120.143.30
yjsy 600 IN A 202.120.143.45
sklrm 600 IN A 202.120.143.44
yb 600 IN A 202.120.143.140
xlzx 600 IN A 202.120.143.44
cfmsf 600 IN A 202.120.143.44
omhn 600 IN A 202.120.143.30
fujitsu17 600 IN A 202.120.143.17
wifi 600 IN A 10.101.143.152
login 600 IN A 10.10.10.1
sph 600 IN A 202.120.143.30
service 600 IN A 202.120.143.190
mmp 600 IN A 202.120.143.40
xiao 600 IN A 202.120.129.242
