@ 86400 IN SOA as root 3 43200 3600 604800 86400
@ 86400 IN NS as
@ 86400 IN MX 0 gate
86400 IN MX 1 mail
zsjy 86400 IN A 202.199.64.33
jxjy 86400 IN A 202.199.64.136
gh 86400 IN A 202.199.64.136
gj 86400 IN A 202.199.64.136
gl 86400 IN A 202.199.64.136
gs 86400 IN A 202.199.64.13
hq 86400 IN A 202.199.64.136
jl 86400 IN A 202.199.64.136
szhj 86400 IN A 202.199.64.136
jn 86400 IN A 202.199.64.13
pop3 86400 IN A 202.199.64.10
jy 86400 IN A 202.199.64.12
jz 86400 IN A 202.199.64.136
sbd 86400 IN A 202.199.64.136
xuebao 86400 IN A 202.199.64.136
wyb 86400 IN A 202.199.64.30
lhy 86400 IN A 202.199.64.136
3mj 86400 IN A 202.199.64.136
f 86400 IN A 202.199.64.12
xsc 86400 IN A 202.199.64.136
g 86400 IN A 202.199.64.36
jzcy 86400 IN A 202.199.64.136
shiyan 86400 IN A 202.199.64.136
jxxk 86400 IN A 202.199.64.12
zcc 86400 IN A 202.199.64.136
gate 86400 IN A 202.199.64.9
smtp 86400 IN A 202.199.64.10
rsc 86400 IN A 202.199.64.136
tm 86400 IN A 202.199.64.136
gbz 86400 IN A 202.199.64.13
sz 86400 IN A 202.199.64.136
tw 86400 IN A 202.199.64.136
gccw 86400 IN A 202.199.64.136
zdsys 86400 IN A 202.199.64.36
gz 86400 IN A 202.199.78.1
xb 86400 IN A 202.199.64.136
qzlx 86400 IN A 202.199.64.136
wy 86400 IN A 202.199.64.136
study 86400 IN CNAME dns.lface.org.
ys 86400 IN A 202.199.64.13
zs 86400 IN A 202.199.64.12
jtjx 86400 IN A 202.199.64.136
test 86400 IN A 202.199.64.2
ycspzp 86400 IN A 202.199.64.34
net 86400 IN A 202.199.64.136
szzt 86400 IN A 202.199.64.136
lxy 86400 IN A 202.199.64.136
bbs 86400 IN A 202.199.64.19
jzsj 86400 IN A 202.199.64.136
stu 86400 IN A 202.199.64.138
as1 86400 IN A 202.199.64.6
su 86400 IN A 202.199.64.215
xiaoyou 86400 IN A 202.199.64.136
grs 86400 IN A 202.199.64.36
movie 86400 IN A 202.199.64.203
xysys 86400 IN A 202.199.64.12
tsg 86400 IN A 202.199.64.136
gonghui 86400 IN A 202.199.64.136
mail 86400 IN A 202.199.64.10
tmjzxh 86400 IN A 202.199.64.136
hjlab 86400 IN A 202.199.64.13
zzb 86400 IN A 202.199.64.136
tyb 86400 IN A 202.199.64.136
bsh 86400 IN A 202.199.64.136
gjxy 86400 IN A 202.199.64.136
ddh 86400 IN A 202.199.64.136
bwc 86400 IN A 202.199.64.136
web 86400 IN A 202.199.64.136
jwjc 86400 IN A 202.199.64.136
bimtp 86400 IN A 202.199.64.136
jjc 86400 IN A 202.199.64.136
english 86400 IN A 202.199.64.136
ggfx 86400 IN A 202.199.64.36
grsmis 86400 IN A 202.199.64.36
www 86400 IN A 202.199.64.2
xcb 86400 IN A 202.199.64.136
as 86400 IN A 202.199.64.5
ws1 86400 IN A 202.199.64.242
ws2 86400 IN A 202.199.64.243
ws3 86400 IN A 202.199.64.244
cl 86400 IN A 202.199.64.136
manage 86400 IN A 202.199.64.2
pufa 86400 IN A 202.199.64.136
xxkz 86400 IN A 202.199.64.136
psy 86400 IN A 202.199.64.136
dy 86400 IN A 202.199.64.136
